No_Encontrado,Not_Found
atención propia (también llamada capa de atención propia),self attention (also called self attention layer)
aprendizaje auto supervisado,self supervised learning
auto entrenamiento,self training
modelo de secuencia,sequence model
secuencia a la tarea de secuencia,sequence to sequence task
servicio,serving
forma (tensor),shape (tensor)
contracción,shrinkage
programa único / datos múltiples (spmd),single program / multiple data (spmd)
invariancia de tamaño,size invariance
saltar gramo,skip gram
ajuste de inmediato suave,soft prompt tuning
característica escasa,sparse feature
agrupación espacial,spatial pooling
spmd,spmd
pérdida de bisagra cuadrada,squared hinge loss
pérdida al cuadrado,squared loss
entrenamiento escenificado,staged training
función de valor de acción estatal,state action value function
inferencia estática,static inference
descenso de gradiente estocástico (sgd),stochastic gradient descent (sgd)
minimización del riesgo estructural (srm),structural risk minimization (srm)
subsamemplado,subsampling
token de subvención,subword token
característica sintética,synthetic feature
t5,t5
t5x,t5x
aprendizaje de q tabular,tabular q learning
red de destino,target network
datos temporales,temporal data
tabla tensor,tensorboard
tensorflow serving,tensorflow serving
unidad de procesamiento del tensor (tpu),tensor processing unit (tpu)
forma tensor,tensor shape
tamaño del tensor,tensor size
tienda tensor,tensorstore
condición de terminación,termination condition
pérdida de prueba,test loss
tramo de texto,text span
tf.example,tf.example
tf.keras,tf.keras
umbral (para árboles de decisión),threshold (for decision trees)
paso de tiempo,timestep
precisión k,top k accuracy
tpu,tpu
chip de tpu,tpu chip
dispositivo tpu,tpu device
nodo tpu,tpu node
tpu pod,tpu pod
recurso tpu,tpu resource
tpu slice,tpu slice
tipo de tpu,tpu type
trabajador de tpu,tpu worker
pérdida de entrenamiento,training loss
capacitación que sirve sesgo,training serving skew
verdadero negativo (tn),true negative (tn)
verdadero positivo (tp),true positive (tp)
tasa positiva verdadera (tpr),true positive rate (tpr)
inconsciente (para un atributo sensible),unawareness (to a sensitive attribute)
modelo de lenguaje unidireccional,unidirectional language model
ejemplo sin etiqueta,unlabeled example
modelado de elevación,uplift modeling
peso al alza,upweighting
matriz de usuarios,user matrix
validación,validation
pérdida de validación,validation loss
valor imputación,value imputation
importancias variables,variable importances
autoencoder variacional (vae),variational autoencoder (vae)
pérdida de wasserstein,wasserstein loss
mínimos cuadrados alternativos pesados ​​(wals),weighted alternating least squares (wals)
modelo ancho,wide model
xla (álgebra lineal acelerada),xla (accelerated linear algebra)
indicación de disparo cero,zero shot prompting
z normalización de la puntuación,z score normalization
atributos,attributes
bci,bci
big data,big data
clustering,clustering
iaar,iaar
interfaz cerebro computadora,brain computer interfaces
knn,knn
matrices,arrays
lenguaje r,language r
svm,svm
big data,big data
data lake o lago de datos,data lake or data lake
logs de navegación,navigation logs
motor de recomendación,recommendation motor
variable numérica,numerical variable
gobierno del dato,data government
nearest neighbor,nearest neighbor
atributo,attribute
Datos no marcados,Non -labeling data
etiqueta o dato etiquetado,label or data labeling
Métodos basados ​​en árboles,Tree -based methods
modelo o hipótesis,model or hypothesis
variable respuesta,variable answer
predicción de la demanda,demand prediction
tableau,tableau
carto,carto
bases de datos pre relacionales,pre -relational databases
bases de datos post relacionales,post relational databases
cómputo en la nube,cloud computation
arquitecturas de virtualización,virtualization architectures
virtualización sin un sistema operativo anfitrión,virtualization without a host operating system
virtualización a partir de un sistema operativo anfitrión,virtualization from an host operating system
mínimo y máximo,minimum and maximum
rango,range
definición de probabilidad,definition of probability
propiedades básicas,basic properties
variables aleatorias discretas,discrete random variables
variables aleatorias continuas,continuous random variables
clasificación de los pgm,pgm classification
grafos no dirigidos y grafos dirigidos,directed graph and undidrected graph
clasificaciones de algoritmos de machine learning,machine learning algorithms classifications
clasificadores probabilísticos,probabilistic classifiers
algoritmos de agrupamiento: k means,grouping algorithms: k means
knn,knn
datasets,datasets
ssobreajuste y subajuste,ssobrejuste and subajuste
clases de deep learning,deep learning classes
redes adversarias generativas,generative adversary networks
reconocimiento de números,numbers recognition
detección de similaridades,similarities detection
conceptos ssobre chatbots,ssobre chatbots concepts
ubicación de chatbots,chatbots location
clasificación de chatbots,chatbots classification
ibm watson studio,ibm watson studio
google cloud automl,google cloud automl
azure machine learning,azure machine learning
amazon machine learning,amazon machine learning
gpt,gpt
Github Co ilot,Github co ilot
dall e,dall e
lamda,lamda
tecnología big data,big data technology
importancia de big data,importance of big data
beneficios de big data,big data benefits
Respuesta de tiempo real,Real -time response
reducción de costos de capital,capital cost reduction
mejoras en los procesos de negocio,improvements in business processes
características de big data,big data characteristics
características que se suman para formar las 5v,characteristics that are added to form 5v
clasificación de big data,big data classification
tipos de datos en reposo,resting data types
tipos de datos en movimiento,data types in motion
desafíos de los grandes volúmenes de datos,challenges of large data volumes
representación de datos o almacenamiento,data or storage representation
reducción de la redundancia y la compresión de datos,reduction in redundancy and data compression
datos de gestión del ciclo de vida,life cycle management data
mecanismo de análisis,analysis mechanism
fiabilidad y escalabilidad,reliability and scalability
beneficios tangibles,tangible benefits
beneficios intangibles,intangible benefits
beneficios estratégicos,strategic benefits
componentes de inteligencia de negocio,business intelligence components
de información sql o nosql,sql or nosql information
proceso etl,etl process
transformación,transformation
carga,burden
data warehouse o almacén de datos,data warehouse or data warehouse
modelo de inteligencia de negocios,business intelligence model
almacenamiento,storage
agregación y aplicación de herramientas tecnológicas,aggregation and application of technological tools
registro de datos / minería de datos,data record / data mining
de analítica big data,big data analytics
analítica descriptiva,descriptive analytics
progresión en las operaciones,progress in operations
probabilidades bajas de riesgo,low risk probabilities
nubes privadas,private clouds
nubes públicas,public clouds
nubes de comunidad,community clouds
herramientas basadas en el procesamiento por lotes,tools based on lots processing
herramientas basadas en el procesamiento de flujo,tools based on flow processing
herramientas de análisis interactivas,interactive analysis tools
plataformas y software para tratamiento de big data,platforms and software for big data treatment
hadoop tolerancia a fallos,hadoop failure tolerance
hadoop distribuido,distributed hadoop
hadoop código abierto,open source hadoop
hadoop bajo costo,hadoop low cost
componentes que caracteriza a hdfs,components that characterize hdfs
nodo maestro,master node
nodo de datos,data node
mapa reducido,reduced map
componentes de spark,spark components
spark core,spark core
spark sql,spark sql
spark streaming,spark streaming
spark mlib,spark mlib
apache hbase,apache hbase
marketing y ventas,marketing and sales
amplitud de un intervalo,amplitude of an interval
cartogramas,cartograms
clase mediana,medium class
clase modal,modal class
coeficiente de contingencia chi cuadrado,chi square contingency coefficient
coeficiente de curtosis,kurtosis coefficient
componentes de una serie temporal,time series components
conglomerado,conglomerate
cuasivarianza,quasi variance
dato,fact
dato cualitativo,qualitative fact
deflactar,deflature
diagrama de cajas,box diagram
diagrama en escalera,staircase diagram
error tipo ii,type ii error
estacionaria,stationary
frecuencia absoluta,absolute frequency
frecuencia absoluta acumulada,accumulated absolute frequency
frecuencia condicional,conditional frequency
frecuencia conjunta,joint frequency
frecuencia relativa acumulada,accumulated relative frequency
fuentes de datos,data sources
índice de valor,value index
índice agregativo,aggregative index
índice ideal de fisher,fisher's ideal index
índice de carli,carli index
intervalo de clase,class interval
mite inferior,lower mite
mite superior,upper mite
marca de clase,class brand
medidas de forma,form measures
muestreo aletorio simple,simple alest sampling
muestreo estratificado aleatorio,random stratified sampling
periodo de referencia de una encuesta,reference period of a survey
rango,range
suceso cierto,true event
sucesos compuestos,compound events
sucesos contrarios,opposite events
tabla de datos agrupados,grouped data table
variable bidimensional,two -dimensional variable
variable pluridimensional,multidimensional variable
variable unidimensional,unidimensional variable
variaciones irregulares,irregular variations
desnormalización,nudorization
esquema de base de datos,database scheme
llave foránea,foreign key
índices,indices
replicación de datos,data replication
transacciones,transactions
base de datos olap,olap database
base de datos oltp,oltp database
consultas preparadas,prepared consultations
big data,big data
hdfs,hdfs
apache hive,apache hive
streaming de datos,data streaming
procesamiento en tiempo real,real -time processing
indexación de datos,data indexation
machine learning en big data,machine learning in big data
scala,scala
python en big data,python in big data
etl en big data,etl in big data
orquestación de datos,data orchestration
aws big data,aws big data
google bigquery,google bigquery
azure data lake,azure data lake
infraestructura distribuida,distributed infrastructure
spark sql,spark sql
dataframes en spark,dataframes in spark
rdds,rdds
clúster de procesamiento,processing cluster
latencia en big data,latency in big data
análisis exploratorio en big data,exploratory analysis in big data
agrupamiento aglomerado,agglomerate grouping
area bajo la curva de pr,area under the pr curve
area bajo la curva roc,area under the roc curve
sesgo de cobertura,coverage bias
agrupamiento en clusteres divisivo,grouping in divisive clusters
sesgo del investigador,researcher's bias
sesgo de no respuesta,non -response bias
recall,recall
reduccion espacial,space reduction
rango de tensor,tensor range
tasa de falsos positivos,false positives rate
valores atipicos,atypical values
valores representativos,representative values
despliegue de modelos de ai,deployment of ai models
ciclo de vida de un modelo,life cycle of a model
validación de modelos,validation of models
pruebas de modelos,model tests
pipeline de machine learning,machine learning pipeline
mlops,mlops
modelos en producción,production models
contenedores para modelos,containers for models
docker para ai,docker for ai
kubernetes para ai,kubernetes for ai
microservicios para modelos,microservices for models
servidores de inferencia,inference servers
rest apis para modelos,rest apis for models
grpc para modelos,grpc for models
monitorización de modelos,model monitoring
retraining de modelos,retraining models
automatización de despliegue,deployment automation
pruebas de rendimiento,performance tests
latencia de inferencia,inference latency
escalabilidad de modelos,scalability of models
versionado de modelos,version of models
gestión de modelos,model management
mlflow,mlflow
tensorflow serving,tensorflow serving
torchserve,torchserve
optimización de modelos,models optimization
cuantización de modelos,quantization of models
compresión de modelos,compression of models
despliegue en la nube,cloud display
despliegue en dispositivos locales,display on local devices
edge ai,edge ai
ensamblaje de modelos,model assembly
explainability de modelos,model explainability
seguridad en modelos ai,safety in ai models
pruebas de sesgo en modelos,big tests in models
auditoría de modelos,audit of models
integración continua y despliegue continuo,continuous integration and continuous deployment
rango,range
gráficos de correlación,correlation graphics
detección de valores atípicos,detection of atypical values
gráficos de series temporales,time  series plot
filtrado de datos,data filtering
agrupación de datos,data grouping
segmentación de datos,data segmentation
relación variable objetivo,variable objective relationship
análisis de correlación,correlation analysis
identificación de patrones,patterns identification
comprobación de supuestos estadísticos,verification of statistical assumptions
interpretación de resultados,interpretation of results
reportes de datos,data reports
distribución t student,t student distribution
error tipo i,type i error
error tipo ii,type ii error
prueba de kolmogorov smirnov,kolmogorov smirnov test
prueba de mann whitney,mann whitney test
bootstraping,bootstraping
gpt,gpt
preentrenamiento,pre -entry
fine tuning,fine tuning
contexto en gpt,context in gpt
atención autoregresiva,self -greencious attention
tokenización en gpt,tokenization in gpt
embeddings de entrada,input embeddings
head de atención,head of attention
capas de transformer,transformer layers
normalización de capas,standardization of layers
máscara de atención,attention mask
salida del modelo gpt,gpt model output
aprendizaje transferido,transferred learning
parámetros ajustables,adjustable parameters
modelo preentrenado,prerenized model
entrenamiento supervisado,supervised training
entrenamiento no supervisado,non -supervised training
ajuste por retropropagación,retropropative adjustment
codificador en transformers,coder in transformers
decodificador en transformers,decoder in transformers
atención multihead,multihead attention
dimensión oculta,hidden dimension
pesos aprendidos,pesos learned
completado de texto,text completed
resumen automático,automatic summary
prompt en gpt,prompt in gpt
few shot learning,few shot learning
modelo de lenguaje generativo,generative language model
pérdida de entropía cruzada,loss of cross entropy
regularización en gpt,regularization in gpt
escalado de modelos,model scaling
entrenamiento distribuido,distributed training
aplicaciones de gpt,gpt applications
detección de bordes,edges detection
filtro de canny,canny filter
convolución en imágenes,convolution in images
mapas de características,features maps
pooling,pooling
normalización de imágenes,normalization of images
filtro de mediana,medium filter
dilatación y erosión,dilation and erosion
transformada de radón,radon transformed
anotación de imágenes,annotation of images
ajuste de contraste,contrast adjustment
realce de imágenes,image enhancement
registro de imágenes,image record
análisis de textura,texture analysis
extracción de características,characteristics extraction
reconstrucción 3d,3d reconstruction
esteganografía de imágenes,image steganography
segmentación basada en color,color -based segmentation
eliminación de datos faltantes,removal data
detección de valores atípicos,detection of atypical values
estandarización de datos,data standardization
estandarización de datos,data standardization
codificación de variables categóricas,categorical variable coding
label encoding,label enoding
manejo de valores nulos,null values management
escalado de características,characteristics scaling
filtrado de datos,data filtering
eliminación de duplicados,duplicate elimination
agrupación de datos,data grouping
relleno de datos faltantes,feeding data filling
conversión de tipos de datos,data type conversion
revisión de tipos de datos,data type review
corrección de errores de entrada,input errors correction
fusión de conjuntos de datos,fusion of data sets
eliminación de columnas irrelevantes,elimination of irrelevant columns
filtrado de filas irrelevantes,filtering of irrelevant ranks
interpolación de datos,data interpolation
relleno con promedio,filling with average
relleno con mediana,stuffed with median
relleno con moda,fashion with fashion
identificación de valores extremos,identification of extreme values
recodificación de variables,variable recoding
depuración de nombres de columnas,column name clothing
eliminación de espacios en blanco,elimination of blank spaces
validación de rangos de datos,validation of data ranges
manejo de datos inconsistentes,inconsistent data management
codificación de fechas,dates coding
verificación de integridad de datos,data integrity verification
lightgbm,lightgbm
clustering,clustering
t sne,t sne
umap,umap
lstm,lstm
gru,gru
máquinas de boltzmann,boltzmann machines
redes adversarias generativas,generative adversary networks
bagging,bagging
stacking,stacking
regresión de procesos gaussianos,gaussian processes regression
clustering fuzzy c means,clustering fuzzy c means
stemización,stemization
análisis de sentimientos,feelings analysis
resumen automático,automatic summary
fasttext,fasttext
representaciones contextuales,contextual representations
bert,bert
gpt,gpt
lstm,lstm
gru,gru
parsing dependencial,dependential parsing
parsing constituencial,constitutional parsing
etiquetado secuencial,sequential labeling
resolución de anáforas,anaphoras resolution
named entity linking,named entity linking
coreferencia,choreference
computación híbrida,hybrid computing
big data en la nube,big data in the cloud
servicios de nube privada,private cloud services
servicios de nube pública,public cloud services
automatización en la nube,cloud automation
machine learning en la nube,machine learning in the cloud
redes de sensores iot,iot sensor networks
conectividad iot,iot connectivity
protocolo mqtt,mqtt protocol
protocolo coap,coap protocol
dispositivos iot,iot devices
pasarelas iot,iot catwalks
análisis de datos iot,iot data analysis
integración de iot y cloud,integration of iot and cloud
gemelos digitales,digital twins
iot industrial,industrial iot
redes 5g para iot,5g networks for iot
api de iot,iot api
servicios en nube multi tenant,multi tenant cloud services
orquestación de nube,cloud orchestration
contenedores en la nube,cloud containers
cloud functions,cloud functions
iot security,iot security
procesamiento de datos iot,iot data processing
servicios de mensajería en la nube,cloud messaging services
blockchain en iot,blockchain in iot
análisis predictivo iot,iot predictive analysis
aceleración de modelos ai,ai models acceleration
despliegue de modelos ai en edge,deployment of ai models in edge
inferencia distribuida,distributed inference
optimización de recursos para modelos,optimization of resource for models
gestión de datos para ai,data management for ai
trazabilidad de datos,data traceability
pruebas de estabilidad de modelos,model stability tests
control de calidad de modelos,model quality control
pipeline de datos ai,ai data pipeline
orquestación de tareas ai,ai task orchestration
infraestructura como código para modelos,infrastructure as code for models
versionado de datos de entrenamiento,training data version
automatización de features engineering,features engineering automation
monitorización de drift de datos,data drift monitoring
escalado automático de modelos,automatic models scaling
despliegue multinube,multicloud deployment
adaptación dinámica de modelos,dynamic adaptation of models
inferencia en tiempo real,real -time inference
inferencia en lote,lot inference
explicabilidad basada en gráficos,graphic based placement
privacidad diferencial en modelos ai,differential privacy in ai models
evaluación de impacto ético de modelos,ethical impact evaluation of models
regulación de modelos de machine learning,regulation of machine learning models
pruebas de resiliencia de modelos,model resilience tests
compatibilidad con frameworks múltiples,compatibility with multiple frameworks
automatización de documentación de modelos,model documentation automation
a/b testing en modelos ai,a/b testing in ai models
gestión de sesgos post despliegue,post deployment biased management
integración de modelos en aplicaciones web,integration of models in web applications
uso de gpus para despliegue ai,use of gpus for deployment ai
inferencia en dispositivos iot,inference on iot devices
pruebas de seguridad para modelos ai,safety tests for ai models
monitorización en tiempo real de modelos,real -time monitoring of models
despliegue de modelos ai en kubernetes,deployment of ai models in kubernetes
reentrenamiento automático basado en feedback,automatic feedback resentment
uso de data lake para entrenamiento ai,data lake use for ai training
automatización de auditorías de modelos,automation of models audits
seguridad de datos en despliegues ai,data safety in ai deployments
despliegue de modelos explicables,display of explainable models
actualización continua de modelos en producción,continuous update of models in production
bots de software,software bots
flujos de trabajo automatizados,automated workflows
procesos repetitivos,repetitive processes
automatización basada en reglas,rules -based automation
orquestación de bots,bots orchestration
asistentes virtuales,virtual assistants
integración con apis,integration with apis
gestión de credenciales en rpa,credential management in rpa
bots desatendidos,unattended bots
bots atendidos,bots attended
plataformas de rpa,rpa platforms
herramientas de rpa,rpa tools
automatización de formularios,form automation
automatización de tareas manuales,automation of manual tasks
automatización de flujos de datos,data flow automation
análisis de procesos para rpa,rpa process analysis
documentación de procesos,process documentation
monitorización de bots,bots monitoring
automatización de tareas repetitivas,automation of repetitive tasks
automatización asistida,assisted automation
automatización no asistida,non -assisted automation
pruebas automatizadas,automated tests
automatización de flujos de trabajo,automation of workflows
ciclo de vida de bots,bots life cycle
impacto de rpa en el roi,rpa impact on the roi
optimización de procesos con rpa,rpa processes optimization
implementación de rpa,rpa implementation
escalabilidad en rpa,scalability in rpa
rpa en la nube,rpa in the cloud
seguridad en rpa,rpa security
análisis predictivo en rpa,predictive analysis in rpa
inteligencia artificial en rpa,artificial intelligence in rpa
automatización de atención al cliente,customer service automation
transformada rápida de fourier,fourier transformed
filtro pasa altos,filter passes high
filtro rechaza banda,filter rejects band
transformada z,transformed z
análisis de espectro,spectrum analysis
señales determinísticas,deterministic signals
señales aleatorias,random signals
ruido en señales,noise in signals
sistema lineal e invariante en el tiempo,linear and invariant system in time
interpolación de señales,signal interpolation
dizaje de señales,signal sale
análisis de tiempo frecuencia,frequency time analysis
filtrado digital,digital filtrate
filtrado analógico,analog filtering
ruido de banda limitada,limited band noise
detección de bordes en señales,border detection in signals
análisis de señales multiresolución,multi -purpose signal analysis
heatmaps,heatmaps
gráficos de torta,cake graphics
gráficos de área,area charts
diagramas de dispersión con burbujas,bubbles scatter plots
mapas coropléticos,choropleth maps
gráficos de series temporales,time  series plot
gráficos de densidad,density graphics
mapas de calor geográficos,geographical heat maps
diagramas de sankey,sankey diagrams
gráficos de pareto,pareto graphics
gráficos de boxen,boxen graphics
diagrama de hexágonos,hexagon chart
gráficos de líneas apiladas,stacked line graphics
gráficos de variación,variation charts
mapas de relieve,relief maps
mapas de flujo,flow maps
gráficos de pirámides poblacionales,population pyramid graphics
gráficos de velocímetros,velocimeter graphics
gráficos de rosetas,rosette charts
gráficos dinámicos,dynamic charts
colores en visualización,colors in visualization
principios de percepción visual,principles of visual perception
anotaciones en gráficos,charts annotations
exactitud,accuracy
agrupación aglomerativa,agglomerative clustering
ecuacion de bellman,bellman equation
bigram,bigram
radiodifusión,broadcasting
ventana de contexto,context window
costo,cost
crítico,critic
renovado,denoising
profundidad,depth
tratamiento dispar,disparate treatment
destilación,distillation
agrupación divisiva,divisive clustering
episodio,episode
época,epoch
estimador,estimator
sesgo del experimentador,experimenter's bias
f1,f1
violín,fiddle
lino,flax
generalización,generalization
impureza de gini,gini impurity
heurístico,heuristic
anfitrión,host
iou,iou
iteración,iteration
regularización de l2,l2 regularization
etiqueta,label
lambda,lambda
modelo de lenguaje,language model
hoja,leaf
pérdida de registro,log loss
lora,lora
propiedad de markov,markov property
métrico,metric
impulso,momentum
modelo multimodal,multimodal model
red neuronal,neural network
no lineal,nonlinear
sobremuestreo,oversampling
pandas,pandas
parámetro,parameter
perplejidad,perplexity
segmentación,pipeline
predicción,prediction
apreciador,rater
rehacer,relu
raíz,root
directorio raíz,root directory
boceto,sketching
representación escasa,sparse representation
temperatura,temperature
rango tensor,tensor rank
torre,tower
capacitación,training
trayectoria,trajectory
transformer,transformer
invariancia traslacional,translational invariance
subvenciones,undersampling
vector,vector
peso,weight
ancho,width
clasificación,classification
red neuronal,neural network
vector,vector
clasificación,classification
contenedores,containers
distribución de poisson,poisson distribution
distribución normal,normal distribution
conceptos,concepts
