concepto,descripcion,concept,source
modelo lineal generalizado,"En estadísticas, un modelo lineal generalizado (GLM) es una generalización flexible de la regresión lineal ordinaria.",generalized linear model,wikipedia.org
modelo generativo,"En la clasificación estadística, dos enfoques principales se denominan enfoque generativo y el enfoque discriminativo.",generative model,wikipedia.org
gradiente,"En el cálculo vectorial, el gradiente de una función diferenciable de valor escalar f {DisplayStyle f} de varias variables es el campo vectorial (o función de valor vectorial) ∇f {DisplayStyle nabla f} cuyo valor en un punto p {displaystyle p} da la dirección y la velocidad de aumento más rápido.",gradient,wikipedia.org
gradient boosting,"El impulso de gradiente es una técnica de aprendizaje automático basada en el impulso en un espacio funcional, donde el objetivo son los pseudo-resistuales en lugar de los residuos como en el impulso tradicional.",gradient boosting,wikipedia.org
descenso de gradiente,El descenso de gradiente es un método para la optimización matemática sin restricciones.,gradient descent,wikipedia.org
verdad fundamental,"La verdad fundamental es información que se sabe que es real o verdadera, proporcionada por la observación directa y la medición (es decir, evidencia empírica) en lugar de la información proporcionada por la inferencia.",ground truth,wikipedia.org
alucinación,Una alucinación una percepción de la ausencia de un estímulo externo que tiene el sentido convincente de la realidad.,hallucination,wikipedia.org
capa oculta,"En las redes neuronales artificiales, una capa oculta es una capa de neuronas artificiales que no es una capa de aninput ni una capa de salida.",hidden layer,wikipedia.org
hierarchical clustering,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o HCA) es un método de análisis de clúster que busca construir una jerarquía de grupos.",hierarchical clustering,wikipedia.org
escalada,"En el análisis numérico, Hill Climbing es una técnica de optimización matemática que pertenece a la familia de la búsqueda local.",hill climbing,wikipedia.org
pérdida de hinge,"En el aprendizaje automático, la pérdida de bisagra es una función de pérdida utilizada para los clasificadores de entrenamiento.",hinge loss,wikipedia.org
hiperplano,"En geometría, un hiperplano es una generalización de un plano bidimensional en el espacio tridimensional a espacios matemáticos de dimensión arbitraria.",hyperplane,wikipedia.org
i.i.d.,"En la teoría de la probabilidad y las estadísticas, una colección de variables aleatorias es independiente y se distribuye de manera idéntica",i.i.d.,wikipedia.org
reconocimiento de imágenes,"Las tareas de visión por computadora incluyen métodos para adquirir, procesar, analizar y comprender imágenes digitales, y la extracción de datos de alta dimensión del mundo real para producir información numérica o simbólica, e.",image recognition,wikipedia.org
sesgo implícito,El sesgo de la animpplícita o el estereotipo implícito es la atribución pre-reflectante de cualidades particulares por parte de Andividual a un miembro de algún grupo social.,implicit bias,wikipedia.org
inferencia,"Las inferencias son pasos en el razonamiento lógico, pasando de las premisas a las consecuencias lógicas; etimológicamente, la palabra inferir significa ""llevar adelante"".",inference,wikipedia.org
ganancia de información,"En las estadísticas matemáticas, la divergencia Kullback-Leibler (KL) (también llamada Entropía relativa e I-Divergence), denotó DKL (P∥Q) {DisplayStyle D_ {Text {KL}} (Pparallel Q)}, es un tipo de distancia estadista: una medida de la cantidad de probabilidad de la distribución de la distribución de la probabilidad de modelo.",information gain,wikipedia.org
ajuste de instrucciones,"Un modelo de lenguaje grande (LLM) es un tipo de modelo de aprendizaje automático diseñado para tareas de procesamiento del lenguaje natural, como la generación de idiomas.",instruction tuning,wikipedia.org
interpretabilidad,"En la lógica matemática, la interpretabilidad es una relación entre las teorías formales que expresa la posibilidad de interpretar o traducir uno al otro.",interpretability,wikipedia.org
keras,Keras es una biblioteca de código abierto que proporciona una Pythoninterface para redes neuronales artificiales.,keras,wikipedia.org
k means,"La agrupación de K-Means es un método de cuantización vectorial, originaria del procesamiento de señales, que tiene como objetivo dividir N observaciones en K clústeres en los que cada observación pertenece al clúster con la media más cercana (centros de clúster o centroide de clúster), que sirve como un prototipo del clúster.",k means,wikipedia.org
pérdida de l1,"En estadísticas y aprendizaje automático, lasso (al operador de contracción y selección menos absoluta; también laSso, Lasso o L1 Regularización) es un método de análisis de regresión que realiza tanto la selección variable como el orden de regularización para mejorar la precisión de la predicción e interpretación del modelo estadístico resultante.",l1 loss,wikipedia.org
pérdida de l2,"En las estadísticas, el error cuadrado mediano (MISE) se usa en la estimación de densidad.",l2 loss,wikipedia.org
punto de referencia,"Un hito es una característica natural o artificial reconocible utilizada para la navegación, una característica que se destaca de su entorno cercano y a menudo es visible desde largas distancias.",landmarks,wikipedia.org
modelo de lenguaje grande,"Un modelo de lenguaje grande (LLM) es un tipo de modelo de aprendizaje automático diseñado para tareas de procesamiento del lenguaje natural, como la generación de idiomas.",large language model,wikipedia.org
espacio latente,"Un espacio latente, también conocido como espacio de características latentes o espacio de incrustación, es una incrustación de un conjunto de elementos dentro de un colector en el que los elementos que se asemejan entre sí se colocan más cerca uno del otro.",latent space,wikipedia.org
tasa de aprendizaje,"En el aprendizaje automático y las estadísticas, la tasa de aprendizaje es un parámetro de ajuste en un algoritmo de optimización que determina el tamaño del paso en cada iteración mientras se mueve hacia un mínimo de una función de pérdida.",learning rate,wikipedia.org
regresión de mínimos cuadrados,Mínimos cuadrados lineales (LLS) es la aproximación de mínimos cuadrados de las funciones lineales a los datos.,least squares regression,wikipedia.org
distancia de levenshtein,"La teoría de la información, la lingüística y la informática, la distancia de Levenshtein es una métrica de cadena para medir la diferencia entre dos secuencias.",levenshtein distance,wikipedia.org
lineal,"En matemáticas, el término lineal se usa en dos sentidos distintos para dos propiedades diferentes:.",linear,wikipedia.org
modelo lineal,"En estadísticas, el término modelo lineal se refiere a cualquier modelo que asume linealidad en el sistema.",linear model,wikipedia.org
regresión lineal,"En estadísticas, la regresión lineal es un modelo que estima la relación lineal entre una respuesta escalar (variable dependiente) y una o más variables explicativas (regresor o variable independiente).",linear regression,wikipedia.org
regresión logística,"En las estadísticas, el modelo logístico (o modelo logit) es un modelo estadístico que modela los log-Odds de un evento como una combinación lineal de una o más variables independientes.",logistic regression,wikipedia.org
log odds,"En las estadísticas, la función logit (/ ˈloʊdʒɪt/ loh-jit) es la función cuantil asociada con la distribución logística estándar.",log odds,wikipedia.org
funcion de perdida,"En la optimización matemática y la teoría de la decisión, una función de pérdida o función de costo (a veces también llamada función de error) es una función que mapea un evento o valores de una o más variables en un número real que representa intuitivamente algún ""costo"" asociado con el evento.",loss function,wikipedia.org
machine learning,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas.",machine learning,wikipedia.org
machine translation,"La traducción automática es el uso de técnicas computacionales para traducir texto o habla de un idioma a otro, incluidos los matices contextuales, idiomáticos y pragmáticos de ambos idiomas.",machine translation,wikipedia.org
mate,"Matplotlib (Portmanteau de Matlab, Plot y Library) es una biblioteca de trazado para el lenguaje de programación de Python y su extensión de matemáticas numéricas Numpy.",matplotlib,wikipedia.org
factorización de matriz,"En la disciplina matemática del álgebra lineal, una descomposición de la matriz o factorización de matriz es una factorización de una matriz en un producto de matrices.",matrix factorization,wikipedia.org
meta aprendizaje,El meta-aprendizaje es una rama de metacognición preocupada por aprender sobre los propios procesos de aprendizaje y aprendizaje.,meta learning,wikipedia.org
mezcla de expertos,La mezcla de expertos (MOE) es una técnica de aprendizaje automático donde se utilizan múltiples redes de expertos (alumnos) para dividir un espacio de problemas en regiones homogéneas.,mixture of experts,wikipedia.org
modelo,"Un modelo es una representación aninformativa de un objeto, persona o sistema.",model,wikipedia.org
entrenamiento de modelos,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos.",model training,wikipedia.org
regresión multinomial,"En estadísticas, la regresión logística multinomial es un método de clasificación que generaliza la regresión logística a los problemas multiclase, i.",multinomial regression,wikipedia.org
comprensión del lenguaje natural,La comprensión del lenguaje natural (NLU) o la interpretación del lenguaje natural (NLI) es un subconjunto del procesamiento del lenguaje natural en la inteligencia artificial que se ocupa de la comprensión de la lectura de la máquina.,natural language understanding,wikipedia.org
neurona,"Una neurona, neurona o célula nerviosa es una célula excitable que dispara señales eléctricas llamadas potenciales de acción en una red neuronal en el sistema nervioso.",neuron,wikipedia.org
n gramo,Un n-gram es una secuencia de n símbolos adyacentes en un orden particular.,n gram,wikipedia.org
ruido,"El ruido es un sonido sólido, principalmente no deseado, involuntario o dañino que se considera desagradable, ruidoso o disruptivo para las facultades mentales o auditivas.",noise,wikipedia.org
detección de novedad,Detección de novedad es el mecanismo por el cual el organismo anintelligente puede identificar un patrón sensorial anincomático como hasta ahora desconocido.,novelty detection,wikipedia.org
datos numéricos,El nivel de medición o escala de medida es una clasificación que describe la naturaleza de la información dentro de los valores asignados a las variables.,numerical data,wikipedia.org
numpy,"Numpy (pronunciado / ˈnʌmpaɪ / num-py) es una biblioteca para el lenguaje de programación de Python, que agrega soporte para matrices y matrices multidimensionales grandes, junto con una gran colección de funciones matemáticas de alto nivel para operar en estas matrices.",numpy,wikipedia.org
función de objetivos,"En la optimización matemática y la teoría de la decisión, una función de pérdida o función de costo (a veces también llamada función de error) es una función que mapea un evento o valores de una o más variables en un número real que representa intuitivamente algún ""costo"" asociado con el evento.",objective function,wikipedia.org
una codificación caliente,"En los circuitos digitales y el aprendizaje automático, un único-Hot es un grupo de bits entre los cuales las combinaciones legales de valores son solo aquellas con un solo alto (1) bit y todos los demás bajos (0).",one hot encoding,wikipedia.org
optimizador,"La optimización matemática (alternativamente de la optimización deletreada) o la programación matemática es la selección de un mejor elemento, con respecto a algunos criterios, de algún conjunto de alternativas disponibles.",optimizer,wikipedia.org
detección atípica,"En el análisis de datos, la detección de anomalías (también denominada detección atípica y, a veces, como detección de novedad) generalmente se entiende como la identificación de elementos, eventos u observaciones raros que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.",outlier detection,wikipedia.org
valores atípicos,"En estadísticas, un valor atípico es un punto de datos que difiere significativamente de otras observaciones.",outliers,wikipedia.org
sobreajuste,"En el modelado matemático, el sobreajuste es ""la producción de un análisis que corresponde demasiado de cerca o exactamente a un conjunto particular de datos, y por lo tanto puede no encajar en datos adicionales o predecir observaciones futuras de manera confiable"".",overfitting,wikipedia.org
derivado parcial,"En matemáticas, una derivada parcial de una función de varias variables es su derivada con respecto a una de esas variables, con las otras mantenidas constantes.",partial derivative,wikipedia.org
sesgo de participación,"El sesgo de participación o el sesgo de no respuesta es una fenomenina que los resultados de estudios, encuestas, etc.",participation bias,wikipedia.org
perceptrón,"En el aprendizaje automático, el algoritmo de Perceptronis para el aprendizaje supervisado de clasificadores binarios.",perceptron,wikipedia.org
política,La política es un sistema deliberado de pautas para guiar las decisiones y lograr resultados racionales.,policy,wikipedia.org
función de densidad de probabilidad,"En la teoría de la probabilidad, una función de densidad de probabilidad (PDF), función de densidad o densidad de una variable aleatoria absolutamente continua, es una función cuyo valor en cualquier muestra (o punto) dado en el espacio de muestra (el conjunto de valores posibles tomados por la variable aleatoria) puede interpretarse como proporcionando una probabilidad relativa de que el valor de la variable aleatoria sea igual a esa muestra.",probability density function,wikipedia.org
ingeniería rápida,La ingeniería rápida es el proceso de estructuración o elaboración de un orden para producir el mejor resultado posible a partir de un modelo de inteligencia artificial (IA) generativa.,prompt engineering,wikipedia.org
función pura,"En la programación de computadoras, una función pura es una función que tiene las siguientes propiedades:.",pure function,wikipedia.org
q función,"En estadísticas, la función Q-Function es la función de distribución de la cola de la distribución normal estándar.",q function,wikipedia.org
q learning,"Q-Learning es un algoritmo de aprendizaje de refuerzo que capacita a un agente para asignar valores a sus posibles acciones basadas en el estado actual de ONIT, sin requerir un modelo del entorno (sin modelo).",q learning,wikipedia.org
cuantil,"En estadísticas y probabilidad, los cuantiles son puntos de corte que dividen el rango de una distribución de probabilidad en intervalos continuos con probabilidades iguales, o dividen las observaciones de una muestra de la misma manera.",quantile,wikipedia.org
random forest,"Bosques aleatorios o bosques de decisión aleatorios es un método de aprendizaje de conjunto para la clasificación, regresión y otras tareas que funciona creando una multitud de árboles de decisión durante la capacitación.",random forest,wikipedia.org
categoría,"Una clasificación es una relación entre un conjunto de elementos, a menudo registrado en una lista, de modo que, para cualquier dos elementos, el primero está ""clasificado más alto que"", ""clasificado más bajo que"" o ""clasificado igual a"" el segundo.",ranking,wikipedia.org
sistemas de recomendación,"Un sistema de recomendación (RECSYS), o un sistema de recomendación (a veces reemplazando el sistema con términos como plataforma, motor o algoritmo), es una subclase del sistema de filtrado de información que proporciona sugerencias para los elementos que son más pertinentes para un usuario en particular.",recommendation system,wikipedia.org
red neuronal recurrente,"Las redes neuronales recurrentes (RNN) son una clase de redes neuronales artificiales diseñadas para procesar datos secuenciales, como texto, voz y series de tiempo, donde el orden de los elementos es importante.",recurrent neural network,wikipedia.org
modelo de regresión,"En el modelado estadístico, el análisis de regresión es un conjunto de procesos estadísticos para estimar las relaciones entre una variable dependiente y una o más variables independientes libres de errores (a menudo llamadas regresores, predictores, covariables, variables o características explicativas).",regression model,wikipedia.org
réplica,"Una réplica es una copia exacta (generalmente 1: 1 en escala) o una nueva versión de un objeto, hecha de las mismas materias primas, ya sea una molécula, una obra de arte o un producto comercial.",replica,wikipedia.org
sesgo de informes,"En epidemiología, el sesgo de informes se define como ""reveladora o supresión selectiva de información"" por parte de los sujetos (por ejemplo, sobre la historia médica pasada, el tabaquismo, las experiencias sexuales).",reporting bias,wikipedia.org
invariancia rotacional,"En matemáticas, se dice que una función definida en el espacio del producto Aninner tiene una invariancia rotacional si su valor no cambia cuando las rotaciones arbitrarias se aplican a su argumento.",rotational invariance,wikipedia.org
r cuadrado,"En las estadísticas, el coeficiente de determinación, denota R2 o R2 y pronunciado ""R cuadrado"", es la proporción de la variación en la variable dependiente que es predecible de las variables independientes.",r squared,wikipedia.org
sesgo de muestreo,"En estadísticas, el sesgo de muestreo es un sesgo en el que se recolecta una muestra de tal manera que algunos miembros de la población prevista tienen una probabilidad de muestreo menor o mayor que otros.",sampling bias,wikipedia.org
muestreo con reemplazo,"En estadísticas, una muestra aleatoria simple (o SRS) es un subconjunto de individuos (una muestra) elegido de un conjunto más grande (una población) en el que un subconjunto de individuos se elige al azar, todos con la misma probabilidad.",sampling with replacement,wikipedia.org
sesgo de selección,"El sesgo de selección es el sesgo introducido por la selección de individuos, grupos o datos para el análisis de tal manera que la aleatorización adecuada no se logra, lo que no se asegura de que la muestra obtenida sea representativa de la población que impide ser analizada.",selection bias,wikipedia.org
aprendizaje semi supervisado,"La supervisión débil (también conocida como aprendizaje semi-supervisado) es un paradigma en el aprendizaje automático, cuya relevancia y notabilidad aumentó con el advenimiento de grandes modelos de idiomas debido a la gran cantidad de datos necesarios para entrenarlos.",semi supervised learning,wikipedia.org
análisis de sentimientos,"El análisis de sentimientos (también conocido como minería de opinión o emoción ai) es el uso del procesamiento del lenguaje natural, el análisis de texto, la lingüística computacional y la biometría para identificar, extraer, cuantificar y estudiar sistemáticamente estados afectivos e información subjetiva.",sentiment analysis,wikipedia.org
función sigmoidía,Una función sigmoidea es cualquier función matemática cuyo gráfico tiene una curva característica en forma de S o sigmoide.,sigmoid function,wikipedia.org
medida de similitud,"En estadísticas y campos relacionados, una medida de similitud o función de similitud o métrica de similitud es una función de valor real que cuantifica la similitud entre dos objetos.",similarity measure,wikipedia.org
softmax,"La función Softmax, también conocida como SoftargMax: 184 o función exponencial normalizada,: 198 convierte un vector de k números reales en una distribución de probabilidad de k posibles resultados.",softmax,wikipedia.org
vector escaso,"En el análisis numérico y la computación científica, una matriz escasa o una matriz dispersa es una matriz en la que la mayoría de los elementos son cero.",sparse vector,wikipedia.org
escasez,"En el análisis numérico y la computación científica, una matriz escasa o una matriz dispersa es una matriz en la que la mayoría de los elementos son cero.",sparsity,wikipedia.org
estado,"Estado (controles), un término relacionado con la teoría de control.",state,wikipedia.org
estacionariedad,"En matemáticas y estadísticas, un proceso estacionario (también llamado un proceso estricto/estrictamente estacionado o un proceso fuerte/fuertemente estacionario) es un proceso estocástico cuyas propiedades estadísticas, como la media y la varianza, no cambian con el tiempo.",stationarity,wikipedia.org
tamaño de paso,"En el aprendizaje automático y las estadísticas, la tasa de aprendizaje es un parámetro de ajuste en un algoritmo de optimización que determina el tamaño del paso en cada iteración mientras se mueve hacia un mínimo de una función de pérdida.",step size,wikipedia.org
