concepto,descripcion,source,num_tokens
bert,Las representaciones del codificador bidireccional de transformers (bert) son un modelo de idioma introducido en octubre de 2018 por investigadores de google.,Wiki_SerpAPI,25
sesgo  o término de sesgo,"En estadística y aprendizaje automático, el dilema entre sesgo y varianza describe la relación entre la complejidad de un modelo, la exactitud de sus predicciones y su capacidad para realizar predicciones sobre datos no observados previamente que no se utilizaron para entrenar el modelo.",Wiki_SerpAPI,47
modelo de lenguaje bidireccional,Un modelo de lenguaje es un modelo de lenguaje natural.,Wiki_SerpAPI,11
condición binaria,La lógica binaria es la que trabaja con las variables y operaciones del álgebra de boole.,Wiki_SerpAPI,17
bleu,Bleu (suplente de evaluación bilingüe) es un algoritmo para evaluar la calidad del texto que ha sido traducido a máquina de un lenguaje natural a otro.,Wiki_SerpAPI,29
bleurt,Bleu (suplente de evaluación bilingüe) es un algoritmo para evaluar la calidad del texto que ha sido traducido a máquina de un lenguaje natural a otro.,Wiki_SerpAPI,29
aumento,El aumento de datos es una técnica estadística que permite una estimación de máxima probabilidad a partir de datos incompletos.,Wiki_SerpAPI,21
cuadro de límite,"En análisis real y complejo, la teoría de límite es la clave de toque que formaliza la nociónintuitiva de aproximación hacia un punto concreto de una sucesión o una función, a medida que los parámetros de esa sucesión o función se acercan a un determinado valor.",Wiki_SerpAPI,49
agrupamiento,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o hca) es un método de análisis de clúster que busca construir una jerarquía de grupos.",Wiki_SerpAPI,37
capa de calibración,El coeficiente kappa de cohen es una medida estadística que ajusta el efecto del azar en la proporción de la concordancia observada.,Wiki_SerpAPI,23
generación de candidatos,"El algoritmo a priori es un algoritmo utilizado en minería de datos, sobre bases de datos transaccionales, que permite encontrar de forma eficiente ""conjuntos de ítems frecuentes"", los cuales sirven de base para generar reglas de asociación.",Wiki_SerpAPI,43
muestreo de candidatos,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos.",Wiki_SerpAPI,50
modelo de lenguaje causal,Un modelo de lenguaje es un modelo de lenguaje natural.,Wiki_SerpAPI,11
agrupamiento en clústeres basado en centroides,"Análisis de grupos o agrupamiento es la tarea de agrupar objetos por similitud, en grupos o conjuntos de manera que los miembros del mismo grupo tengan características similares.",Wiki_SerpAPI,30
cadena de pensamientos,La ingeniería de instrucción (prompt engineering) es el proceso de estructurar un texto que puede ser interpretado y comprendido mediante un modelo de inteligencia artificial generativa.,Wiki_SerpAPI,29
modelo de clasificación,"Aprendizaje de clasificación o aprendizaje automático de clasificación (mlr, por sus siglas eninglés) es la aplicación de aprendizaje automático, típicamente supervisado, semisupervisado o aprendizaje reforzado en la construcción de modelos de clasificación para sistemas de recuperación de información.",Wiki_SerpAPI,44
umbral de clasificación,"En el campo del aprendizaje automático, el objetivo del aprendizaje supervisado es usar las características de un objeto para identificar a qué clase (o grupo) pertenece.",Wiki_SerpAPI,30
conjunto de datos con desequilibrio de clases,"El sesgo es un peso desproporcionado a favor o en contra de una cosa, persona o grupo en comparación con otra, generalmente de una manera que se considera injusta.",Wiki_SerpAPI,32
cloud tpu,"La unidad de procesamiento tensor (tpu) es un circuito integrado específico de aplicación de acelerador de ia (asic) desarrollado por google para el aprendizaje automático de redes neuronales, utilizando el software tensorflow propio de google.",Wiki_SerpAPI,41
agrupamiento,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o hca) es un método de análisis de clúster que busca construir una jerarquía de grupos.",Wiki_SerpAPI,37
desviación de conceptos,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (eninglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.",Wiki_SerpAPI,68
configuración,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
análisis de distritos electorales,"En sistemas electorales representativos, gerrymandering (/ ˈdʒɛrimændərɪŋ/ jerr-ee-man-dər-ing, originalmente/ ˈrimændərɪŋ/ gherr-ee-man-dər-ing) es la manipulación política de los límites del distrito electoral para ventender un partido, grupo o clase socioeconómica dentro de la constituyencia.",Wiki_SerpAPI,39
incorporación de lenguaje contextualizado,"La didáctica es una rama de la pedagogía que se enfoca en los estudios de los métodos, técnicas, estrategias de enseñanza y aprendizaje.",Wiki_SerpAPI,26
atributo continuo,"En el aprendizaje automático (aa) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.",Wiki_SerpAPI,26
convergencia,La convergencia uniforme en la probabilidad es una forma de convergencia en la probabilidad en la teoría asintótica estadística y la teoría de la probabilidad.,Wiki_SerpAPI,26
optimización de función convexa,"En el aprendizaje automático, las máquinas kernel son una clase de algoritmos para el análisis de patrones, cuyo miembro más conocido es la máquina de vectores de soporte (svm).",Wiki_SerpAPI,34
filtro convolucional,Una red neuronal convolucional (cnn) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma através de la optimización del filtro (o núcleo).,Wiki_SerpAPI,34
operación convolucional,Una red neuronal convolucional (cnn) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma através de la optimización del filtro (o núcleo).,Wiki_SerpAPI,34
coentrenamiento,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos.",Wiki_SerpAPI,26
magnificación de datos,El aumento de datos es una técnica estadística que permite una estimación de máxima probabilidad a partir de datos incompletos.,Wiki_SerpAPI,21
dataframe,Pandas (styled como pandas) es una biblioteca de software escrita para el lenguaje de programación de python para la manipulación y análisis de datos.,Wiki_SerpAPI,27
api de dataset,Estos conjuntos de datos se utilizan en la investigación de aprendizaje automático (ml) y se han citado en revistas académicas revisadas por pares.,Wiki_SerpAPI,26
bosque de decisión,"Bosques aleatorios o bosques de decisión aleatorios es un método de aprendizaje de conjunto para la clasificación, regresión y otras tareas que funciona creando una multitud de árboles de decisión durante la capacitación.",Wiki_SerpAPI,35
umbral de decisión,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
modelo profundo,"El aprendizaje profundo (eninglés, deep learning) es una rama del aprendizaje automático que se basa en el uso de algoritmos para modelar y comprender datos complejos.",Wiki_SerpAPI,30
diseño de red neuronal profunda,"En el aprendizaje automático, una red neuronal artificial (abreviada ann o nn) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales.",Wiki_SerpAPI,41
red de deep q,El aprendizaje de refuerzo profundo o deep reinforcement learning (drl) es un subcampo del aprendizaje automático que combina el aprendizaje reforzado con el aprendizaje profundo.,Wiki_SerpAPI,28
paridad demográfica,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
atributo denso,"La detección de objetos es una tecnología de ordenador relacionada con la visión artificial y el procesamiento de imagen que trata de detectar casos de objetos semánticos de una cierta clase (como humanos, edificios, o coches) en vídeos e imágenes digitales.",Wiki_SerpAPI,46
capa densa,"En el aprendizaje automático, una red neuronal artificial (abreviada ann o nn) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales.",Wiki_SerpAPI,41
depth,"El aprendizaje profundo es un subconjunto de aprendizaje automático que se centra en utilizar redes neuronales para realizar tareas como clasificación, regresión y aprendizaje de representación.",Wiki_SerpAPI,28
red neuronal convolucional separable en profundidad,"En el aprendizaje automático, el perceptron es un algoritmo para el aprendizaje supervisado de clasificadores binarios.",Wiki_SerpAPI,18
etiqueta derivada,"El aprendizaje automático en bioinformática consiste en la aplicación de algoritmos de aprendizaje automático, en entornos de bioinformática, como, por ejemplo, la genómica, la proteómica, los microarrays, la biología de sistemas, la biología evolutiva y la minería de textos.",Wiki_SerpAPI,48
reducción de dimensiones,"La reducción de la dimensionalidad, o la reducción de la dimensión, es la transformación de datos de un espacio de alta dimensión en un espacio de baja dimensión para que la representación de baja dimensión retenga algunas propiedades significativas de los datos originales, idealmente cerca de su dimensiónintrínseca.",Wiki_SerpAPI,52
instrucciones directas,"El aprendizaje por refuerzo o aprendizaje reforzado (eninglés: reinforcement learning) es un área del aprendizaje automático (aa) inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado.",Wiki_SerpAPI,59
atributo discreto,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
reducción de muestreo,"En el procesamiento de señal digital, submuestreo, compresión y diezmado son términos asociados con el proceso de remuestreo en un sistema de procesamiento de señal digital de velocidad múltiple.",Wiki_SerpAPI,32
dqn,El aprendizaje de refuerzo profundo o deep reinforcement learning (drl) es un subcampo del aprendizaje automático que combina el aprendizaje reforzado con el aprendizaje profundo.,Wiki_SerpAPI,28
regularización de retirados,"La historia de francia comienza en fuentes escritas durante la edad del hierro, cuando historiadores romanos llaman a la región la galia.",Wiki_SerpAPI,24
dinámico,El modelado dinámico empírico (edm) es un marco para el análisis y la predicción de sistemas dinámicos no lineales.,Wiki_SerpAPI,22
ejecución inmediata,"Una automatización robótica de procesos, o rpa (robotic process automation), es una forma naciente de automatización de los procesos de negocio que replica las acciones de un ser humano interactuando con la interfaz de usuario de un sistema informático, liberándose de la dependencia de apis de programación.",Wiki_SerpAPI,53
interrupción anticipada,La circunnavegación de nueva zelanda por james cook con el hmb endeavour fue la primera circunnavegación documentada de las dos grandes islas de nueva zelanda.,Wiki_SerpAPI,26
distancia del movimiento de tierras,"El movimiento ambientalista, también conocido como ambientalismo, movimiento ecologista o movimiento verde, es un conjunto diverso de corrientes de pensamiento y movimientos sociales enfocados en la protección del medio ambiente.",Wiki_SerpAPI,34
notación einsum,"En matemáticas, especialmente el uso del álgebra lineal en la física matemática y la geometría diferencial, la notación de einstein es una convención nota que implica una suma sobre un conjunto de términos indexados en una fórmula, lo que logran la brevedad.",Wiki_SerpAPI,46
capa de incorporación,Una red neuronal convolucional (cnn) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma através de la optimización del filtro (o núcleo).,Wiki_SerpAPI,34
vector de incorporación,"Las aplicaciones del aprendizaje automático (ml) en las ciencias de la tierra incluyen mapeo geológico, detección de fugas de gas e identificación de características geológicas.",Wiki_SerpAPI,29
ensamble,"En estadísticas y aprendizaje automático, los métodos de conjunto utilizan múltiples algoritmos de aprendizaje para obtener un mejor rendimiento predictivo de lo que podría obtenerse de cualquiera de los algoritmos de aprendizaje constituyentes solo.",Wiki_SerpAPI,36
de producción,Mlops o ml ops es un paradigma que tiene como objetivo implementar y mantener modelos de aprendizaje automático en producción de manera confiable y eficiente.,Wiki_SerpAPI,26
política de codicia de epsilon,"En la teoría de la probabilidad y el aprendizaje automático, el problema de bandidos múltiples (a veces llamado problema de bandidos de armado k o n) es un problema en el que un tomador de decisiones selecciona iterativamente una de las múltiples opciones fijas (es decir, armas o acciones) cuando las propiedades de cada opción se conocen parcialmente en el momento de la asignación, y puede volverse mejor, mejor se entiende.",Wiki_SerpAPI,80
probabilidades iguales,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
evals,"La evaluación de un clasificador binario generalmente asigna un valor numérico, o valores, a un clasificador que representa su precisión.",Wiki_SerpAPI,23
repetición de la experiencia,El aprendizaje de refuerzo profundo o deep reinforcement learning (drl) es un subcampo del aprendizaje automático que combina el aprendizaje reforzado con el aprendizaje profundo.,Wiki_SerpAPI,28
restricción de equidad,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
métrica de equidad,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
tasa de falsos positivos,Dado un estimador para una variable estadística discreta binaria se definen dos valores asociados importantes: sensibilidad y especificidad.,Wiki_SerpAPI,20
función,"El aprendizaje automático (ml) es un campo de estudio eninteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sininstrucciones explícitas.",Wiki_SerpAPI,42
combinación de atributos,"En el aprendizaje automático (aa) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.",Wiki_SerpAPI,26
ingeniería de atributos.,La ingeniería de características es un paso de preprocesamiento en el aprendizaje automático supervisado y el modelado estadístico que transforma los datos sin procesar en un conjunto más efectivo de entradas.,Wiki_SerpAPI,32
extracción de atributos,"En el aprendizaje automático, la selección de características es el proceso de seleccionar un subconjunto de características relevantes (variables, predictores) para su uso en la construcción del modelo.",Wiki_SerpAPI,33
importancias de los atributos,"La creación de atributos, ingeniería de atributos, extracción de atributos o descubrimiento de atributos es el proceso de utilizar el conocimiento del dominio para extraer atributos (rasgos, propiedades, atributos) de los datos brutos.",Wiki_SerpAPI,40
conjunto de atributos,"En el aprendizaje automático (aa) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.",Wiki_SerpAPI,26
especificación de atributos,"En minería de datos y aprendizaje automático, las reglas de asociación se utilizan para descubrir hechos que ocurren en común dentro de un determinado conjunto de datos.",Wiki_SerpAPI,29
vector de atributos,"En el aprendizaje automático y el reconocimiento de patrones, una característica es una propiedad individual medible o característica de un conjunto de datos.",Wiki_SerpAPI,25
transformación de atributos,"La creación de atributos, ingeniería de atributos, extracción de atributos o descubrimiento de atributos es el proceso de utilizar el conocimiento del dominio para extraer atributos (rasgos, propiedades, atributos) de los datos brutos.",Wiki_SerpAPI,40
ciclo de retroalimentación,Mlops o ml ops es un paradigma que tiene como objetivo implementar y mantener modelos de aprendizaje automático en producción de manera confiable y eficiente.,Wiki_SerpAPI,26
aprendizaje en pocos intentos,"Varias técnicas de inteligencia artificial han sido utilizadas en los videojuegos, de muchas maneras, que van desde el control de personajes no jugadores (npc) hasta la generación de contenido procesal (pcg).",Wiki_SerpAPI,38
instrucción con varios ejemplos,La ingeniería de instrucción (prompt engineering) es el proceso de estructurar un texto que puede ser interpretado y comprendido mediante un modelo de inteligencia artificial generativa.,Wiki_SerpAPI,29
puerta de olvido,"La memoria larga a corto plazo, (eninglés, long short-term memory o lstm) es una arquitectura de red neuronal recurrente (rnn) desarrollada para abordar el problema de desvanecimiento de gradiente, que afecta la capacidad de las rnn tradicionales para aprender dependencias a largo plazo en secuencias de datos.",Wiki_SerpAPI,55
fracción de éxitos,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
softmax completo,"La función softmax, también conocida como softargmax: 184 o función exponencial normalizada,: 198 convierte un vector de k números reales en una distribución de probabilidad de k posibles resultados.",Wiki_SerpAPI,34
capa completamente conectada,"Una capa en un modelo de aprendizaje profundo es una estructura o topología de red en la arquitectura del modelo, que toma información de las capas anteriores y luego la pasa a la siguiente capa.",Wiki_SerpAPI,37
transformación de funciones,"El aprendizaje profundo (eninglés, deep learning) es una rama del aprendizaje automático que se basa en el uso de algoritmos para modelar y comprender datos complejos.",Wiki_SerpAPI,30
gan,Una red adversaria generativa (gan) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa.,Wiki_SerpAPI,26
gemini,"Gemini (anteriormente conocido como bard) es una familia de modelos de idiomas grandes multimodales desarrollados por google deepmind, que sirve como sucesor de lamda y palm 2.",Wiki_SerpAPI,31
modelos de gemini,"Gemini (anteriormente conocido como bard) es una familia de modelos de idiomas grandes multimodales desarrollados por google deepmind, que sirve como sucesor de lamda y palm 2.",Wiki_SerpAPI,31
curva de generalización,"Para las aplicaciones de aprendizaje supervisado en el aprendizaje automático y la teoría del aprendizaje estadístico, el error de generalización (también conocido como error fuera de muestra o riesgo) es una medida de la precisión con la que un algoritmo es capaz de predecir resultados para datos nunca antes vistos.",Wiki_SerpAPI,54
texto generado,"La inteligencia artificial generativa (ia generativa, genai o gai) es un subconjunto de inteligencia artificial que utiliza modelos generativos para producir texto, imágenes, videos u otras formas de datos.",Wiki_SerpAPI,35
red generativa adversaria,Una red adversaria generativa (gan) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa.,Wiki_SerpAPI,26
ia generativa,"La inteligencia artificial generativa (ia generativa, genai o gai) es un subconjunto de inteligencia artificial que utiliza modelos generativos para producir texto, imágenes, videos u otras formas de datos.",Wiki_SerpAPI,35
conjunto de datos de referencia,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que puedan aprender de los datos y hacer predicciones sobre ellos.",Wiki_SerpAPI,28
respuesta dorada,"Eninformática, un registro dorado es la versión válida de un elemento de datos (registro) en una sola fuente de sistema de verdad.",Wiki_SerpAPI,26
gpt,Un transformador generativo previamente capacitado (gpt) es un tipo de modelo de lenguaje grande (llm) y un marco prominente para la inteligencia artificial generativa.,Wiki_SerpAPI,29
acumulación de gradientes,"La memoria larga a corto plazo, (eninglés, long short-term memory o lstm) es una arquitectura de red neuronal recurrente (rnn) desarrollada para abordar el problema de desvanecimiento de gradiente, que afecta la capacidad de las rnn tradicionales para aprender dependencias a largo plazo en secuencias de datos.",Wiki_SerpAPI,55
árboles  impulsados por gradientes,Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo.,Wiki_SerpAPI,30
recorte de gradientes,"La memoria larga a corto plazo, (eninglés, long short-term memory o lstm) es una arquitectura de red neuronal recurrente (rnn) desarrollada para abordar el problema de desvanecimiento de gradiente, que afecta la capacidad de las rnn tradicionales para aprender dependencias a largo plazo en secuencias de datos.",Wiki_SerpAPI,55
descenso de gradientes,El descenso de gradiente es un método para la optimización matemática sin restricciones.,Wiki_SerpAPI,14
política codiciosa,Un algoritmo codicioso es cualquier algoritmo que siga la heurística de resolución de problemas de hacer la decisión localmente óptima en cada etapa.,Wiki_SerpAPI,24
agrupamiento en clústeres jerárquico,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o hca) es un método de análisis de clúster que busca construir una jerarquía de grupos.",Wiki_SerpAPI,37
ascenso de colinas,"En ciencia de la computación, el algoritmo hill climbing, también llamado algoritmo de escalada simple o ascenso de colinas es una técnica de optimización matemática que pertenece a la familia de los algoritmos de búsqueda local.",Wiki_SerpAPI,39
pérdida de bisagra,"En el aprendizaje automático, la pérdida de bisagra es una función de pérdida utilizada para los clasificadores de entrenamiento.",Wiki_SerpAPI,21
sesgo histórico,"El sesgo es un peso desproporcionado a favor o en contra de una cosa, persona o grupo en comparación con otra, generalmente de una manera que se considera injusta.",Wiki_SerpAPI,32
datos de exclusión,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos.",Wiki_SerpAPI,26
evaluación humana,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
con interacción humana,"La interacción humana -computadora (hci) es una investigación en el diseño y el uso de la tecnología informática, que se centra en las interfaces entre las personas (usuarios) y las computadoras.",Wiki_SerpAPI,37
conjunto de datos desequilibrado,"Muchos académicos y formuladores de políticas han señalado que los campos de la ciencia, tecnología, ingeniería y matemáticas (ctim) se han mantenido predominantemente masculinos con una participación históricamente baja de mujeres desde los orígenes de estos campos durante la la ilustración.",Wiki_SerpAPI,46
imputación,"En estadísticas, la imputación es el proceso de reemplazar los datos faltantes con valores sustituidos.",Wiki_SerpAPI,17
incompatibilidad de métricas de equidad,"En finanzas, un desajuste de activos -responsabilidad ocurre cuando los términos financieros de los activos y pasivos de una institución no se corresponden.",Wiki_SerpAPI,25
aprendizaje en contexto,"El aprendizaje automático (ml) es un campo de estudio eninteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sininstrucciones explícitas.",Wiki_SerpAPI,42
equidad individual,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados sonindependientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él",Wiki_SerpAPI,30
ruta de inferencia,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
generador de entradas,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
capa de entrada,"En las redes neuronales artificiales, la atención es una técnica que pretende imitar la atención cognitiva.",Wiki_SerpAPI,18
condición del conjunto,Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo.,Wiki_SerpAPI,30
acuerdo entre evaluadores,El coeficiente kappa de cohen es una medida estadística que ajusta el efecto del azar en la proporción de la concordancia observada.,Wiki_SerpAPI,23
intersección sobre la unión,"La detección de objetos es una tecnología informática relacionada con la visión por computadora y el procesamiento de imágenes que se ocupa de la detección de instancias de objetos semánticos de una determinada clase (como humanos, edificios o automóviles) enimágenes y videos digitales.",Wiki_SerpAPI,47
máquinas de vectores soporte de kernel,"En el aprendizaje automático, las máquinas de vectores de soporte (svms, también de soporte de redes de vectores) se supervisan modelos máximos de margen con algoritmos de aprendizaje asociados que analizan datos para el análisis de clasificación y regresión.",Wiki_SerpAPI,44
puntos clave,"El aprendizaje automático (aa); también llamado automatizado, computacional, de máquinas, o maquinal (del inglés machine learning, ml), es el subcampo de las ciencias de la computación y una rama de la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan.",Wiki_SerpAPI,56
validación cruzada de k-fold,"La validación cruzada, a veces llamada estimación de rotación o pruebas fuera de la muestra, es cualquiera de las varias técnicas similares de validación de modelos para evaluar cómo los resultados de un análisis estadístico se generalizarán en un conjunto de datos independiente.",Wiki_SerpAPI,46
regularización l0,"En matemáticas, estadísticas, finanzas y ciencias de la computación, particularmente en el aprendizaje automático y los problemas inversos, la regularización es un proceso que convierte la respuesta de un problema a uno más simple.",Wiki_SerpAPI,39
regularización l1,"En matemáticas, estadísticas, finanzas y ciencias de la computación, particularmente en el aprendizaje automático y los problemas inversos, la regularización es un proceso que convierte la respuesta de un problema a uno más simple.",Wiki_SerpAPI,39
