concepto,descripcion
evaluación automática,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
automl,Automated Machine Learning (AUTOML) es el proceso de automatización de las tareas de aplicar el aprendizaje automático a los problemas del mundo real. Es la combinación de automatización y ML.
evaluación del evaluador automático,"La puntuación automatizada de ensayos (PAE) es el uso de programas informáticos especializados para asignar notas a los ensayos escritos en un ámbito educativo. Es una forma de valoración educativa y una aplicación de procesamiento de lenguaje natural. Su objetivo es clasificar un gran conjunto de textos en una pequeña cantidad de categorías, correspondiendo a las posibles calificaciones, por ejemplo, de los números 1 a 6. En este caso, el disminuir el tamaño puede ser considerado un problema de clasificación estadística."
pérdida auxiliar,"La mezcla de expertos (MoE) es una técnica de aprendizaje automático en la que se utilizan múltiples redes de expertos (learners) para dividir un espacio de problemas en regiones homogéneas.​ Se diferencia de las técnicas de ensemble en que, en el caso de las MoE, normalmente solo se ejecutan uno o unos pocos modelos expertos para cada entrada, mientras que en las técnicas de ensemble todos los modelos se ejecutan para cada entrada."
precisión promedio en k,"Las medidas de evaluación para un sistema de recuperación de información (IR) evalúan qué tan bien un índice, un motor de búsqueda o una base de datos devuelve los resultados de una colección de recursos que satisfacen la consulta de un usuario. Por lo tanto, son fundamentales para el éxito de los sistemas de información y las plataformas digitales."
condición alineada con el eje,"En geometría, la colinealidad es la propiedad según la cual un conjunto de puntos están situados sobre la misma línea recta.​ Se dice que un conjunto de puntos que posee esta propiedad es colineal (a veces escrito como colinear,​ procedente de una traducción inadecuada del inglés). En general, el término se ha usado para objetos alineados, es decir, elementos que están ""en una línea"" o ""en una fila""."
propagación inversa,"En el aprendizaje automático, Backpropagation es un método de estimación de gradiente comúnmente utilizado para capacitar a una red neuronal para calcular sus actualizaciones de parámetros."
bagging,"La agregación de bootstrap, también llamado empacado (de la agregación de arranque) o el bootstrapping, es un meta-algoritmo de conjunto de aprendizaje automático (ML) diseñado para mejorar la estabilidad y la precisión de los algoritmos de clasificación y regresión de ML. También reduce la varianza y el sobreajuste. Aunque generalmente se aplica a los métodos de árbol de decisión, se puede usar con cualquier tipo de método. El bolso es un caso especial del enfoque de promedio de conjunto."
bolsa de palabras,"El modelo de la bolsa de palabras (Bow) es un modelo de texto que utiliza una colección desordenada (una ""bolsa"") de palabras. Se utiliza en el procesamiento del lenguaje natural y la recuperación de información (IR). No tiene en cuenta el orden de las palabras (y, por lo tanto, la mayor parte de la sintaxis o la gramática) pero captura la multiplicidad."
lote,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable a través de la normalización de las entradas de las capas mediante la recentimiento y el reescalado. Fue propuesto por Sergey Ioffe y Christian Szegedy en 2015.
inferencia por lotes,"El aprendizaje federado (también llamado aprendizaje colaborativo) es una técnica deaprendizaje automático que entrena un algoritmo a través de una arquitectura descentralizada formada por múltiples dispositivos los cuales contienen sus propios datos locales y privados. Creado por Google en el año 2017,​ este enfoque contrasta con las técnicas tradicionales de aprendizaje automático centralizado y de enfoques descentralizados más clásicos, en las que todos los conjuntos de datos se cargan en un servidor de manera idéntica a como están almacenados en local. Gracias a esto se conserva la integridad de la información que está siendo utilizada para el aprendizaje sin poner en peligro la privacidad y seguridad."
normalización por lotes,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable a través de la normalización de las entradas de las capas mediante la recentimiento y el reescalado. Fue propuesto por Sergey Ioffe y Christian Szegedy en 2015.
tamaño del lote,No confundir con Hiperparámetro (Bayesiano)
red neuronal bayesiana,"Una red bayesiana (también conocida como una red Bayes, Bayes Net, Belief Network o Decision Network) es un modelo gráfico probabilístico que representa un conjunto de variables y sus dependencias condicionales a través de un gráfico acíclico dirigido (DAG). Si bien es una de varias formas de notación causal, las redes causales son casos especiales de redes bayesianas. Las redes bayesianas son ideales para tomar un evento que ocurrió y predecir la probabilidad de que alguna de varias causas posibles conocidas fuera el factor contribuyente.  Por ejemplo, una red bayesiana podría representar las relaciones probabilísticas entre enfermedades y síntomas. Síntomas dados, la red puede usarse para calcular las probabilidades de la presencia de diversas enfermedades."
bert,"Las representaciones del codificador bidireccional de Transformers (BERT) son un modelo de idioma introducido en octubre de 2018 por investigadores de Google. Aprende a representar el texto como una secuencia de vectores utilizando el aprendizaje auto-supervisado. Utiliza la arquitectura del transformador solo del codificador. Es notable por su mejora dramática sobre los modelos anteriores de última generación, y como un ejemplo temprano de un modelo de lenguaje grande. A partir de 2020 [actualización], Bert es una línea de base ubicua en los experimentos de procesamiento del lenguaje natural (PNL)."
sesgo  o término de sesgo,"En estadística y aprendizaje automático, el dilema entre sesgo y varianza describe la relación entre la complejidad de un modelo, la exactitud de sus predicciones y su capacidad para realizar predicciones sobre datos no observados previamente que no se utilizaron para entrenar el modelo. En general, a medida que aumentamos el número de parámetros ajustables en un modelo, éste se vuelve más flexible y puede ajustarse mejor a un conjunto de datos de entrenamiento. Se dice que tiene menos error o sesgo. Sin embargo, para los modelos más flexibles, tenderá a haber una mayor varianza en el ajuste del modelo cada vez que tomemos un conjunto de muestras para crear un nuevo conjunto de datos de entrenamiento. Se dice que hay una mayor varianza en los parámetros estimados del modelo."
modelo de lenguaje bidireccional,"Un modelo de lenguaje es un modelo de lenguaje natural. Los modelos de lenguaje son útiles para una variedad de tareas, que incluyen reconocimiento de voz, traducción automática, generación de lenguaje natural (que generan un texto más humano), reconocimiento de caracteres ópticos, optimización de rutas, reconocimiento de escritura a mano, inducción de gramática y recuperación de información."
condición binaria,"La lógica binaria es la que trabaja con las variables y operaciones del álgebra de Boole. Así, las variables sólo toman dos valores discretos, los valores de verdad V (verdadero) y F (falso), aunque estos dos valores lógicos también se pueden denotar como sí y no, o como 1 y 0 respectivamente. "
bleu,"Bleu (suplente de evaluación bilingüe) es un algoritmo para evaluar la calidad del texto que ha sido traducido a máquina de un lenguaje natural a otro. Se considera que la calidad es la correspondencia entre la salida de una máquina y la de un humano: ""Cuanto más cercana sea una traducción automática para una traducción humana profesional, mejor es"", esta es la idea central detrás de Bleu. Inventado en IBM en 2001, Bleu fue una de las primeras métricas en reclamar una alta correlación con los juicios humanos de calidad, y sigue siendo una de las métricas automatizadas y económicas más populares."
bleurt,"Bleu (suplente de evaluación bilingüe) es un algoritmo para evaluar la calidad del texto que ha sido traducido a máquina de un lenguaje natural a otro. Se considera que la calidad es la correspondencia entre la salida de una máquina y la de un humano: ""Cuanto más cercana sea una traducción automática para una traducción humana profesional, mejor es"", esta es la idea central detrás de Bleu. Inventado en IBM en 2001, Bleu fue una de las primeras métricas en reclamar una alta correlación con los juicios humanos de calidad, y sigue siendo una de las métricas automatizadas y económicas más populares."
aumento,"El aumento de datos es una técnica estadística que permite una estimación de máxima probabilidad a partir de datos incompletos. El aumento de datos tiene aplicaciones importantes en el análisis bayesiano, y la técnica se usa ampliamente en el aprendizaje automático para reducir el sobreajuste al capacitar a los modelos de aprendizaje automático, logrado mediante modelos de capacitación en varias copias ligeramente modificadas de los datos existentes."
cuadro de límite,"En  análisis real y complejo, la teoría de límite es la clave de toque que formaliza la noción intuitiva de aproximación hacia un punto concreto de una sucesión o una función, a medida que los parámetros de esa sucesión o función se acercan a un determinado valor. En el análisis los conceptos de series convergentes, derivada e integral definida se fundamentan mediante el concepto de límite."
agrupamiento,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o HCA) es un método de análisis de clúster que busca construir una jerarquía de grupos. Las estrategias para la agrupación jerárquica generalmente se dividen en dos categorías:"
capa de calibración,"El Coeficiente kappa de Cohen es una medida estadística que ajusta el efecto del azar en la proporción de la concordancia observada.​ En general se cree que es una medida más robusta que el simple cálculo del porcentaje de concordancia, ya que κ tiene en cuenta el acuerdo que ocurre por azar. Algunos investigadores​ han expresado su preocupación por la tendencia de κ a dar por seguras las frecuencias de las categorías observadas, lo que puede tener el efecto de subestimar el acuerdo para una categoría de uso habitual; por esta razón, κ se considera una medida de acuerdo excesivamente conservadora."
generación de candidatos,"El algoritmo a priori es un algoritmo utilizado en minería de datos, sobre bases de datos transaccionales, que permite encontrar de forma eficiente ""conjuntos de ítems frecuentes"", los cuales sirven de base para generar reglas de asociación. Procede identificando los ítems individuales frecuentes en la base y extendiéndolos a conjuntos de mayor tamaño siempre y cuando esos conjuntos de datos aparezcan suficientemente seguidos en dicha base de datos. Este algoritmo se ha aplicado grandemente en el análisis de transacciones comerciales y en problemas de predicción."
muestreo de candidatos,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos. Las técnicas de selección de la característica son utilizadas por cuatro razones:"
modelo de lenguaje causal,"Un modelo de lenguaje es un modelo de lenguaje natural. Los modelos de lenguaje son útiles para una variedad de tareas, que incluyen reconocimiento de voz, traducción automática, generación de lenguaje natural (que generan un texto más humano), reconocimiento de caracteres ópticos, optimización de rutas, reconocimiento de escritura a mano, inducción de gramática y recuperación de información."
agrupamiento en clústeres basado en centroides,"Análisis de grupos o agrupamiento es la tarea de agrupar objetos por similitud, en grupos o conjuntos de manera que los miembros del mismo grupo tengan características similares.  Es la tarea principal de la minería de datos exploratoria y es una técnica común en el análisis de datos estadísticos."
cadena de pensamientos,La ingeniería de instrucción (Prompt engineering) es el proceso de estructurar un texto que puede ser interpretado y comprendido mediante un modelo de inteligencia artificial generativa. ​ ​ Un prompt es un texto en lenguaje natural que describe la tarea que debe realizar una IA. ​​
modelo de clasificación,"Aprendizaje de clasificación​ o aprendizaje automático de clasificación (MLR, por sus siglas en inglés) es la aplicación de aprendizaje automático, típicamente supervisado, semisupervisado o aprendizaje reforzado en la construcción de modelos de clasificación para sistemas de recuperación de información.​ Los datos de entrenamiento consisten en listas de elementos con algún orden parcial especificado entre elementos en cada lista. Este orden es típicamente inducido por dar una puntuación numérica u ordinal o un juicio binario (p. ej., «relevante» o «no relevante») para cada elemento. El propósito del modelo de clasificación es producir una permutación de elementos en nuevas listas, que no se ven de una manera que sea «similar» a clasificaciones en los datos de entrenamiento en algún sentido."
umbral de clasificación,"En el campo del aprendizaje automático, el objetivo del aprendizaje supervisado es usar las características de un objeto para identificar a qué clase (o grupo) pertenece. Un clasificador lineal logra esto tomando una decisión de clasificación basada en el valor de una combinación lineal de sus características. Las características de un objeto son típicamente presentadas en un vector llamado vector de características."
conjunto de datos con desequilibrio de clases,"El sesgo es un peso desproporcionado a favor o en contra de una cosa, persona o grupo en comparación con otra, generalmente de una manera que se considera injusta. "
cloud tpu,"La Unidad de Procesamiento Tensor (TPU) es un circuito integrado específico de aplicación de acelerador de IA (ASIC) desarrollado por Google para el aprendizaje automático de redes neuronales, utilizando el software TensorFlow propio de Google. Google comenzó a usar las TPU internamente en 2015, y en 2018 los puso a disposición para el uso de terceros, tanto como parte de su infraestructura en la nube como al ofrecer una versión más pequeña del chip a la venta."
agrupamiento,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o HCA) es un método de análisis de clúster que busca construir una jerarquía de grupos. Las estrategias para la agrupación jerárquica generalmente se dividen en dos categorías:"
desviación de conceptos,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (en inglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.​ Tales ejemplos pueden despertar sospechas de haber sido generados por un mecanismo diferente,​ o parecer incoherentes con el resto de ese conjunto de datos.​"
configuración,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
análisis de distritos electorales,"En sistemas electorales representativos, Gerrymandering (/ ˈdʒɛrimændərɪŋ/ jerr-ee-man-dər-ing, originalmente/ ˈrimændərɪŋ/ gherr-ee-man-dər-ing) es la manipulación política de los límites del distrito electoral para ventender un partido, grupo o clase socioeconómica dentro de la constituyencia. La manipulación puede implicar ""agrietarse"" (diluir el poder de voto de los partidarios del partido contrario en muchos distritos) o ""empacar"" (concentrar el poder de voto de la parte opuesta en un distrito para reducir su poder de voto en otros distritos). La gerrymandering también se puede usar para proteger a los titulares. Wayne Dawkins, profesor de la Universidad Estatal de Morgan, lo describe como políticos que eligen a sus votantes en lugar de que los votantes eligieran a sus políticos."
incorporación de lenguaje contextualizado,"La Didáctica es una rama de la Pedagogía que se enfoca en los estudios de los métodos, técnicas, estrategias de enseñanza y aprendizaje. Es decir, se ocupa de cómo enseñar de manera efectiva y cómo los estudiantes aprenden de manera eficiente. "
atributo continuo,"En el aprendizaje automático (AA) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.​ Elegir atributos informativos, discriminatorios e independientes es un elemento crucial de los algoritmos efectivos en el reconocimiento de patrones, clasificación y regresión. Los atributos suelen ser numéricos, pero los atributos estructurales, como cadenas y gráficos, se utilizan en el reconocimiento de patrones sintácticos. El concepto de ‘atributo’ está relacionado con el de variable explicativa utilizado en técnicas estadísticas como la regresión lineal ."
convergencia,"La convergencia uniforme en la probabilidad es una forma de convergencia en la probabilidad en la teoría asintótica estadística y la teoría de la probabilidad. Significa que, bajo ciertas condiciones, las frecuencias empíricas de todos los eventos en una determinada familia de eventos convergen con sus probabilidades teóricas.  La convergencia uniforme en la probabilidad tiene aplicaciones a las estadísticas, así como al aprendizaje automático como parte de la teoría del aprendizaje estadístico."
optimización de función convexa,"En el aprendizaje automático, las máquinas kernel son una clase de algoritmos para el análisis de patrones, cuyo miembro más conocido es la máquina de vectores de soporte (SVM). Estos métodos implican el uso de clasificadores lineales para resolver problemas no lineales.​ La tarea general del análisis de patrones es encontrar y estudiar tipos generales de relaciones (por ejemplo, conglomerados, clasificaciones, componentes principales, correlaciones, clasificaciones) en conjuntos de datos. Para muchos algoritmos que resuelven estas tareas, los datos en representación bruta tienen que transformarse explícitamente en representaciones de vectores de características mediante un mapa de características especificado por el usuario: en cambio, los métodos kernel sólo requieren un kernel especificado por el usuario, es decir, una función de similitud sobre todos los pares de puntos de datos calculada mediante productos internos. El mapa de características de las máquinas kernel es de dimensión infinita, pero sólo requiere una matriz de dimensión finita a partir de la entrada del usuario, de acuerdo con el teorema del Representante. Las máquinas kernel son lentas de calcular para conjuntos de datos superiores a un par de miles de ejemplos sin procesamiento paralelo."
filtro convolucional,"Una red neuronal convolucional (CNN) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma a través de la optimización del filtro (o núcleo). Este tipo de red de aprendizaje profundo se ha aplicado para procesar y hacer predicciones de muchos tipos diferentes de datos, incluidos texto, imágenes y audio. Las redes basadas en la convolución son el estándar de facto en enfoques basados ​​en el aprendizaje profundo para la visión por computadora y el procesamiento de imágenes, y solo recientemente han sido reemplazados, en algunos casos, por nuevas arquitecturas de aprendizaje profundo como el transformador. Los gradientes de desaparición y los gradientes explosivos, vistos durante la propagación de retroceso en redes neuronales anteriores, se evitan mediante el uso de pesos regularizados en menos conexiones. Por ejemplo, para cada neurona en la capa totalmente conectada, se requerirían 10,000 pesos para procesar una imagen de 100 × 100 píxeles. Sin embargo, la aplicación de núcleos de convolución en cascada (o correlación cruzada), solo se requieren 25 pesos para cada capa convolucional para procesar los mosaicos de tamaño 5x5. Las características de mayor capa se extraen de ventanas de contexto más amplias, en comparación con las características de la capa inferior."
operación convolucional,"Una red neuronal convolucional (CNN) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma a través de la optimización del filtro (o núcleo). Este tipo de red de aprendizaje profundo se ha aplicado para procesar y hacer predicciones de muchos tipos diferentes de datos, incluidos texto, imágenes y audio. Las redes basadas en la convolución son el estándar de facto en enfoques basados ​​en el aprendizaje profundo para la visión por computadora y el procesamiento de imágenes, y solo recientemente han sido reemplazados, en algunos casos, por nuevas arquitecturas de aprendizaje profundo como el transformador. Los gradientes de desaparición y los gradientes explosivos, vistos durante la propagación de retroceso en redes neuronales anteriores, se evitan mediante el uso de pesos regularizados en menos conexiones. Por ejemplo, para cada neurona en la capa totalmente conectada, se requerirían 10,000 pesos para procesar una imagen de 100 × 100 píxeles. Sin embargo, la aplicación de núcleos de convolución en cascada (o correlación cruzada), solo se requieren 25 pesos para cada capa convolucional para procesar los mosaicos de tamaño 5x5. Las características de mayor capa se extraen de ventanas de contexto más amplias, en comparación con las características de la capa inferior."
coentrenamiento,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos. Dichos algoritmos funcionan haciendo predicciones o decisiones basadas en datos, mediante la construcción de un modelo matemático a partir de datos de entrada. Estos datos de entrada utilizados para construir el modelo generalmente se dividen en múltiples conjuntos de datos. En particular, tres conjuntos de datos se usan comúnmente en diferentes etapas de la creación del modelo: entrenamiento, validación y conjuntos de pruebas."
magnificación de datos,"El aumento de datos es una técnica estadística que permite una estimación de máxima probabilidad a partir de datos incompletos. El aumento de datos tiene aplicaciones importantes en el análisis bayesiano, y la técnica se usa ampliamente en el aprendizaje automático para reducir el sobreajuste al capacitar a los modelos de aprendizaje automático, logrado mediante modelos de capacitación en varias copias ligeramente modificadas de los datos existentes."
dataframe,"Pandas (Styled como Pandas) es una biblioteca de software escrita para el lenguaje de programación de Python para la manipulación y análisis de datos. En particular, ofrece estructuras y operaciones de datos para manipular tablas numéricas y series de tiempo. Es un software gratuito lanzado bajo la licencia BSD de tres cláusulas. El nombre se deriva del término ""datos del panel"", un término económico para conjuntos de datos que incluyen observaciones durante múltiples períodos de tiempo para los mismos individuos, así como una obra de teatro sobre la frase ""Análisis de datos de Python"".: 5 Wes McKinney comenzó a construir lo que se convertiría en Pandas en AQR Capital mientras fue investigador allí de 2007 a 2010."
api de dataset,"Estos conjuntos de datos se utilizan en la investigación de aprendizaje automático (ML) y se han citado en revistas académicas revisadas por pares. Los conjuntos de datos son una parte integral del campo del aprendizaje automático. Los principales avances en este campo pueden resultar de los avances en los algoritmos de aprendizaje (como el aprendizaje profundo), el hardware de la computadora y, con menos intuición, la disponibilidad de conjuntos de datos de capacitación de alta calidad. Los conjuntos de datos de entrenamiento etiquetados de alta calidad para algoritmos de aprendizaje automático supervisados ​​y semi-supervisados ​​suelen ser difíciles y costosos de producir debido a la gran cantidad de tiempo necesario para etiquetar los datos. Aunque no necesitan ser etiquetados, los conjuntos de datos de alta calidad para el aprendizaje no supervisado también pueden ser difíciles y costosos de producir."
límite de decisión,"En un problema de clasificación estadística con dos clases, un límite de decisión o una superficie de decisión es una hipersuencia que divide el espacio vectorial subyacente en dos conjuntos, uno para cada clase. El clasificador clasificará todos los puntos en un lado del límite de decisión como perteneciente a una clase y a todos los del otro lado pertenecientes a la otra clase."
bosque de decisión,"Bosques aleatorios o bosques de decisión aleatorios es un método de aprendizaje de conjunto para la clasificación, regresión y otras tareas que funciona creando una multitud de árboles de decisión durante la capacitación. Para las tareas de clasificación, la producción del bosque aleatorio es la clase seleccionada por la mayoría de los árboles. Para las tareas de regresión, la producción es el promedio de las predicciones de los árboles. Bosques aleatorios Correcto para la decisión El hábito de los árboles de sobrecarxer a su conjunto de entrenamiento.: 587–588"
umbral de decisión,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
modelo profundo,"El aprendizaje profundo (en inglés, deep learning) es una rama del aprendizaje automático que se basa en el uso de algoritmos para modelar y comprender datos complejos. Estos algoritmos se inspiran en la estructura y función del cerebro humano, utilizando múltiples capas de procesamiento para extraer y transformar información de manera iterativa. El objetivo es crear modelos que puedan aprender representaciones abstractas de los datos, lo que les permite realizar tareas como el reconocimiento de patrones, la clasificación y la predicción con alta precisión.​"
diseño de red neuronal profunda,"En el aprendizaje automático, una red neuronal artificial (abreviada ANN o NN) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales. Una ANN consta de unidades o nodos conectados llamados neuronas artificiales, que modelan vagamente las neuronas del cerebro. Estas están conectadas por bordes, que modelan las sinapsis del cerebro. Cada neurona artificial recibe «señales» de las neuronas conectadas, luego las procesa y envía una señal a otras neuronas conectadas. La «señal» es un número real, y la salida de cada neurona se calcula mediante una función no lineal de la suma de sus entradas, llamada función de activación. La fuerza de la señal en cada conexión está determinada por un peso, que se ajusta durante el proceso de aprendizaje.  "
