concepto,descripcion
chip de tpu,"La Unidad de Procesamiento Tensor (TPU) es un circuito integrado específico de aplicación de acelerador de IA (ASIC) desarrollado por Google para el aprendizaje automático de redes neuronales, utilizando el software TensorFlow propio de Google. Google comenzó a usar las TPU internamente en 2015, y en 2018 los puso a disposición para el uso de terceros, tanto como parte de su infraestructura en la nube como al ofrecer una versión más pequeña del chip a la venta."
dispositivo de tpu,"En el aprendizaje automático, una red neuronal artificial (abreviada ANN o NN) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales. Una ANN consta de unidades o nodos conectados llamados neuronas artificiales, que modelan vagamente las neuronas del cerebro. Estas están conectadas por bordes, que modelan las sinapsis del cerebro. Cada neurona artificial recibe «señales» de las neuronas conectadas, luego las procesa y envía una señal a otras neuronas conectadas. La «señal» es un número real, y la salida de cada neurona se calcula mediante una función no lineal de la suma de sus entradas, llamada función de activación. La fuerza de la señal en cada conexión está determinada por un peso, que se ajusta durante el proceso de aprendizaje.  "
tpu principal,"La impresión 3D es un  avance muy importante de tecnologías de fabricación por adición donde un objeto tridimensional es creado mediante la superposición de capas sucesivas de material.​​ Las impresoras 3D son por lo general más rápidas, más baratas y más fáciles de usar que otras tecnologías de fabricación por adición, aunque como cualquier proceso industrial, están sometidas a un compromiso entre su precio de adquisición y la tolerancia en las medidas de los objetos producidos  Las impresoras 3D ofrecen a los desarrolladores de un producto la capacidad para imprimir partes y montajes hechos de diferentes materiales con diferentes propiedades físicas y mecánicas, a menudo con un simple proceso de ensamble. Las tecnologías avanzadas de impresión 3D pueden incluso ofrecer modelos que pueden servir como prototipos de producto."
nodo tpu,"En el aprendizaje automático, una red neuronal artificial (abreviada ANN o NN) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales. Una ANN consta de unidades o nodos conectados llamados neuronas artificiales, que modelan vagamente las neuronas del cerebro. Estas están conectadas por bordes, que modelan las sinapsis del cerebro. Cada neurona artificial recibe «señales» de las neuronas conectadas, luego las procesa y envía una señal a otras neuronas conectadas. La «señal» es un número real, y la salida de cada neurona se calcula mediante una función no lineal de la suma de sus entradas, llamada función de activación. La fuerza de la señal en cada conexión está determinada por un peso, que se ajusta durante el proceso de aprendizaje.  "
pod de tpu,"PaLM (Pathways Language Model) es un modelo de lenguaje grande basado en un transformador de 540 mil millones de parámetros desarrollado por Google AI.​ Los investigadores también entrenaron versiones más pequeñas de PaLM, modelos de 8 y 62 mil millones de parámetros, para probar los efectos de la escala del modelo.​"
recurso de tpu,"En el aprendizaje automático, una red neuronal artificial (abreviada ANN o NN) es un modelo dentro de los llamados sistemas conexionistas, inspirado en la estructura y función de las redes neuronales biológicas en los cerebros animales. Una ANN consta de unidades o nodos conectados llamados neuronas artificiales, que modelan vagamente las neuronas del cerebro. Estas están conectadas por bordes, que modelan las sinapsis del cerebro. Cada neurona artificial recibe «señales» de las neuronas conectadas, luego las procesa y envía una señal a otras neuronas conectadas. La «señal» es un número real, y la salida de cada neurona se calcula mediante una función no lineal de la suma de sus entradas, llamada función de activación. La fuerza de la señal en cada conexión está determinada por un peso, que se ajusta durante el proceso de aprendizaje.  "
porción de tpu,"PaLM (Pathways Language Model) es un modelo de lenguaje grande basado en un transformador de 540 mil millones de parámetros desarrollado por Google AI.​ Los investigadores también entrenaron versiones más pequeñas de PaLM, modelos de 8 y 62 mil millones de parámetros, para probar los efectos de la escala del modelo.​"
tipo de tpu,"La Unidad de Procesamiento Tensor (TPU) es un circuito integrado específico de aplicación de acelerador de IA (ASIC) desarrollado por Google para el aprendizaje automático de redes neuronales, utilizando el software TensorFlow propio de Google. Google comenzó a usar las TPU internamente en 2015, y en 2018 los puso a disposición para el uso de terceros, tanto como parte de su infraestructura en la nube como al ofrecer una versión más pequeña del chip a la venta."
trabajador de tpu,"En el aprendizaje automático, una red neuronal (también red neuronal artificial o red neuronal, ANN o NN abreviada) es un modelo inspirado en la estructura y función de las redes neuronales biológicas en los cerebros de los animales."
pérdida de entrenamiento,"En estadística y aprendizaje automático, el dilema entre sesgo y varianza describe la relación entre la complejidad de un modelo, la exactitud de sus predicciones y su capacidad para realizar predicciones sobre datos no observados previamente que no se utilizaron para entrenar el modelo. En general, a medida que aumentamos el número de parámetros ajustables en un modelo, éste se vuelve más flexible y puede ajustarse mejor a un conjunto de datos de entrenamiento. Se dice que tiene menos error o sesgo. Sin embargo, para los modelos más flexibles, tenderá a haber una mayor varianza en el ajuste del modelo cada vez que tomemos un conjunto de muestras para crear un nuevo conjunto de datos de entrenamiento. Se dice que hay una mayor varianza en los parámetros estimados del modelo."
subajuste,"En el análisis de conglomerados, el método del codo es un método que se utiliza para determinar el número de conglomerados en un conjunto de datos. El método consiste en graficar la variación explicada en función del número de conglomerados y elegir el codo de la curva como el número de conglomerados a utilizar. El mismo método se puede utilizar para elegir el número de parámetros en otros modelos basados en datos, como el número de componentes principales a usar para describir el conjunto de forma óptima."
modelo de lenguaje unidireccional,"El modelo de comunicación de Lasswell (también conocido como la fórmula de comunicación de Lasswell) describe un acto de comunicación, el cual define: quién lo dijo, qué se dijo, en qué canal esté dicho, a quien se le dijo, y con qué efecto se dijo. Es considerado por muchos profesionales de la comunicación y de las relaciones públicas como ""uno de los primeros y más influyentes modelos de la comunicación."" ​ El modelo fue desarrollado por el politólogo americano y teórico de la comunicación Harold Lasswell en 1948, mientras era profesor de derecho en Yale Escuela de Ley. En su artículo de 1948 ""La Estructura y Función de Comunicación en Sociedad"", Lasswell escribió:"
ejemplo sin etiqueta,"En aprendizaje automático (AA) y minería de datos, el aprendizaje supervisado es una técnica para deducir una función a partir de datos de formación. Los datos de formación consisten de pares de objetos (normalmente vectores): una componente del par son los datos de entrada y el otro, los resultados deseados. La salida de la función puede ser un valor numérico (como en los problemas de regresión) o una etiqueta de clase (como en los de clasificación). El objetivo del aprendizaje supervisado es el de crear una función capaz de predecir el valor correspondiente a cualquier objeto de entrada válida después de haber visto una serie de ejemplos, los datos de formación. Para ello, tiene que generalizar a partir de los datos presentados a las situaciones no vistas previamente."
aprendizaje automático no supervisado,"El aprendizaje no supervisado es un método de aprendizaje automático (AA) donde un modelo se ajusta a las observaciones.​​ Se distingue del aprendizaje supervisado por el hecho de que no hay un conocimiento a priori. En el aprendizaje no supervisado, un conjunto de datos de objetos de entrada es tratado. Así, el aprendizaje no supervisado típicamente trata los objetos de entrada como un conjunto de variables aleatorias, siendo construido un modelo de densidad para el conjunto de datos."
modelado del aumento,Un modelo de población o modelo poblacional es un tipo de modelo matemático que se aplica al estudio de la dinámica de poblaciones. 
incremento de ponderación,"La media ponderada es una generalización de la media aritmética. Es una medida de tendencia central, que es apropiada cuando en un conjunto de datos cada uno de ellos tiene una importancia relativa (o peso) respecto de los demás datos. Se obtiene multiplicando cada uno de los datos por su ponderación (peso) para luego sumarlos, obteniendo así una suma ponderada; después se divide esta entre la suma de los pesos, dando como resultado la media ponderada.​"
matriz de usuarios,"Factorización matricial no negativa (NMF o NNMF), también aproximación matricial no negativa,​es un grupo de algoritmos en análisis multivariante y álgebra lineal donde una matriz V se factoriza en (habitualmente) dos matrices W y H, con la propiedad de que las tres matrices no tienen elementos negativos. Esta no negatividad hace que las matrices resultantes sean más fáciles de inspeccionar. Además, en aplicaciones tales como el procesamiento de espectrogramas de audio o actividad muscular, la no negatividad es inherente a los datos que se consideran. Dado que el problema en general no se puede resolver exactamente, comúnmente se aproxima numéricamente."
validación,"En estadística, la validación de regresión es el proceso de decidir si los resultados numéricos cuantifican relaciones de hipótesis entre variables obtenidos de análisis de la regresión . El proceso de validación puede implicar analizar la bondad de ajuste de la regresión analizando si los residuos de regresión son aleatorios y comprobamos si el rendimiento del modelo se deteriora cuando fueron aplicando a datos que no fue utilizado en la valoración de modelo."
pérdida de validación,"El criterio de información de Akaike (AIC) es una medida de la calidad relativa de un modelo estadístico, para un conjunto dado de datos. Como tal, el AIC proporciona un medio para la selección del modelo."
asignación de valores,"La teoría de la probabilidad es una rama de las matemáticas que estudia los fenómenos aleatorios y estocásticos. Los fenómenos aleatorios se contraponen a los fenómenos deterministas, los cuales son resultados únicos y/o previsibles de experimentos realizados bajo las mismas condiciones determinadas, por ejemplo, si se calienta agua a 100 °C a nivel del mar se obtendrá vapor. Los fenómenos aleatorios, por el contrario, son aquellos que se obtienen de experimentos realizados, otra vez, bajo las mismas condiciones determinadas pero como resultado posible poseen un conjunto de alternativas, por ejemplo, el lanzamiento de un dado o de una moneda."
problema de gradiente que desaparece,"En aprendizaje de máquinas, el problema de desvanecimiento de gradiente es una dificultad encontrada para entrenar redes neuronales artificiales mediante métodos de aprendizaje basados en descenso estocástico de gradientes y de retropropagación. En tales métodos, cada uno de los pesos de la red neuronal recibe una actualización proporcional a la derivada parcial de la función de error con respecto al peso actual en cada iteración de entrenamiento."
importancias de las variables,"Una variable estadística es una herramienta o instrumento matemático que representa una característica de estudio de un objeto observable que puede cambiar  y cuyo cambio o variación  es representado por un ""número"" (un número es un concepto abstracto que se emplea para contar -cantidades-, medir -magnitudes- y etiquetar). "
codificador automático variacional,"Un autocodificador es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado).​​ El autocodificador aprende dos funciones, la primera es aquella que transforma los datos de entrada y la segunda es la función de decodificación que recrea los datos de entrada a partir de la representación codificada. El autocodificador aprende una representación eficiente (codificación) para un conjunto de datos, normalmente para reducir la dimensionalidad."
pérdida de wasserstein,"El dragado de datos (también conocido como espionaje de datos o p-hacking) ​ es el uso indebido del análisis de datos para encontrar patrones en los datos que puedan presentarse como estadísticamente significativos, aumentando y subestimando así dramáticamente el riesgo de información falsa positiva. Esto se hace realizando muchas pruebas estadísticas sobre los datos y solo informando aquellas que arrojan resultados significativos. ​"
mínimos cuadrados ponderados alternos,"Este plan de aprendizaje universitario consiste en una introducción a la matemática discreta y a sus aplicaciones, incluyendo además unas breves pinceladas sobre algunos métodos numéricos."
modelo amplio,"En estadística y procesamiento de señales, un modelo autorregresivo (AR) es una representación de un proceso aleatorio, en el que la variable de interés depende de sus observaciones pasadas. Específicamente, la variable de interés o de salida, depende linealmente de sus valores anteriores. Por esto decimos que existe dependencia lineal entre las distintas observaciones de la variable. "
incorporación de palabras,"El reconocimiento de palabras clave, conocido en inglés como wordspotting, es una parte de la inteligencia artificial que consiste en identificar palabras específicas dentro de una locución. Es un algoritmo basado en la búsqueda de palabras clave en archivos de audio, por ejemplo llamadas telefónicas, donde localiza e indexa contenido de audio ganando un ahorro importante de tiempo ante la búsqueda manual. El sistema wordspotting se diferencia entre el reconocimiento de palabras aisladas y el reconocimiento de habla continua, es decir, las palabras son reconocidas en un flujo continuo de fonemas."
xla,"En estadística y probabilidad se llama distribución normal, distribución de Gauss, distribución gaussiana, distribución de Laplace-Gauss o normalidad estadística a una de las distribuciones de probabilidad de variable continua que con más frecuencia aparece en estadística y en la teoría de probabilidades.​"
aprendizaje sin ejemplos,"El aprendizaje no supervisado es un método de aprendizaje automático (AA) donde un modelo se ajusta a las observaciones.​​ Se distingue del aprendizaje supervisado por el hecho de que no hay un conocimiento a priori. En el aprendizaje no supervisado, un conjunto de datos de objetos de entrada es tratado. Así, el aprendizaje no supervisado típicamente trata los objetos de entrada como un conjunto de variables aleatorias, siendo construido un modelo de densidad para el conjunto de datos."
instrucción sin ejemplos,"Un conjunto de instrucciones, repertorio de instrucciones, juego de instrucciones o ISA (del inglés instruction set architecture, «arquitectura del conjunto de instrucciones») es una especificación que detalla las instrucciones que una unidad central de procesamiento puede entender y ejecutar, o el conjunto de todos los comandos implementados por un diseño particular de una CPU. El término describe los aspectos del procesador generalmente visibles para un programador, incluidos los tipos de datos nativos, las instrucciones, los registros, la arquitectura de memoria y las interrupciones, entre otros aspectos. Existen principalmente tres tipos: CISC (Complex Instruction Set Computer), RISC (Reduced Instruction Set Computer) y SISC (Simple Instruction Set Computing)."
normalización de la puntuación z,"En la estadística y las aplicaciones de estadísticas, la normalización puede tener una gama de significados.​ En los casos más sencillos, la normalización de índices significa ajustar los valores medidos en diferentes escalas respecto a una escala común, a menudo previo a un proceso de realizar promedios. En casos más complicados, la normalización puede referirse a ajustes más sofisticados donde la intención es conseguir todas las distribuciones de probabilidad que se ajustan a los valores. En el caso de normalización de puntuaciones en valoración educativa,  puede haber una intención para alinear distribuciones a una distribución normal. Una aproximación diferente a la normalización de distribuciones de probabilidad es normalización de cuantiles, donde los cuantiles de diferentes medidas son traídas al ajuste."
aprendizaje-supervisado,"En aprendizaje automático (AA) y minería de datos, el aprendizaje supervisado es una técnica para deducir una función a partir de datos de formación. Los datos de formación consisten de pares de objetos (normalmente vectores): una componente del par son los datos de entrada y el otro, los resultados deseados. La salida de la función puede ser un valor numérico (como en los problemas de regresión) o una etiqueta de clase (como en los de clasificación). El objetivo del aprendizaje supervisado es el de crear una función capaz de predecir el valor correspondiente a cualquier objeto de entrada válida después de haber visto una serie de ejemplos, los datos de formación. Para ello, tiene que generalizar a partir de los datos presentados a las situaciones no vistas previamente."
aprendizaje-no-supervisado,"En aprendizaje automático (AA) y minería de datos, el aprendizaje supervisado es una técnica para deducir una función a partir de datos de formación. Los datos de formación consisten de pares de objetos (normalmente vectores): una componente del par son los datos de entrada y el otro, los resultados deseados. La salida de la función puede ser un valor numérico (como en los problemas de regresión) o una etiqueta de clase (como en los de clasificación). El objetivo del aprendizaje supervisado es el de crear una función capaz de predecir el valor correspondiente a cualquier objeto de entrada válida después de haber visto una serie de ejemplos, los datos de formación. Para ello, tiene que generalizar a partir de los datos presentados a las situaciones no vistas previamente."
aprendizaje-por-refuerzo,"El aprendizaje por refuerzo o aprendizaje reforzado (en inglés: reinforcement learning) es un área del aprendizaje automático (AA) inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado. El problema, por su generalidad, se estudia en muchas otras disciplinas, como la teoría de juegos, teoría de control, investigación de operaciones, teoría de la información, la optimización basada en la simulación, estadística y algoritmos genéticos. En otros campos de investigación, donde se estudian los métodos de aprendizaje de refuerzo, se lo conoce como programación dinámica aproximada. El problema se ha estudiado en la teoría de control óptimo, aunque la mayoría de los estudios se centran en la existencia de soluciones óptimas y su caracterización, no en los aspectos de aprendizaje o de aproximación. En la economía y en teoría de juegos, el aprendizaje por refuerzo se puede utilizar para explicar cómo puede surgir equilibrio en condiciones de racionalidad limitada. En aprendizaje de máquina, el medio ambiente es formulado generalmente como un proceso de decisión de Markov (MDP) y muchos algoritmos de aprendizaje por refuerzo están estrechamente relacionados con técnicas de la programación dinámica. La principal diferencia entre las técnicas clásicas y los algoritmos de aprendizaje por refuerzo es que para estos últimos no es necesario el conocimiento de los MDP y se dirigen a grandes MDP donde los métodos exactos se convierten en no viables. El aprendizaje por refuerzo difiere del estándar de aprendizaje supervisado en el que los pares de entradas / salidas correctas nunca se presentan, ni acciones subóptimas corregidas explícitamente. Además, hay un enfoque en el rendimiento en línea, que consiste en encontrar un equilibrio entre la exploración (de un territorio desconocido) y explotación (de los conocimientos actuales)."
arboles-de-decision,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
atributos,"La creación de atributos, ingeniería de atributos, extracción de atributos o descubrimiento de atributos es el proceso de utilizar el conocimiento del dominio para extraer atributos (rasgos, propiedades, atributos) de los datos brutos.​ La motivación es utilizar estos atributos adicionales para mejorar la calidad de los resultados de un proceso de aprendizaje automático, en comparación con el suministro de sólo los datos brutos al proceso de aprendizaje automático."
bci,"Las interfaces cerebro-computadora (ICC), también conocidas como interfaces cerebro-máquina (ICM), interfaces cerebro-ordenador (ICO), interfaces neuronales directas (IND) o sencillamente como tecnología BCI por las siglas del término en inglés Brain–Computer Interfaces,​ constituyen una tecnología que se basa en la adquisición de información neural (por ejemplo datos de electrofisiología nerviosa o registros de ondas cerebrales) para su procesamiento e interpretación a través de un ordenador."
ciencia-de-datos,"La ciencia de datos es un campo académico interdisciplinario que utiliza estadística, computación científica, métodos, matemáticas, procesos, algoritmos y sistemas científicos para obtener (recolectar o extraer), tratar, analizar y presentar informes a partir de datos ruidosos, estructurados y no estructurados.​ La ciencia de datos es multifacética y puede describirse como una ciencia, un paradigma de investigación, un método de investigación, una disciplina, un flujo de trabajo o una profesión.​"
clustering,"Análisis de grupos o agrupamiento es la tarea de agrupar objetos por similitud, en grupos o conjuntos de manera que los miembros del mismo grupo tengan características similares.  Es la tarea principal de la minería de datos exploratoria y es una técnica común en el análisis de datos estadísticos."
computacion-en-la-nube,"La computación en la nube (del inglés cloud computing),​ conocida también como servicios en la nube, informática en la nube, nube de cómputo o simplemente «la nube», es el uso de una red de servidores remotos conectados a internet para almacenar, administrar y procesar datos, servidores, bases de datos, redes y software. En lugar de depender de un servicio físico instalado, se tiene acceso a una estructura donde el software y el hardware están virtualmente integrados."
conjunto-de-datos,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
estadistica-descriptiva,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
estadistica-inferencial,"La estadística inferencial es una parte de la estadística que comprende los métodos y procedimientos que por medio de la inducción determina propiedades de una población estadística, a partir de una parte de esta. Su objetivo es obtener conclusiones útiles para hacer razonamientos deductivos sobre una totalidad, basándose en la información numérica dada por la muestra. "
funcion-de-activacion,"En redes computacionales, la función de activación de un nodo define la salida de un nodo dada una entrada o un conjunto de entradas. Se podría decir que un circuito estándar de computador se comporta como una red digital de funciones de activación al activarse como ""clouse"" (1) u ""Volte"" (0), dependiendo de la entrada. Esto es similar al funcionamiento de un perceptrón en una red neuronal artificial."
funcion-de-perdida,"En estadística, optimización matemática, teoría de la decisión y economía, la función de pérdida es una función que relaciona un evento (técnicamente un elemento de un espacio de muestreo) con un número real que representa el coste económico asociado con el evento."
iaar,"El Fusil Automático de Infantería M27 (M27 Infantry Automatic Rifle (IAR) en inglés) es un arma de fuego ligera de calibre 5,56 × 45 mm OTAN, de fuego selectivo, alimentada mediante cargadores y con selector de disparo, basada en el fusil de asalto Heckler & Koch HK416. Es empleada por el Cuerpo de Marines de los Estados Unidos y está destinada a mejorar la maniobrabilidad de los infantes de marina armados con ametralladoras ligeras. El Cuerpo de Marines de los Estados Unidos (USMC) planificó comprar 6.500 fusiles automáticos M27 para reemplazar a una parte de sus ametralladoras ligeras M249 empleadas en sus batallones de infantería y reconocimiento blindado ligero. Aproximadamente entre unas 8.000 y 10.000 M249 continuarán en servicio en el Cuerpo de Marines para su uso a discreción de los comandantes de batallón y capitanes de compañía. El Ejército de los Estados Unidos no ha planificado comprar el IAR.​​​ En diciembre de 2017, el Cuerpo de Marines reveló la decisión de equipar a cada infante de marina de cada pelotón con el M27.​"
inteligencia-artificial,"La inteligencia artificial multimodal, también conocida como IA multimodal, es un tipo de inteligencia artificial que puede procesar e integrar datos de diferentes modalidades, como texto, imágenes, audio y video, para obtener una comprensión más completa y contextualizada de una situación.​ La inteligencia artificial multimodal se inspira en la forma en que los humanos usan varios sentidos para percibir e interactuar con el mundo, y ofrece una forma más natural e intuitiva de comunicarse con la tecnología."
interfaz-cerebro-computadora,"Las interfaces cerebro-computadora (ICC), también conocidas como interfaces cerebro-máquina (ICM), interfaces cerebro-ordenador (ICO), interfaces neuronales directas (IND) o sencillamente como tecnología BCI por las siglas del término en inglés Brain–Computer Interfaces,​ constituyen una tecnología que se basa en la adquisición de información neural (por ejemplo datos de electrofisiología nerviosa o registros de ondas cerebrales) para su procesamiento e interpretación a través de un ordenador."
internet-de-las-cosas,"El Internet de las cosas (IdC) describe objetos físicos (o grupos de estos) con sensores, capacidad de procesamiento, software y otras que se conectan e intercambian datos con otros dispositivos y sistemas a través de internet u otras redes de comunicación.​​​​ El Internet de las cosas se ha considerado un término erróneo porque los dispositivos no necesitan estar conectados a la Internet pública. Sólo necesitan estar conectadas a una red y ser direccionables individualmente.​​"
knn,"El método de los k vecinos más cercanos (en inglés: k-nearest neighbors, abreviado k{displaystyle k}-nn)​ es un método de clasificación supervisada (Aprendizaje, estimación basada en un conjunto de formación y prototipos) que sirve para estimar la función de densidad F(x/Cj){displaystyle F(x/Cj)} de las predictoras x{displaystyle x} por cada clase Cj C_{j}}."
matrices,"Los modelos de población de matriz son un tipo específico de modelos de población que utilizan álgebra matricial. Los modelos poblacionales matriciales son herramientas poderosas y útiles para el estudio de dinámicas poblacionales, con aplicaciones en ecología, epidemiología y demografía."
procesamiento-del-lenguaje-natural,"El procesamiento de(l) lenguaje natural o de lengua(je)s naturales,​​ abreviado PLN​​ (o NLP por sus siglas en inglés), es un campo de las ciencias de la computación, de la inteligencia artificial y de la lingüística que estudia las interacciones entre las computadoras y el lenguaje humano, así como los detalles computacionales de las lenguas naturales. Se ocupa de la formulación e investigación de mecanismos eficaces computacionalmente para la comunicación entre personas y máquinas por medio del lenguaje natural, es decir, de las lenguas del mundo. No trata de la comunicación por medio de lenguas naturales de una forma abstracta, sino de diseñar mecanismos para comunicarse que sean eficaces computacionalmente —que se puedan realizar por medio de programas que ejecuten o simulen la comunicación—. Los modelos aplicados se enfocan no solo a la comprensión del lenguaje de por sí, sino a aspectos generales cognitivos humanos y a la organización de la memoria. El lenguaje natural sirve solo de medio para estudiar estos fenómenos. Hasta la década de 1980, la mayoría de los sistemas de PLN se basaban en un complejo conjunto de reglas diseñadas a mano. A partir de finales de 1980, sin embargo, hubo una revolución en PLN con la introducción de algoritmos de aprendizaje automático para el procesamiento del lenguaje.​​"
red-neuronal,"En el aprendizaje automático, una red neuronal (también red neuronal artificial o red neuronal, ANN o NN abreviada) es un modelo inspirado en la estructura y función de las redes neuronales biológicas en los cerebros de los animales."
svm,"Las máquinas de vectores de soporte o máquinas de vector soporte (del inglés support-vector machines, SVM) son un conjunto de algoritmos de aprendizaje supervisado desarrollados por Vladimir Vapnik y su equipo en los laboratorios de AT&T Bell."
vision-por-computadora,"La visión informática,​ también conocida como visión artificial o visión por computadora (del inglés computer vision) o visión técnica, es una disciplina científica que incluye métodos para adquirir, procesar, analizar y comprender las imágenes del mundo real con el fin de producir información numérica o simbólica para que puedan ser tratados por un ordenador. Tal y como los seres humanos usamos nuestros ojos y cerebros para comprender el mundo que nos rodea, la visión informática trata de producir el mismo efecto para que los ordenadores puedan percibir y comprender una imagen o secuencia de imágenes y actuar según convenga en una determinada situación. Esta comprensión se consigue gracias a distintos campos como la geometría, la estadística, la física y otras disciplinas. La adquisición de los datos se consigue por varios medios como secuencias de imágenes, vistas desde varias cámaras de video o datos multidimensionales desde un escáner médico."
data lake o lago de datos,"Un lago de datos (en inglés: data lake) es un sistema o biblioteca de datos almacenados en su formato bruto,​ usualmente blobs o ficheros. Habitualmente, un lago de datos es un único repositorio de datos que incluye copias en bruto de datos del sistema, datos de sensores, datos sociales, etc. y datos transformados usados para tareas como generación de informes, visualización, analítica avanzada y aprendizaje automático. Un lago de datos puede incluir datos estructurados de bases de datos relacionales (filas y columnas), datos semiestructurados (CSV, logs, XML, JSON, etc.), datos sin estructurar (correos electrónicos, documentos, PDF, etc.) y datos binarios (imágenes, audio, vídeo, etc.).​ Los lagos de datos pueden alojarse en las instalaciones de la organización o desplegarse «en la nube» usando servicios de proveedores como Amazon, Microsoft o Google. Los lagos de datos mal gestionados han sido llamados jocosamente «pantanos de datos» (en inglés: data swamps).​"
