concepto,descripcion,concept,source,num_tokens
inferencia por lotes,"El proceso de inferir predicciones en múltiples ejemplos no etiquetados divididos en subconjuntos más pequeños (""lotes"").",batch inference,developers.google.com,21
normalización por lotes,Normalización de la entrada o salida de las funciones de activación en una capa oculta.,batch normalization,developers.google.com,16
tamaño por lotes,El número de ejemplos en un lote.,batch size,developers.google.com,8
red neuronal bayesiana,Una red neuronal probabilística que explica la incertidumbre en los pesos y las salidas.,bayesian neural network,developers.google.com,15
optimización bayesiana,Una técnica de modelo de regresión probabilística para optimizar funciones objetivas computacionalmente costosas al optimizar un sustituto que cuantifica la incertidumbre utilizando una técnica de aprendizaje bayesiana.,bayesian optimization,developers.google.com,28
ecuación de bellman,"En el aprendizaje de refuerzo, la siguiente identidad satisfecha por la función Q óptima: \ [q (s, a) = r (s, a) + \ gamma \ mathbb {e} _ {s '| s, a} \ max_ {a'} q (s ', a') \] reforzando los algorits de aprendizaje aplicando esta identidad para crear Q-leanding utilizando el siguiente Q (S, A) + \ Alpha \ Left [R (S, A) + \ Gamma \ DisplayStyle \ Max _ {\ Sustack {A_1}} Q (S ', A') -q (S, A) \ Right] \] Más allá del aprendizaje de refuerzo, la ecuación de Bellman tiene aplicaciones a la programación dinámica.",bellman equation,developers.google.com,149
bert (representaciones de codificador bidireccional de transformers),Una arquitectura modelo para la representación de texto.,bert (bidirectional encoder representations from transformers),developers.google.com,9
sesgo (ética/equidad),"Estereotipos, prejuicios o favoritismo hacia algunas cosas, personas o grupos sobre otras.",bias (ethics/fairness),developers.google.com,15
sesgo (matemáticas) o término de sesgo,Una intersección o compensación de un origen.,bias (math) or bias term,developers.google.com,8
bidireccional,Un término utilizado para describir un sistema que evalúa el texto que precede y sigue una sección objetivo del texto.,bidirectional,developers.google.com,21
modelo de idioma bidireccional,Un modelo de lenguaje que determina la probabilidad de que un tokenis dado presente en una ubicación dada en un extracto de texto basado en el texto anterior y siguiente.,bidirectional language model,developers.google.com,31
bigram,Un n-gram en el que n = 2.,bigram,developers.google.com,9
clasificación binaria,"Un tipo de tarea de clasificación que predice una de las dos clases mutuamente excluyentes: por ejemplo, los siguientes dos modelos de aprendizaje automático cada uno realiza una clasificación binaria: contrasta con la clasificación de múltiples clases.",binary classification,developers.google.com,41
condición binaria,"En un árbol de decisión, una condición que tiene solo dos resultados posibles, generalmente sí o no.",binary condition,developers.google.com,20
binning,Sinónimo de bulleting.,binning,developers.google.com,4
bleu (evaluación bilingüe),"Una métrica entre 0 y 1 para evaluar las traducciones de la máquina, por ejemplo, de español a japonés.",bleu (bilingual evaluation understudy),developers.google.com,22
bleurt (evaluación bilingüe de los transformadores),"Una métrica para evaluar las traducciones automáticas de un idioma a otro, particularmente hacia y desde el inglés.",bleurt (bilingual evaluation understudy from transformers),developers.google.com,20
impulso,"Una técnica de aprendizaje automático que combina iterativamente un conjunto de clasificadores simples y no muy precisos (denominados clasificadores ""débiles"") en un clasificador con alta precisión (un clasificador ""fuerte"") al alejar los ejemplos de que el modelo actualmente es una clasificación errónea.",boosting,developers.google.com,51
caja delantera,"En Animage, las coordenadas (x, y) de un rectángulo alrededor de un área de interés, como el perro en la imagen a continuación.",bounding box,developers.google.com,29
radiodifusión,Ampliando la forma de un operando en una operación matemática de matriz a dimensiones compatibles para esa operación.,broadcasting,developers.google.com,19
bulto,"Convertir una sola característica en múltiples características binarias llamadas cubos o contenedores, típicamente basado en un rango de valor.",bucketing,developers.google.com,21
capa de calibración,"Un ajuste posterior a la predicción, generalmente para tener en cuenta el sesgo de predicción.",calibration layer,developers.google.com,17
generación candidata,El conjunto inicial de recomendaciones elegidas por un sistema de recomendación.,candidate generation,developers.google.com,12
muestreo candidato,"Una optimización del tiempo de entrenamiento que calcula una probabilidad para todas las etiquetas positivas, utilizando, por ejemplo, Softmax, pero solo para una muestra aleatoria de etiquetas negativas.",candidate sampling,developers.google.com,33
datos categóricos,Características que tienen un conjunto específico de valores posibles.,categorical data,developers.google.com,10
modelo de idioma causal,Sinónimo de modelo de lenguaje unidireccional.,causal language model,developers.google.com,7
centroide,El centro de un clúster determinado por un algoritmo K-means o K-mediano.,centroid,developers.google.com,13
clúster basado en centroides,Una categoría de algoritmos de agrupación que organiza datos en grupos no jerárquicos.,centroid based clustering,developers.google.com,14
cadena de indemnización de pensamiento,"Una técnica de ingeniería rápida que fomenta un modelo de lenguaje grande (LLM) a explicar el razonamiento, paso a paso.",chain of thought prompting,developers.google.com,24
charlar,"El contenido de un diálogo de ida y vuelta con un sistema ML, típicamente un modelo de lenguaje grande.",chat,developers.google.com,21
control,"Los datos que capturan el estado de los parámetros de un modelo, ya sea durante la capacitación o después de que se complete el entrenamiento.",checkpoint,developers.google.com,27
clase,Una categoría a la que puede pertenecer una etiqueta.,class,developers.google.com,10
modelo de clasificación,Un modelo cuya predicción es una clase.,classification model,developers.google.com,8
umbral de clasificación,"En una clasificación binaria, un número entre 0 y 1 que convierte la salida sin procesar de un modelo de regresión logística en una predicción de la clase positiva o la clase negativa.",classification threshold,developers.google.com,35
clasificador,Un término informal para un modelo de clasificación.,classifier,developers.google.com,9
conjunto de datos desequilibrado de clase,Un conjunto de datos para un problema de clasificación en el que el número total de etiquetas de cada clase difiere significativamente.,class imbalanced dataset,developers.google.com,23
recorte,"Una técnica para manejar valores atípicos haciendo uno o ambos a continuación: por ejemplo, supongamos que <0.",clipping,developers.google.com,21
tpu en la nube,Un acelerador de hardware especializado diseñado para acelerar las cargas de trabajo de aprendizaje automático en Google Cloud.,cloud tpu,developers.google.com,19
agrupación,"Agrupación de ejemplos relacionados, particularmente durante el aprendizaje no supervisado.",clustering,developers.google.com,12
adaptación,Cuando las neuronas predicen los patrones en los datos de entrenamiento al depender casi exclusivamente de salidas de otras neuronas específicas en lugar de confiar en el comportamiento de la red en su conjunto.,co adaptation,developers.google.com,35
filtrado colaborativo,Hacer predicciones sobre los intereses de un usuario en función de los intereses de muchos otros usuarios.,collaborative filtering,developers.google.com,18
drift de concepto,Un cambio en la relación entre las características y la etiqueta.,concept drift,developers.google.com,12
condición,"En un árbol de decisión, cualquier nodo que evalúe una expresión.",condition,developers.google.com,13
confabulación,Sinónimo de alucinación.,confabulation,developers.google.com,4
sesgo de confirmación,"La tendencia a buscar, interpretar, favorecer y recordar la información de una manera que confirme las creencias o hipótesis preexistentes de uno.",confirmation bias,developers.google.com,25
matriz de confusión,Una tabla NXN que resume el número de predicciones correctas e incorrectas que hizo un modelo de clasificación.,confusion matrix,developers.google.com,19
análisis de la circunscripción,"Dividir una oración en estructuras gramaticales más pequeñas (""componentes"").",constituency parsing,developers.google.com,14
lenguaje contextualizado incrustación,"Una incrustación que se acerca a las palabras y frases de ""comprender"" de manera que los hablantes humanos fluidos pueden.",contextualized language embedding,developers.google.com,23
ventana de contexto,El número de tokens que un modelo puede procesar en un aviso dado.,context window,developers.google.com,14
característica continua,"Una característica de punto flotante con un rango de valores posibles, como temperatura o peso.",continuous feature,developers.google.com,17
muestreo de conveniencia,Uso de un conjunto de datos que no se ha reunido científicamente para ejecutar experimentos rápidos.,convenience sampling,developers.google.com,17
convergencia,Un estado alcanzado cuando los valores de pérdida cambian muy poco o nada con cada iteración.,convergence,developers.google.com,17
función convexa,Una función que la región sobre la gráfica de la función es un conjunto convexo.,convex function,developers.google.com,16
optimización convexa,El proceso de utilizar técnicas matemáticas como el descenso de gradiente para encontrar el mínimo de una función convexa.,convex optimization,developers.google.com,20
conjunto convexo,Un subconjunto de espacio euclidiano de tal manera que una línea dibujada entre dos puntos en el subconjunto permanece completamente dentro del subconjunto.,convex set,developers.google.com,24
circunvolución,"En matemáticas, casualmente hablando, una mezcla de dos funciones.",convolution,developers.google.com,12
filtro convolucional,Uno de los dos actores en una operación convolucional.,convolutional filter,developers.google.com,10
capa convolucional,Una capa de una red neuronal profunda en la que pasa un filtro convolucional a lo largo de la matriz de Aninput.,convolutional layer,developers.google.com,23
red neuronal convolucional,Una red neuronal en la que al menos una capa es una capa convolucional.,convolutional neural network,developers.google.com,15
operación convolucional,"La siguiente operación matemática de dos pasos: por ejemplo, considere la siguiente matriz de entrada 5x5: ahora imagine el siguiente filtro convolucional 2x2: cada operación convolucional incluye un solo porta de 2x2 de la matriz de entrada.",convolutional operation,developers.google.com,42
costo,Sinónimo de pérdida.,cost,developers.google.com,4
entrenamiento,Un enfoque de aprendizaje semi-supervisado es particularmente útil cuando todas las siguientes condiciones son verdaderas: la capacitación esencialmente amplifica las señales independientes en una señal más fuerte.,co training,developers.google.com,29
justicia contrafactual,"Una métrica de equidad que verifica si un modelo de clasificación produce el mismo resultado para un individuo que para otro individuo que es idéntico al primero, excepto con respecto a uno o más atributos sensibles.",counterfactual fairness,developers.google.com,38
sesgo de cobertura,Ver sesgo de selección.,coverage bias,developers.google.com,5
flor de choque,Una oración o frase con un significado ambiguo.,crash blossom,developers.google.com,9
crítico,Sinónimo de profundo Q-Network.,critic,developers.google.com,5
entropía,Una generalización de la pérdida de registro a problemas de clasificación de múltiples clases.,cross entropy,developers.google.com,15
validación cruzada,Un mecanismo para estimar qué tan bien un modelo se generalizaría a los nuevos datos probando el modelo con uno o más subconjuntos de datos no superpuestos retenidos del conjunto de capacitación.,cross validation,developers.google.com,33
función de distribución acumulativa (cdf),Una función que define la frecuencia de muestras menores o igual a un valor objetivo.,cumulative distribution function (cdf),developers.google.com,16
análisis de datos,"Obtener una comprensión de los datos considerando muestras, medición y visualización.",data analysis,developers.google.com,13
aumento de datos,Aumentando artificialmente el rango y el número de ejemplos de capacitación transformando ejemplos existentes para crear ejemplos adicionales.,data augmentation,developers.google.com,19
marco de datos,Un tipo de datos PANDAS popular para representar conjuntos de datos en la memoria.,dataframe,developers.google.com,15
paralelismo de datos,Una forma de escalar el entrenamiento o la inferencia que replica un modelo completo en múltiples dispositivos y luego pasa un subconjunto de los datos de entrada a cada dispositivo.,data parallelism,developers.google.com,31
api de conjunto de datos (tf.data),Una API TensorFlow de alto nivel para leer datos y transformarlo en un formulario que requiere un algoritmo de aprendizaje automático.,dataset api (tf.data),developers.google.com,22
conjunto de datos o conjunto de datos,"Una colección de datos sin procesar, comúnmente (pero no exclusivamente) organizado en uno de los siguientes formatos: límite de decisión.",data set or dataset,developers.google.com,25
límite de decisión,El separador entre clases aprendidas por un modelo en una clase binaria o problemas de clasificación de múltiples clases.,decision boundary,developers.google.com,20
bosque de decisión,Un modelo creado a partir de múltiples árboles de decisión.,decision forest,developers.google.com,11
umbral de decisión,Sinónimo de umbral de clasificación.,decision threshold,developers.google.com,6
árbol de decisión,Un modelo de aprendizaje supervisado compuesto por un conjunto de condiciones y hojas organizadas jerárquicamente.,decision tree,developers.google.com,16
descifrador,"En general, cualquier sistema ML que se convierta de una representación procesada, densa o interna a una representación más cruda, escasa o externa.",decoder,developers.google.com,27
modelo profundo,Una red neuronal que contiene más de una capa oculta.,deep model,developers.google.com,11
red neuronal profunda,Sinónimo de modelo profundo.,deep neural network,developers.google.com,5
deep q network (dqn),"En Q-learning, una red neuronal profunda que predice las funciones Q.",deep q network (dqn),developers.google.com,12
paridad demográfica,Una métrica de equidad que se satisface si los resultados de la clasificación de un modelo no dependen de un atributo sensible dado.,demographic parity,developers.google.com,24
renovado,Un enfoque común para el aprendizaje auto-supervisado en el que: Denoising permite el aprendizaje de ejemplos no etiquetados.,denoising,developers.google.com,20
característica densa,"Una característica en la que la mayoría o todos los valores son distintos de cero, típicamente un tensor de valores de punto flotante.",dense feature,developers.google.com,25
capa densa,Sinónimo de capa totalmente conectada.,dense layer,developers.google.com,6
profundidad,"La suma de lo siguiente en una red neuronal: por ejemplo, una red neuronal con cinco capas ocultas y una capa de salida tiene una profundidad de 6.",depth,developers.google.com,31
red neural convolucional separable en profundidad (sepcnn),"Una arquitectura de la red neuronal convolucional basada en el inicio, pero donde los módulos de inicio se reemplazan con convoluciones de profundidad separables.",depthwise separable convolutional neural network (sepcnn),developers.google.com,26
etiqueta derivada,Sinónimo de etiqueta proxy.,derived label,developers.google.com,5
dispositivo,Un término sobrecargado con las siguientes dos definiciones posibles: privacidad diferencial.,device,developers.google.com,13
privacidad diferencial,"En el aprendizaje automático, un enfoque de anonimización para proteger cualquier datos confidenciales (por ejemplo, la información personal de Anindividual) incluido en el conjunto de capacitación de un modelo de ser expuesto.",differential privacy,developers.google.com,37
reducción de dimensión,"Disminuyendo el número de dimensiones utilizadas para representar una característica particular en un vector de características, típicamente convirtiendo a un vector de incrustación.",dimension reduction,developers.google.com,25
dimensiones,Término sobrecargado que tiene cualquiera de las siguientes definiciones: el número de niveles de coordenadas en un tensor.,dimensions,developers.google.com,20
indicación directa,Sinónimo de solicitación de disparos cero.,direct prompting,developers.google.com,7
característica discreta,Una característica con un conjunto finito de valores posibles.,discrete feature,developers.google.com,10
modelo discriminativo,Un modelo que predice etiquetas de un conjunto de una o más características.,discriminative model,developers.google.com,14
discriminado,Un sistema que determina si los ejemplos son reales o falsos.,discriminator,developers.google.com,12
impacto dispar,Tomar decisiones sobre personas que afectan diferentes subgrupos de población desproporcionadamente.,disparate impact,developers.google.com,12
tratamiento dispar,Factorizar los atributos sensibles de los sujetos en un proceso de toma de decisiones algorítmicas de modo que diferentes subgrupos de personas se tratan de manera diferente.,disparate treatment,developers.google.com,28
destilación,El proceso de reducir el tamaño de un modelo (conocido como maestro) en un modelo más pequeño (conocido como el alumno) que emula las predicciones del modelo original de la manera más fiel posible.,distillation,developers.google.com,39
distribución,La frecuencia y el rango de diferentes valores para una característica o etiqueta dada.,distribution,developers.google.com,15
agrupación divisiva,Ver clúster jerárquico.,divisive clustering,developers.google.com,4
descendente,Término sobrecargado que puede significar cualquiera de los siguientes: consulte los conjuntos de datos: conjuntos de datos desequilibrados en el curso de bloqueo de aprendizaje automático para obtener más información.,downsampling,developers.google.com,33
dqn,Abreviatura de la red Q profunda.,dqn,developers.google.com,7
regularización de abandono,Una forma de regularización útil en la capacitación de redes neuronales.,dropout regularization,developers.google.com,12
dinámica,Algo hecho con frecuencia o continuamente.,dynamic,developers.google.com,7
modelo dinámico,Un modelo que con frecuencia (tal vez incluso continuamente) se reacunta.,dynamic model,developers.google.com,14
ejecución ansiosa,Un entorno de programación de TensorFlow en el que las operaciones se ejecutan inmediatamente.,eager execution,developers.google.com,15
parada temprana,Un método para la regularización que implica finalizar la capacitación antes de la pérdida de entrenamiento termina disminuyendo.,early stopping,developers.google.com,19
distancia de la mada de la tierra (emd),Una medida de la similitud relativa de dos distribuciones.,earth mover's distance (emd),developers.google.com,10
distancia de edición,Una medida de cuán similares son dos cadenas de texto entre sí.,edit distance,developers.google.com,13
notación de einsum,Una notación eficiente para describir cómo se combinarán dos tensores.,einsum notation,developers.google.com,11
capa de incrustación,Una capa oculta especial que entrena en una característica categórica de alta dimensión para aprender gradualmente un vector de incrustación de menor dimensión.,embedding layer,developers.google.com,24
incrustación de espacio,Se asigna el espacio vectorial D-dimensional que aparece desde un espacio vectorial dimensional superior.,embedding space,developers.google.com,15
vector de incrustación,"En términos generales, una variedad de números de punto flotante tomados de cualquier capa oculta que describe las entradas a esa capa oculta.",embedding vector,developers.google.com,25
función de distribución acumulativa empírica (ecdf o edf),Una función de distribución acumulativa basada en mediciones empíricas de un conjunto de datos real.,empirical cumulative distribution function (ecdf or edf),developers.google.com,16
minimización del riesgo empírico (erm),Elegir la función que minimiza la pérdida en el conjunto de entrenamiento.,empirical risk minimization (erm),developers.google.com,13
codificador,"En general, cualquier sistema ML que se convierta de una representación cruda, escasa o externa en una representación más procesada, más densa o más interna.",encoder,developers.google.com,29
conjunto,Una colección de modelos entrenados de forma independiente cuyas predicciones se promedian o se agregan.,ensemble,developers.google.com,16
entropía,"En la teoría de la información, una descripción de cuán impredecible es una distribución de probabilidad.",entropy,developers.google.com,18
ambiente,"En el aprendizaje de refuerzo, el mundo que contiene al agente y permite al agente observar el estado del mundo.",environment,developers.google.com,22
episodio,"En el aprendizaje de refuerzo, cada uno de los repetidos intentos del agente de aprender un entorno.",episode,developers.google.com,19
época,Un pase de entrenamiento completo sobre todo el conjunto de capacitación de tal manera que cada ejemplo se haya procesado una vez.,epoch,developers.google.com,23
política codiciosa de epsilon,"En el aprendizaje de refuerzo, una política que sigue una política aleatoria con la probabilidad de Epsilon o una política codiciosa de lo contrario.",epsilon greedy policy,developers.google.com,26
igualdad de oportunidades,Una métrica de equidad para evaluar si un modelo predice el resultado deseable igualmente bien para todos los valores de un atributo sensible.,equality of opportunity,developers.google.com,24
probabilidades igualadas,"Una métrica de equidad para evaluar si un modelo predice los resultados igualmente bien para todos los valores de un atributo sensible con respecto tanto a la clase positiva como a la clase negativa, no solo una clase o la otra exclusivamente.",equalized odds,developers.google.com,44
estimador,Una API de flujo tensor desordenado.,estimator,developers.google.com,7
evals,Utilizado principalmente como abreviatura para las evaluaciones de LLM.,evals,developers.google.com,10
evaluación,El proceso de medir la calidad de un modelo o comparar diferentes modelos entre sí.,evaluation,developers.google.com,16
ejemplo,Los valores de una fila de características y posiblemente una etiqueta.,example,developers.google.com,12
reproducción de experiencia,"En el aprendizaje de refuerzo, una técnica DQN utilizada para reducir las correlaciones temporales en los datos de capacitación.",experience replay,developers.google.com,21
sesgo del experimentador,Ver sesgo de confirmación.,experimenter's bias,developers.google.com,5
problema de gradiente explosivo,La tendencia de los gradientes en redes neuronales profundas (especialmente redes neuronales recurrentes) a volverse sorprendentemente pronunciada (alta).,exploding gradient problem,developers.google.com,23
f1,"Una métrica de clasificación binaria ""enrollable"" que se basa tanto en la precisión como en el recuerdo.",f1,developers.google.com,20
realidad,"Dentro del mundo de ML, una propiedad que describe un modelo cuyo resultado se basa en la realidad.",factuality,developers.google.com,20
justicia métrica,"Una definición matemática de ""equidad"" que es medible.",fairness metric,developers.google.com,11
falso negativo (fn),Un ejemplo en el que el modelo predice por error la clase negativa.,false negative (fn),developers.google.com,14
tasa falsa negativa,La proporción de ejemplos positivos reales para los cuales el modelo predijo por error la clase negativa.,false negative rate,developers.google.com,18
falso positivo (fp),Un ejemplo en el que el modelo predice por error la clase positiva.,false positive (fp),developers.google.com,14
tasa de falsos positivos (fpr),La proporción de ejemplos negativos reales para los cuales el modelo predijo por error la clase positiva.,false positive rate (fpr),developers.google.com,18
característica,Aninput variable a un modelo de aprendizaje automático.,feature,developers.google.com,9
característica cruzada,"Una característica sintética formada por características categóricas o cubiertas de ""cruce"".",feature cross,developers.google.com,14
ingeniería de características,"Un proceso que involucra los siguientes pasos: por ejemplo, puede determinar que la temperatura podría ser una característica útil.",feature engineering,developers.google.com,22
importaciones de características,Sinónimo de importancias variables.,feature importances,developers.google.com,5
conjunto de características,El grupo de características de su modelo de aprendizaje automático entrena.,feature set,developers.google.com,12
especificación de características,Describe la información requerida para extraer las características de los datos del TF.,feature spec,developers.google.com,14
vector de características,La matriz de valores de características que comprende un ejemplo.,feature vector,developers.google.com,11
caracterización,"El proceso de extraer características de AnInput Source, como un documento o video, y mapeo de esas características en un vector de características.",featurization,developers.google.com,26
aprendizaje federado,Un enfoque de aprendizaje automático distribuido que entrena modelos de aprendizaje automático que utilizan ejemplos descentralizados que residen en dispositivos como teléfonos inteligentes.,federated learning,developers.google.com,24
bucle de retroalimentación,"En el aprendizaje automático, una situación en la que las predicciones de un modelo influyen en los datos de entrenamiento para el mismo modelo u otro modelo.",feedback loop,developers.google.com,29
red neural de feedforward (ffn),Una red neuronal sin conexiones cíclicas o recursivas.,feedforward neural network (ffn),developers.google.com,9
pocos aprendizaje de disparos,"Un enfoque de aprendizaje automático, a menudo utilizado para la clasificación de objetos, diseñado para capacitar a modelos de clasificación efectivos de solo un pequeño número de ejemplos de capacitación.",few shot learning,developers.google.com,33
pocos indicadores de disparos,"Un mensaje que contiene más de un ejemplo (unos ""pocos"") que demuestre cómo debería responder el modelo de lenguaje grande.",few shot prompting,developers.google.com,25
violín,Una biblioteca de configuración de Python-First que establece los valores de funciones y clases sin código o infraestructura invasiva.,fiddle,developers.google.com,20
sintonia fina,Un segundo pase de entrenamiento específico de tareas realizado en un modelo previamente capacitado para refinar sus parámetros para un caso de uso específico.,fine tuning,developers.google.com,25
lino,Una biblioteca de código abierto de alto rendimiento para el aprendizaje profundo construido sobre Jax.,flax,developers.google.com,16
formador de lino,"Una biblioteca de transformadores de código abierto, construida sobre lino, diseñada principalmente para el procesamiento del lenguaje natural y la investigación multimodal.",flaxformer,developers.google.com,25
olvídate de la puerta,La porción de una celda de memoria a largo plazo que regula el flujo de información a través de la celda.,forget gate,developers.google.com,22
fracción de éxitos,Una métrica para evaluar el texto generado por un modelo ML.,fraction of successes,developers.google.com,12
softmax completo,Sinónimo de Softmax.,full softmax,developers.google.com,4
capa totalmente conectada,Una capa oculta en la que cada nodo está conectado a cada nodo en la capa oculta posterior.,fully connected layer,developers.google.com,19
transformación de funciones,Una función que toma una función como entrada y devuelve una función transformada como salida.,function transformation,developers.google.com,16
ganancia,Abreviatura de la red adversaria generativa.,gan,developers.google.com,7
géminis,El ecosistema comprende la IA más avanzada de Google.,gemini,developers.google.com,10
modelos de géminis,Los modelos multimodales basados ​​en transformadores de vanguardia de Google.,gemini models,developers.google.com,11
generalización,La capacidad de un modelo para hacer predicciones correctas en datos nuevos y previamente invisibles.,generalization,developers.google.com,16
curva de generalización,Una parcela de pérdida de entrenamiento y pérdida de validación en función del número de iteraciones.,generalization curve,developers.google.com,17
modelo lineal generalizado,"Una generalización de los modelos de regresión de mínimos cuadrados, que se basan en el ruido gaussiano, a otros tipos de modelos basados ​​en otros tipos de ruido, como el ruido de Poisson o el ruido categórico.",generalized linear model,developers.google.com,41
texto generado,"En general, el texto que genera un modelo ML.",generated text,developers.google.com,11
red de adversaria generativa (gan),Un sistema para crear nuevos datos en los que un generador crea datos y un discriminador determina si los datos creados son válidos o no válidos.,generative adversarial network (gan),developers.google.com,27
ia generativa,Un campo transformador emergente sin definición formal.,generative ai,developers.google.com,8
modelo generativo,"Hablando prácticamente, un modelo que hace cualquiera de los siguientes: un modelo generativo puede discernir teóricamente la distribución de ejemplos o características particulares en un conjunto de datos.",generative model,developers.google.com,31
generador,El subsistema dentro de una red adversaria generativa que crea nuevos ejemplos.,generator,developers.google.com,13
impureza de gini,Una métrica similar a la entropía.,gini impurity,developers.google.com,7
conjunto de datos dorado,Un conjunto de datos curados manualmente que captura la verdad del suelo.,golden dataset,developers.google.com,13
respuesta dorada,Una respuesta que se sabe que es buena.,golden response,developers.google.com,9
gpt (transformador generado generado),Una familia de modelos de idiomas grandes basados ​​en transformadores desarrollados por OpenAI.,gpt (generative pre trained transformer),developers.google.com,14
gradiente,El vector de derivados parciales con respecto a todas las variables independientes.,gradient,developers.google.com,13
acumulación de gradiente,Una técnica de backpropagation que actualiza los parámetros solo una vez por época en lugar de una vez por iteración.,gradient accumulation,developers.google.com,21
gradiente boosted (decisión) árboles (gbt),Un tipo de bosque de decisión en el que: ver los árboles de decisión impulsados ​​por el gradiente en el curso de bosques de decisión para obtener más información.,gradient boosted (decision) trees (gbt),developers.google.com,31
aumento de gradiente,Un algoritmo de entrenamiento donde los modelos débiles están entrenados para mejorar iterativamente la calidad (reducir la pérdida) de un modelo fuerte.,gradient boosting,developers.google.com,25
recorte de gradiente,Un mecanismo de uso común para mitigar el problema de gradiente explosivo limitando (recorte) el valor máximo de los gradientes cuando se usa descenso de gradiente para entrenar un modelo.,gradient clipping,developers.google.com,33
