concepto,descripcion,concept,source
privacidad diferencial,"En el aprendizaje automático, un enfoque de anonimización para proteger cualquier datos confidenciales (por ejemplo, la información personal de Anindividual) incluido en el conjunto de capacitación de un modelo de ser expuesto.",differential privacy,developers.google.com
reducción de dimensión,"Disminuyendo el número de dimensiones utilizadas para representar una característica particular en un vector de características, típicamente convirtiendo a un vector de incrustación.",dimension reduction,developers.google.com
dimensiones,Término sobrecargado que tiene cualquiera de las siguientes definiciones: el número de niveles de coordenadas en un tensor.,dimensions,developers.google.com
indicación directa,Sinónimo de solicitación de disparos cero.,direct prompting,developers.google.com
característica discreta,Una característica con un conjunto finito de valores posibles.,discrete feature,developers.google.com
modelo discriminativo,Un modelo que predice etiquetas de un conjunto de una o más características.,discriminative model,developers.google.com
discriminado,Un sistema que determina si los ejemplos son reales o falsos.,discriminator,developers.google.com
impacto dispar,Tomar decisiones sobre personas que afectan diferentes subgrupos de población desproporcionadamente.,disparate impact,developers.google.com
tratamiento dispar,Factorizar los atributos sensibles de los sujetos en un proceso de toma de decisiones algorítmicas de modo que diferentes subgrupos de personas se tratan de manera diferente.,disparate treatment,developers.google.com
destilación,El proceso de reducir el tamaño de un modelo (conocido como maestro) en un modelo más pequeño (conocido como el alumno) que emula las predicciones del modelo original de la manera más fiel posible.,distillation,developers.google.com
distribución,La frecuencia y el rango de diferentes valores para una característica o etiqueta dada.,distribution,developers.google.com
agrupación divisiva,Ver clúster jerárquico.,divisive clustering,developers.google.com
descendente,Término sobrecargado que puede significar cualquiera de los siguientes: consulte los conjuntos de datos: conjuntos de datos desequilibrados en el curso de bloqueo de aprendizaje automático para obtener más información.,downsampling,developers.google.com
dqn,Abreviatura de la red Q profunda.,dqn,developers.google.com
regularización de abandono,Una forma de regularización útil en la capacitación de redes neuronales.,dropout regularization,developers.google.com
dinámica,Algo hecho con frecuencia o continuamente.,dynamic,developers.google.com
modelo dinámico,Un modelo que con frecuencia (tal vez incluso continuamente) se reacunta.,dynamic model,developers.google.com
ejecución ansiosa,Un entorno de programación de TensorFlow en el que las operaciones se ejecutan inmediatamente.,eager execution,developers.google.com
parada temprana,Un método para la regularización que implica finalizar la capacitación antes de la pérdida de entrenamiento termina disminuyendo.,early stopping,developers.google.com
distancia de la mada de la tierra (emd),Una medida de la similitud relativa de dos distribuciones.,earth mover's distance (emd),developers.google.com
distancia de edición,Una medida de cuán similares son dos cadenas de texto entre sí.,edit distance,developers.google.com
notación de einsum,Una notación eficiente para describir cómo se combinarán dos tensores.,einsum notation,developers.google.com
capa de incrustación,Una capa oculta especial que entrena en una característica categórica de alta dimensión para aprender gradualmente un vector de incrustación de menor dimensión.,embedding layer,developers.google.com
incrustación de espacio,Se asigna el espacio vectorial D-dimensional que aparece desde un espacio vectorial dimensional superior.,embedding space,developers.google.com
vector de incrustación,"En términos generales, una variedad de números de punto flotante tomados de cualquier capa oculta que describe las entradas a esa capa oculta.",embedding vector,developers.google.com
función de distribución acumulativa empírica (ecdf o edf),Una función de distribución acumulativa basada en mediciones empíricas de un conjunto de datos real.,empirical cumulative distribution function (ecdf or edf),developers.google.com
minimización del riesgo empírico (erm),Elegir la función que minimiza la pérdida en el conjunto de entrenamiento.,empirical risk minimization (erm),developers.google.com
codificador,"En general, cualquier sistema ML que se convierta de una representación cruda, escasa o externa en una representación más procesada, más densa o más interna.",encoder,developers.google.com
conjunto,Una colección de modelos entrenados de forma independiente cuyas predicciones se promedian o se agregan.,ensemble,developers.google.com
entropía,"En la teoría de la información, una descripción de cuán impredecible es una distribución de probabilidad.",entropy,developers.google.com
ambiente,"En el aprendizaje de refuerzo, el mundo que contiene al agente y permite al agente observar el estado del mundo.",environment,developers.google.com
episodio,"En el aprendizaje de refuerzo, cada uno de los repetidos intentos del agente de aprender un entorno.",episode,developers.google.com
época,Un pase de entrenamiento completo sobre todo el conjunto de capacitación de tal manera que cada ejemplo se haya procesado una vez.,epoch,developers.google.com
política codiciosa de epsilon,"En el aprendizaje de refuerzo, una política que sigue una política aleatoria con la probabilidad de Epsilon o una política codiciosa de lo contrario.",epsilon greedy policy,developers.google.com
igualdad de oportunidades,Una métrica de equidad para evaluar si un modelo predice el resultado deseable igualmente bien para todos los valores de un atributo sensible.,equality of opportunity,developers.google.com
probabilidades igualadas,"Una métrica de equidad para evaluar si un modelo predice los resultados igualmente bien para todos los valores de un atributo sensible con respecto tanto a la clase positiva como a la clase negativa, no solo una clase o la otra exclusivamente.",equalized odds,developers.google.com
estimador,Una API de flujo tensor desordenado.,estimator,developers.google.com
evals,Utilizado principalmente como abreviatura para las evaluaciones de LLM.,evals,developers.google.com
evaluación,El proceso de medir la calidad de un modelo o comparar diferentes modelos entre sí.,evaluation,developers.google.com
ejemplo,Los valores de una fila de características y posiblemente una etiqueta.,example,developers.google.com
reproducción de experiencia,"En el aprendizaje de refuerzo, una técnica DQN utilizada para reducir las correlaciones temporales en los datos de capacitación.",experience replay,developers.google.com
sesgo del experimentador,Ver sesgo de confirmación.,experimenter's bias,developers.google.com
problema de gradiente explosivo,La tendencia de los gradientes en redes neuronales profundas (especialmente redes neuronales recurrentes) a volverse sorprendentemente pronunciada (alta).,exploding gradient problem,developers.google.com
f1,"Una métrica de clasificación binaria ""enrollable"" que se basa tanto en la precisión como en el recuerdo.",f1,developers.google.com
realidad,"Dentro del mundo de ML, una propiedad que describe un modelo cuyo resultado se basa en la realidad.",factuality,developers.google.com
justicia métrica,"Una definición matemática de ""equidad"" que es medible.",fairness metric,developers.google.com
falso negativo (fn),Un ejemplo en el que el modelo predice por error la clase negativa.,false negative (fn),developers.google.com
tasa falsa negativa,La proporción de ejemplos positivos reales para los cuales el modelo predijo por error la clase negativa.,false negative rate,developers.google.com
falso positivo (fp),Un ejemplo en el que el modelo predice por error la clase positiva.,false positive (fp),developers.google.com
tasa de falsos positivos (fpr),La proporción de ejemplos negativos reales para los cuales el modelo predijo por error la clase positiva.,false positive rate (fpr),developers.google.com
característica,Aninput variable a un modelo de aprendizaje automático.,feature,developers.google.com
característica cruzada,"Una característica sintética formada por características categóricas o cubiertas de ""cruce"".",feature cross,developers.google.com
ingeniería de características,"Un proceso que involucra los siguientes pasos: por ejemplo, puede determinar que la temperatura podría ser una característica útil.",feature engineering,developers.google.com
importaciones de características,Sinónimo de importancias variables.,feature importances,developers.google.com
conjunto de características,El grupo de características de su modelo de aprendizaje automático entrena.,feature set,developers.google.com
especificación de características,Describe la información requerida para extraer las características de los datos del TF.,feature spec,developers.google.com
vector de características,La matriz de valores de características que comprende un ejemplo.,feature vector,developers.google.com
caracterización,"El proceso de extraer características de AnInput Source, como un documento o video, y mapeo de esas características en un vector de características.",featurization,developers.google.com
aprendizaje federado,Un enfoque de aprendizaje automático distribuido que entrena modelos de aprendizaje automático que utilizan ejemplos descentralizados que residen en dispositivos como teléfonos inteligentes.,federated learning,developers.google.com
bucle de retroalimentación,"En el aprendizaje automático, una situación en la que las predicciones de un modelo influyen en los datos de entrenamiento para el mismo modelo u otro modelo.",feedback loop,developers.google.com
red neural de feedforward (ffn),Una red neuronal sin conexiones cíclicas o recursivas.,feedforward neural network (ffn),developers.google.com
pocos aprendizaje de disparos,"Un enfoque de aprendizaje automático, a menudo utilizado para la clasificación de objetos, diseñado para capacitar a modelos de clasificación efectivos de solo un pequeño número de ejemplos de capacitación.",few shot learning,developers.google.com
pocos indicadores de disparos,"Un mensaje que contiene más de un ejemplo (unos ""pocos"") que demuestre cómo debería responder el modelo de lenguaje grande.",few shot prompting,developers.google.com
violín,Una biblioteca de configuración de Python-First que establece los valores de funciones y clases sin código o infraestructura invasiva.,fiddle,developers.google.com
sintonia fina,Un segundo pase de entrenamiento específico de tareas realizado en un modelo previamente capacitado para refinar sus parámetros para un caso de uso específico.,fine tuning,developers.google.com
lino,Una biblioteca de código abierto de alto rendimiento para el aprendizaje profundo construido sobre Jax.,flax,developers.google.com
formador de lino,"Una biblioteca de transformadores de código abierto, construida sobre lino, diseñada principalmente para el procesamiento del lenguaje natural y la investigación multimodal.",flaxformer,developers.google.com
olvídate de la puerta,La porción de una celda de memoria a largo plazo que regula el flujo de información a través de la celda.,forget gate,developers.google.com
fracción de éxitos,Una métrica para evaluar el texto generado por un modelo ML.,fraction of successes,developers.google.com
softmax completo,Sinónimo de Softmax.,full softmax,developers.google.com
capa totalmente conectada,Una capa oculta en la que cada nodo está conectado a cada nodo en la capa oculta posterior.,fully connected layer,developers.google.com
transformación de funciones,Una función que toma una función como entrada y devuelve una función transformada como salida.,function transformation,developers.google.com
ganancia,Abreviatura de la red adversaria generativa.,gan,developers.google.com
géminis,El ecosistema comprende la IA más avanzada de Google.,gemini,developers.google.com
modelos de géminis,Los modelos multimodales basados ​​en transformadores de vanguardia de Google.,gemini models,developers.google.com
generalización,La capacidad de un modelo para hacer predicciones correctas en datos nuevos y previamente invisibles.,generalization,developers.google.com
curva de generalización,Una parcela de pérdida de entrenamiento y pérdida de validación en función del número de iteraciones.,generalization curve,developers.google.com
modelo lineal generalizado,"Una generalización de los modelos de regresión de mínimos cuadrados, que se basan en el ruido gaussiano, a otros tipos de modelos basados ​​en otros tipos de ruido, como el ruido de Poisson o el ruido categórico.",generalized linear model,developers.google.com
texto generado,"En general, el texto que genera un modelo ML.",generated text,developers.google.com
red de adversaria generativa (gan),Un sistema para crear nuevos datos en los que un generador crea datos y un discriminador determina si los datos creados son válidos o no válidos.,generative adversarial network (gan),developers.google.com
ia generativa,Un campo transformador emergente sin definición formal.,generative ai,developers.google.com
modelo generativo,"Hablando prácticamente, un modelo que hace cualquiera de los siguientes: un modelo generativo puede discernir teóricamente la distribución de ejemplos o características particulares en un conjunto de datos.",generative model,developers.google.com
generador,El subsistema dentro de una red adversaria generativa que crea nuevos ejemplos.,generator,developers.google.com
impureza de gini,Una métrica similar a la entropía.,gini impurity,developers.google.com
conjunto de datos dorado,Un conjunto de datos curados manualmente que captura la verdad del suelo.,golden dataset,developers.google.com
respuesta dorada,Una respuesta que se sabe que es buena.,golden response,developers.google.com
gpt (transformador generado generado),Una familia de modelos de idiomas grandes basados ​​en transformadores desarrollados por OpenAI.,gpt (generative pre trained transformer),developers.google.com
gradiente,El vector de derivados parciales con respecto a todas las variables independientes.,gradient,developers.google.com
acumulación de gradiente,Una técnica de backpropagation que actualiza los parámetros solo una vez por época en lugar de una vez por iteración.,gradient accumulation,developers.google.com
gradiente boosted (decisión) árboles (gbt),Un tipo de bosque de decisión en el que: ver los árboles de decisión impulsados ​​por el gradiente en el curso de bosques de decisión para obtener más información.,gradient boosted (decision) trees (gbt),developers.google.com
aumento de gradiente,Un algoritmo de entrenamiento donde los modelos débiles están entrenados para mejorar iterativamente la calidad (reducir la pérdida) de un modelo fuerte.,gradient boosting,developers.google.com
recorte de gradiente,Un mecanismo de uso común para mitigar el problema de gradiente explosivo limitando (recorte) el valor máximo de los gradientes cuando se usa descenso de gradiente para entrenar un modelo.,gradient clipping,developers.google.com
descenso de gradiente,Una técnica matemática para minimizar la pérdida.,gradient descent,developers.google.com
gráfico,"En TensorFlow, una especificación de cálculo.",graph,developers.google.com
ejecución de gráficos,Un entorno de programación TensorFlow en el que el programa construye primero un gráfico y luego ejecuta todo o parte de ese gráfico.,graph execution,developers.google.com
política codiciosa,"En el aprendizaje de refuerzo, una política que siempre elige la acción con el mayor rendimiento esperado.",greedy policy,developers.google.com
tierra,Tenga en cuenta que un modelo conectado a tierra no siempre es un modelo fáctico.,groundedness,developers.google.com
verdad fundamental,"Realidad, lo que realmente sucedió.",ground truth,developers.google.com
sesgo de atribución de grupo,Asumir que lo que es cierto para Anindividual también es cierto para todos en ese grupo.,group attribution bias,developers.google.com
alucinación,La producción de salida plausible pero fácticamente incorrecta por un modelo de IA generativo que pretende hacer una afirmación sobre el mundo real.,hallucination,developers.google.com
