concepto,descripcion,source,concept
mínimo y máximo,"Dentro de un conjunto de datos, el ""máximo"" es el valor mas alto y el ""mínimo"" es el valor más bajo de todos.",book2,minimum and maximum
rango,"""rango"" es el conjunto de datos (intervalo) que existe entre el valor m áximo y mínimo de un conjunto de datos.",book2,range
media,"La ""media aritmética"" (ó "" promedio"" como se le dice comúnmente), es la suma de todos los componentes entre el número de componentes (media aritmética) (ecuación 1).",book2,average
mediana,"Dado un conjunto de datos ordenados, la "" mediana"" es el valor que se encuentra al centro de todos los valores.",book2,median
moda,"""moda"" es el valor que mas veces se repite dentro de un conjunto de datos.",book2,mode
varianza,"La ""varianza"" (también denominada "" variancia"") es una medida de dispersi ón, la cual nos sirve para representar la variabilidad de un conjunto de datos con respecto a la media aritm ética de los mismos datos.",book2,variance
desviación estándar,"La ""desviación estándar"" (también conocida como "" desviación típica"") es una medida para cuantificar la dispersión de un conjunto de datos y se calcula como la raíz cuadrada de la varianza.",book2,standard deviation
correlación,"La ""correlación"" es un valor que nos indica la cantidad de proporcionalidad existente entre 2 variables, cuando una de ellas varía sistemáticamente con respecto a los valores homónimos de la otra.",book2,correlation
definición de probabilidad,"La "" teoría de la probabilidad "" es una rama de la matem ática que se encarga de estudiar los fen ómenos aleatorios y es una medida para determinar si un evento ocurrir á o nó.",book2,definition of probability
propiedades básicas,"La probabilidad se expresa como un número que está entre 0 y 1: (30) si tenemos la certeza de que el evento b ocurrirá, entonces: (31) si a y b son eventos mutuamente excluyentes: (32)",book2,basic properties
espacio de muestreo,Es el conjunto de todos los posibles resultados de un experimento aleatorio.,book2,sampling space
probabilidad condicional,"Matemáticamente la ""probabilidad condicional"" la podemos expresar como: (34)",book2,conditional probability
independencia,"Cuando tenemos 2 eventos, en donde ninguno de los 2 depende del otro, entonces decimos que son ""independientes"", y matemáticamente lo podemos expresar como: (35) 5.",book2,independence
variables aleatorias discretas,"Son aquellas que se pueden definir y contar, como por ejemplo al lanzar una moneda ( águila ó sol), lanzar un dado (del 1 al 6), etc.",book2,discrete random variables
variables aleatorias continuas,"Son aquellas que adquieren valores dentro de un rango limitado, por ejemplo, la temperatura del agua, el tiempo de vuelo de un avión, etc.",book2,continuous random variables
distribución binomial,"Esta distribución fue propuesta por jakob bernoulli (figura 26) y se utilizan en modelos y simulaciones donde la respuesta de los eventos sea de tipo binaria (si ó no, éxito ó fracaso, verdadero ó falso, etc.",book2,binomial distribution
distribución de poisson,Esta distribución fue propuesta por el matemático francés siméon denis poisson y se utiliza principalmente para modelar la cantidad de veces que sucede un número de eventos en un tiempo determinado (figura 27).,book2,poisson distribution
distribución normal,"La ""distribución normal"" (también llamada de "" gauss"" ó ""gaussiana"") es una distribución de variable continua que más se utiliza en probabilidad y estadística y fue propuesta por el alem án carl friedrich gauss (figura 28).",book2,normal distribution
teorema del límite central,"Es una teoría que nos indica que cuando se tiene una muestra aleatoria de la población lo suficientemente grande, entonces la distribuci ón de las medias muestras seguir á una distribuci ón normal.",book2,central limit theorem
clasificación de los pgm,"De acuerdo a ciertas características podemos agrupar los pgm en 3 grandes grupos (sucar, 2022):  dirigido y no-dirigidos.",book2,pgm classification
grafos no dirigidos y grafos dirigidos,Un grafo es una forma f ácil de representar las relaciones entre un conjunto de objetos.,book2,directed graph and undidrected graph
clasificaciones de algoritmos de machine learning,"Dentro del área de machine learning, cada autor que ha aportado publicaciones e investigaciones proponen diferentes categorías o clasificaciones, pero las mas generales en que podemos clasificar al machine learning son las siguientes:  aprendizaje supervisado.",book2,machine learning algorithms classifications
aprendizaje supervisado,"Los sistemas de ""aprendizaje supervisado"" son aquellos donde los datos proporcionados viene debidamente etiquetados y clasificados, debido a esta característica se utiliza especialmente para los siguientes tipos de aplicaciones: capítulo 6 – machine learning                                                                         75",book2,supervised learning
aprendizaje no supervisado,"Los sistemas de "" aprendizaje no supervisado "" son aquellos donde los datos proporcionados no vienen etiquetados y el sistema trata de entender el conjunto de datos que se le dieron y busca ordenarlos o clasificarlos de acuerdo a cierta similitud entre ellos.",book2,unsupervised learning
aprendizaje por refuerzo,"En el ""aprendizaje por refuerzo"", a diferencia del ""aprendizaje supervisado y no supervisado"", no se tiene un conjunto de datos (dataset) a partir del cual partir.",book2,reinforcement learning
regresión lineal,"Es un algoritmo de "" aprendizaje supervisado"" que se utiliza principalmente para hacer predicciones.",book2,linear regression
regresión logística,"Es un algoritmo de ""aprendizaje supervisado"" que se utiliza principalmente para hacer clasificaciones binarias (figura 50).",book2,logistic regression
árboles de decisión,"Es un algoritmo de "" aprendizaje supervisado"" que se utiliza principalmente para hacer predicciones de acuerdo a un conjunto dado de observaciones.",book2,decision trees
clasificadores probabilísticos,"Es un conjunto de algoritmos que utilizan "" aprendizaje supervisado"" y que se utilizan principalmente para predicción.",book2,probabilistic classifiers
algoritmos de agrupamiento: k means,"Es un algoritmo de "" aprendizaje no supervisado"" que se utiliza principalmente para clasificaci ón.",book2,grouping algorithms: k means
support vector machines,"Es un algoritmo de "" aprendizaje supervisado "" que se utiliza principalmente para clasificar y hacer análisis de regresión.",book2,support vector machines
knn,"Es un algoritmo de ""aprendizaje supervisado"" que se utiliza principalmente para clasificación y regresión.",book2,knn
random forest,"Es un algoritmo de "" aprendizaje supervisado"" que se utiliza principalmente para predecir o escoger mejores opciones.",book2,random forest
datasets,"En el capítulo 2 se coment ó acerca de los ""datasets"", sus características y algunas recomendaciones de cómo deberían estar estructurados.",book2,datasets
entrenamiento,"Muchos sistemas han adoptado que todos los datos que se tienen, el 80% se asigna al entrenamiento del modelo y el otro 20% se usa para realizar las pruebas, aunque si el conjunto de datos es muy grande, se puede asignar un porcentaje menor para hacer las pruebas (se llega a veces hasta el 1%).",book2,co training
ssobreajuste y subajuste,"El ""sobreajuste"" ó ""overfitting"" (por su t érmino en ingl és) ocurre cuando a un modelo se le entrena con suficientes datos pero aún así no logra generalizar correctamente.",book2,ssobrejuste and subajuste
regresión lineal,Actividad: predecir la temperatura promedio para julio del año 2022 en nueva york.,book2,linear regression
clases de deep learning,"Aunque no existe una clasificaci ón como tal dentro del deep learning, se hizo una lista con algunas de las t écnicas de deep learning, desde la mas simple que es la "" red neuronal "" (y la cual es el 92 - ciencia de datos, teoría y aplicaciones figura 62: ibm watson figura 63: lee sedol figura 64: datacenter de google",book2,deep learning classes
redes neuronales,"En el proceso para entender el funcionamiento del cerebro humano, se fueron desarrollando investigaciones y teorías acerca de su funcionamiento, dando un primer paso con el desarrollo de un modelo de una neurona artificial.",book2,neural networks
redes neuronales profundas,"Como se mencionó al principio de este capítulo, no existe como tal una definición para "" deep learning"", lo que se hizo fu e ir agregando mas capas intermedias a un modelo b ásico de una red neuronal y a este tipo de arquitectura se le denominó ""deep learning"".",book2,deep neural networks
redes neuronales convolucionales,"Es un tipo de red neuronal artificial que se modela muy parecido a un "" perceptrón multicapa"", en donde se su funcionamiento es muy parecido a como se desarrolla de manera biol ógica en la corteza visual del cerebro para detectar formas y figuras.",book2,convolutional neuronal networks
redes adversarias generativas,"Las ""redes adversarias generativas ó antagónicas"", mas conocidas como gan's (""generative adversarial network"" por sus siglas en ingl és) es un sistema de machine learning compuesto por 2 redes neuronales, que trabajan (ó compiten entre ellas) en un juego denominado de ""suma cero"".",book2,generative adversary networks
conceptos,"Un ""transformer"" es un modelo de deep learning basada en ""mecanismos de atención"", prescindiendo por completo de la recurrencia y de los algoritmos de convoluci ón.",book2,concepts
tendencias,"La complejidad y tama ño de las redes neuronal artificiales sigue en aumento, por lo tanto, se han empezado a experimentar con algunas t écnicas nuevas para mejorar su desempe ño y mas que todo para lograr nuevos objetivos mas complejos.",book2,tendencies
neuroevolución,"Una red neuronal artificial tiene la gran ventaja de que puede "" aprender"" ( ó ""memorizar"" cómo lo dicen algunos investigadores) un cierto patr ón sobre el cual fue entrenada, pero si algunas de las condiciones del sistema cambian, entonces es necesario volver a cambiar la estructura de la red (cantidad de capas intermedias y sus respectivos valores), as í como posiblemente sus entradas y salidas (y las funciones de cálculo de todos sus pesos así como su función de activación).",book2,neuroevolution
reconocimiento de números,Un primer ejemplo a trabajar será el siguiente: actividad: reconocer números escritos a mano.,book2,numbers recognition
definición,"El ""procesamiento del lenguaje natural "" ó ""nlp"" (""natural language processing "" por sus siglas en inglés) es una intersección entre las ciencias de la computación, la inteligencia artificial y la lingüística.",book2,definition
lenguaje humano,"Lingüística es el estudio del "" lenguaje"", y el "" lenguaje"" es un sistema de comunicaci ón estructurado que implica una combinaci ón compleja de componentes (caracteres, palabras, sentencias, etc.",book2,human language
herramientas de desarrollo,"Algunas de las bibliotecas m ás utilizadas para el nlp son las siguientes (ordenadas de manera cronológica):  nltk (2001)  spacy (2015)  pytorch (2016) el "" kit de herramientas para lenguaje natural "" ó ""natural language toolkit "", mas conocido como nltk (por sus siglas en ingl és), es es un conjunto de bibliotecas escritas en el a ño 2001 para el lenguaje python que fueron desarrolladas por steven bird y edward loper de la universidad de pennsylvania.",book2,development tools
análisis estadístico,Los primeros análisis muy básicos que se pueden hacer a algún texto pueden ser:  cantidad de caracteres.,book2,statistical analysis
segmentación de textos,"Una vez que se ha hecho un pre-procesamiento del texto para poder eliminar algunos s ímbolos y caracteres no deseados, el siguiente paso es la segmentaci ón del texto, es decir, separar el texto en 114 - ciencia de datos, teoría y aplicaciones",book2,text segmentation
nubes de palabras,"Una forma más gráfica de representar y analizar es cuando se utilizan las ""nubes de palabras"" (""wordcloud"" en inglés).",book2,word clouds
análisis de sentimientos,"El "" análisis de sentimientos "" es el procedimiento para identificar, extraer y cuantificar los estados afectivos de las personas ó grupos de personas , utilizando el "" procesamiento del lenguaje natural "", el ""análisis del texto"" y la ""lingüística computacional"".",book2,sentiment analysis
detección de similaridades,"Otra área importante dentro del nlp es tratar de identificar si 2 textos (que puede ser un conjunto de palabras, frases, textos o incluso libros completos) tiene alguna similaridad, y en caso de ser as í, cuál sería el grado de similitud entre ambos textos (con el fin de seleccionar de entre varios posibles textos).",book2,similarities detection
conceptos ssobre chatbots,"Según sowmya vajala en su libro ""practical natural language processing"", un ""chatbot es un sistema interactivo que permite a los usuarios comunicarse utilizando el lenguaje natural "" (vajjala et al.",book2,ssobre chatbots concepts
ubicación de chatbots,"Los ""chatbots"" pueden ir desde los m ás sencillos hasta los m ás complejos, de acuerdo a la cantidad de información que necesitan procesar y se pueden localizarse básicamente en:  dispositivos físicos pequeños (como celulares) y generalmente son muy básicos.",book2,chatbots location
clasificación de chatbots,"Los ""chatbots"" de acuerdo a su funcionamiento los podemos clasificar en:  preguntas respuestas frecuentes, mas conocidos como faq (""frequently asked questions"" por su significado en inglés): están diseñados solamente para identificar muy pocas preguntas, muy específicas y poderlas contestar tambi én de una sola manera muy específica.",book2,chatbots classification
ibm watson studio,"""watson"" es un conjunto de herramientas y plataformas en la nube desarrolladas por ibm que pueden ser consumidas bajo un esquema de tipo "" software as a service "" con un costo para los usuarios utilizando principalmente lenguaje natural como interface.",book2,ibm watson studio
google cloud automl,"Google es uno de los pioneros de las herramientas en línea y líder en la industria de aplicaciones ""on- line"", por lo tanto, no podría quedarse atr ás en la carrera tecnol ógica por ofrecer una plataforma orientada a ciencia de datos con inteligencia artificial.",book2,google cloud automl
azure machine learning,"""azure"" es una plataforma en la nube desarrollada por microsoft y presentada en febrero del 2010 inicialmente con el nombre de ""windows azure"" y posteriormente renombrada como ""microsoft azure"" en el 2014.",book2,azure machine learning
amazon machine learning,"Amazon, el l íder en servicios de nube empez ó con peque ños servicios en el a ño 2000, los cuales consistían en api's para conectarse a su red de servidores.",book2,amazon machine learning
gpt,"Gpt-3 (""generative pre-trained transformer 3"" por sus siglas en inglés) es una herramienta que sirve para construcci ón de textos simulando la redacci ón humana utilizando una t écnica específica de deep learning llamada ""transformers"".",book2,gpt
github copilot,"""github copilot"" es una herramienta para asistir a los desarrolladores durante la programaci ón por medio de la autocompletaci ón de c ódigo.",book2,github co ilot
dall e,"Es un software desarrollado por "" openai"" que se basa en la arquitectura de "" transformers"" y que tiene por objetivo crear imágenes a partir de descripciones dadas por el usuario de manera escrita en la terminal.",book2,dall e
imagen,"Continuando con las investigaciones derivadas del proyecto "" dall-e"", el 23 de mayo del 2022 se presentó el art ículo ""photorealistic text-to-image diffusion models with deep language understanding"", por un conjunto de investigadores del equipo "" google brain "", que es parte de la compañía google (saharia et al.",book2,image
lamda,"El "" modelo de lenguaje para aplicaciones de di álogo"", mas conocido como "" lamda"" ("" language model for dialogue applications"" por sus siglas en ingl és), es una aplicaci ón desarrollada por google para entablar conversaciones hombre-máquina de gran realismo.",book2,lamda
stable diffusion,"El 22 de agosto del 2022 (un día antes de cerrar este libro para su revisión) se anunció el lanzamiento de "" stable diffusion "", una aplicaci ón de generaci ón de im ágenes a trav és de textos, creada por ""stability ai"".",book2,stable diffusion
tecnología big data,"Big data se define como un concepto abstracto [1]. los grandes volúmenes de datos son una colección de conjuntos muy grandes de datos con una gran diversidad de tipos, razón por la cual resulta difícil procesarlos mediante el uso de métodos de procesamiento o plataformas de procesamiento de datos tradicionales [2].",book3,big data technology
datos,"Información que es parte elemental, que carecen de relevancia, son datos que sin un fin, propósito o utilidad no son útiles. podemos poner como ejemplo el nombre de una persona.",book3,data
información,"Es el conjunto de datos que han sido procesados y ordenados para comprenderlos, teniendo relevancia y/o propósito, dependiendo de la importancia de la información se pueden dar soluciones y tomar decisiones.",book3,information
conocimiento,"Es la adquisición de información de valor, con la finalidad de comprender por medio de la razón, teniendo como resultado procesos de aprendizaje a través de la experiencia en donde se involucra la toma de decisiones.",book3,knowledge
