input_text,target_text
¿Cual es el significado de el algoritmoadam?,La optimización de Adam es un método de descenso de gradiente estocástico que se basa en la estimación adaptativa de momentos de primer y segundo orden.
¿Para qué sirve el optimizador rmsprop?,Es un algoritmo de optimización de la tasa de aprendizaje adaptativo diseñado para mejorar el rendimiento y la velocidad del entrenamiento de modelos de aprendizaje profundo.
¿Define el algoritmormsprop?,"Es un algoritmo de optimización ampliamente utilizado en el aprendizaje profundo, es una mejora con respecto a AdaGrad."
¿Para qué sirve un intelligent agent?,"Un agente inteligente es una entidad capaz de percibir su entorno, procesar tales percepciones y responder o actuar en dicho entorno de manera racional, es decir, logrando objetivos, tendiendo a maximizar un resultado esperado y adquiriendo conocimiento con su desempeño."
¿Cual es el significado de un agente inteligente?,"En el aprendizaje de refuerzo, la entidad que utiliza una política para maximizar el rendimiento esperado obtenido de la transición entre los estados del medio ambiente."
¿Para qué sirve la agrupación aglomerativa?,"Este es un acercamiento ascendente, cada observación comienza en su propio grupo, y los pares de grupos son mezclados mientras uno sube en la jerarquía."
¿Define la agglomerative clustering?,"Utiliza un enfoque ascendente, comienza con cada objeto formando su propio grupo y luego fusiona iterativamente los grupos según su similitud para formar grupos más grandes."
¿Para qué sirve el hierarchical clustering?,"Es un método de análisis de grupos puntuales, el cual busca construir una jerarquía de grupos."
¿Que se entiende por el agrupamiento jerárquico?,"Es una técnica utilizada para agrupar puntos de datos similares en función de su similitud, creando una jerarquía o estructura similar a un árbol."
¿Define la detección de anomalías?,El proceso de identificación de valores atípicos.
¿Que se entiende por la anomaly detection?,"Consiste en identificar cuándo ocurre un suceso o evento que no es habitual, con el fin de realizar una acción asociada"
¿Para qué sirve augmented reality?,Conjunto de tecnologías que permiten que un usuario visualice parte del mundo real a través de un dispositivo tecnológico con información gráfica añadida por este.
¿Qué es realidad aumentada?,Tecnología que compila mejoras generadas por computadora sobre una realidad existente.
¿Qué es los verdaderos positivos?,Casos positivos clasificados correctamente.
¿Que se entiende por los true positives?,Cantidad de ejemplos positivos clasificados con precisión.
¿Qué es los verdaderos negativos?,Casos negativos clasificados correctamente.
¿Que se entiende por los true negatives?,Cantidad de ejemplos negativos clasificados con precisión.
¿Para qué sirve los falsos negativos?,Ejemplos negativos clasificados incorrectamente como positivos.
¿Define los false positives?,Cantidad de casos negativos clasificados incorrectamente.
¿Para qué sirve los falsos positivos?,Ejemplos positivos clasificados incorrectamente como negativos.
¿Que se entiende por los false positivos?,Cantidad de casos positivos clasificados incorrectamente.
¿Cual es el significado de la precisión?,Porcentaje de clasificaciones correctas de nuestro clasificador.
¿Define la precision?,Es el ratio entre el número de documentos relevantes recuperados entre el número de documentos recuperados.
¿Define la sensibilidad?,Porcentaje de positivos detectados en el dataset por nuestro clasificador.
¿Cual es el significado de la recall?,"Expresa la proporción de documentos relevantes recuperados, comparado con el total de los documentos que son relevantes existentes en la base de datos."
¿Para qué sirve la curva de recuperación de precisión?,"Gráfica que nos permite observar la relación entre recall y precisión, ya que al incrementar una de estas disminuye la otra."
¿Que se entiende por la curvaprecision-recall?,La curva de precisión-recuperación es una representación gráfica que ilustra la relación entre precisión y recuperación para diferentes valores de umbral en un problema de clasificación binaria.
¿Define la curva auc?,Representación gráfica de la sensibilidad frente a la precisión de falsas alarmas para un sistema clasificador binario según se varía el umbral de discriminación.
¿Que se entiende por la roc curve?,Relaciona el recall con el ratio de falsos positivos. Es decir relaciona la sensibilidad de nuestro modelo con los fallos optimistas (clasificar los negativos como positivos).
¿Cual es el significado de el área bajo la curva auc?,Es una herramienta estadística que mide la probabilidad de que un modelo clasifique correctamente un ejemplo positivo y negativo.
¿Para qué sirve el áreabajolaroccurve?,"Representa la probabilidad de que el modelo, si se da un ejemplo positivo y negativo elegido al azar, clasificará el positivo mayor que el negativo."
¿Para qué sirve la artificial general intelligence?,"Un mecanismo no humano que demuestra una amplia gama de resolución de problemas, creatividad y adaptabilidad."
¿Cual es el significado de la inteligencia general artificial?,Es una inteligencia artificial hipotética que podría tener la capacidad de aprender y comprender cualquier tarea intelectual que pueda realizar un ser humano
¿Qué es la inteligencia artificial?,"Es la inteligencia exhibida por máquinas, una máquina inteligente ideal es un agente racional y flexible, que percibe su entorno y lleva a cabo acciones que maximicen sus posibilidades de éxito en algún objetivo o tarea."
¿Que se entiende por la artificial intelligence?,Es una disciplina y un conjunto de capacidades cognoscitivas e intelectuales expresadas por sistemas informáticos o combinaciones de algoritmos cuyo propósito es la creación de máquinas que imiten la inteligencia humana para realizar tareas.
¿Que se entiende por la atención?,Es una técnica que pretende imitar la atención cognitiva.
¿Define la attention?,Un mecanismo utilizado en una red neuronal que indica la importancia de una palabra o parte en particular de una palabra.
¿Define un attribute?,"Los atributos son los elementos de datos que se utilizan en el aprendizaje automático. También se denominan variables, campos o predictores."
¿Qué es un atributo?,Los atributos de datos se refieren a las características o propiedades específicas que describen objetos de datos individuales dentro de un conjunto de datos.
¿Para qué sirve el muestreo de atributos?,Una táctica para capacitar un bosque de decisión en el que cada árbol de decisión considera solo un subconjunto aleatorio de posibles características al aprender la condición.
¿Define el attribute sampling?,"Es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos."
¿Para qué sirve el sesgo de automatización?,"Cuando un tomador de decisiones humano favorece las recomendaciones hechas por un sistema de toma de decisiones automatizado sobre la información realizada sin automatización, incluso cuando el sistema automatizado de toma de decisiones comete errores."
¿Que se entiende por el automation bias?,"Es la propensión de los humanos a favorecer las sugerencias de los sistemas automatizados de toma de decisiones e ignorar la información contradictoria hecha sin automatización, incluso si es correcta."
¿Define un modelo autorregresivo?,Un modelo que infiere una predicción basada en las propias predicciones anteriores.
¿Que se entiende por un auto regressive model?,"Es una representación de un proceso aleatorio, en el que la variable de interés depende de sus observaciones pasadas."
¿Define la pérdida auxiliar?,"Una función de pérdida, utilizada junto con la función de pérdida principal de un modelo de red neuronal, que ayuda a acelerar el entrenamiento durante las primeras iteraciones cuando los pesos se inicializan aleatoriamente."
¿Que se entiende por la auxiliary loss?,Un modelo de red neuronal que utiliza una función de pérdida adicional para mejorar el aprendizaje.
¿Qué es precisión promedio en k?,Es una métrica utilizada para medir el rendimiento de un modelo para tareas como detección de objetos y recuperación de información.
¿Cual es el significado de average precision at k?,"Proporciona un número único que resume la curva de precisión-recuperación, lo que refleja el rendimiento de un modelo en diferentes niveles de umbral."
¿Que se entiende por bolsa de palabras?,El modelo de la bolsa de palabras (Bow) es un modelo de texto que utiliza una colección desordenada (bolsa) de palabras.
¿Cual es el significado de bag of words?,"Una representación de las palabras en una frase o pasaje, independientemente del orden."
¿Para qué sirve un modelo de referencia?,"Un modelo utilizado como punto de referencia para comparar qué tan bien está funcionando otro modelo (típicamente, uno más complejo)."
¿Cual es el significado de un baseline model?,Es un modelo simple que predice los resultados de los datos y se utiliza para evaluar modelos más complejos.
¿Cual es el significado de un batch?,El conjunto de ejemplos utilizados en una iteración de entrenamiento.
¿Que se entiende por un lote?,Es un conjunto de datos que se procesa de forma conjunta en lugar de hacerlo de forma individual o en tiempo real
¿Para qué sirve normalización por lotes?,Normalización de la entrada o salida de las funciones de activación en una capa oculta.
¿Qué es batch normalization?,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable a través de la normalización de las entradas de las capas mediante la recentimiento y el reescalado.
¿Para qué sirve batch size?,El número de ejemplos en un lote.
¿Qué es tamaño por lotes?,Es la cantidad de muestras (o filas) procesadas en una iteración de entrenamiento de un modelo de aprendizaje automático
¿Cual es el significado de bayesian neural network?,Es un modelo grafo probabilístico que representa un conjunto de variables aleatorias y sus dependencias condicionales a través de un grafo acíclico dirigido.
¿Que se entiende por red neuronal bayesiana?,Un tipo de modelo gráfico probabilístico que permite construir modelos a partir de datos o la opinión de expertos.
¿Qué es bayesian optimization?,Una técnica de modelo de regresión probabilística para optimizar funciones objetivas computacionalmente costosas al optimizar un sustituto que cuantifica la incertidumbre utilizando una técnica de aprendizaje bayesiana.
¿Para qué sirve optimización bayesiana?,"Optimización bayesiana es una estrategia de diseño secuencial para la optimización global de las funciones de caja negra, que no asume ninguna forma funcional."
¿Para qué sirve bellman equation?,Es una condición necesaria para la optimalidad asociada con el método de la optimización matemática conocida como programación dinámica
¿Define ecuación de bellman?,"Se basa en el principio de optimalidad, que establece que el valor óptimo de un estado se puede calcular en función de la recompensa inmediata y el valor óptimo del siguiente estado."
¿Cual es el significado de bert?,Una arquitectura modelo para la representación de texto.
¿Define encoderbert?,Es una técnica basada en redes neuronales para el pre-entrenamiento del procesamiento del lenguaje natural (PLN) desarrollada por Google.
¿Define el sesgo?,"Estereotipos, prejuicios o favoritismo hacia algunas cosas, personas o grupos sobre otras."
¿Qué es el bias?,Inclinación o preferencia desproporcionada a favor o en contra de algo.
¿Que se entiende por procesamiento de lenguaje natural?,"Campo que estudia las interacciones entre las computadoras y el lenguaje humano, así como los detalles computacionales de las lenguas naturales"
¿Para qué sirve nlp?,"Es una tecnología de inteligencia artificial (IA) que permite a las computadoras comprender, interpretar y manipular el lenguaje humano."
¿Cual es el significado de un bidirectional language model?,Un modelo de lenguaje que determina la probabilidad de que un tokenis dado presente en una ubicación dada en un extracto de texto basado en el texto anterior y siguiente.
¿Define un modelo de idioma bidireccional?,Un término utilizado para describir un sistema que evalúa el texto que precede y sigue una sección objetivo del texto.
¿Que se entiende por un bigrama?,Un n-gram en el que n = 2.
¿Define un bigram?,"Es un grupo de dos letras, dos sílabas, o dos palabras"
¿Cual es el significado de binary classification?,La clasificación binaria es la tarea de clasificar los elementos de un conjunto en uno de los dos grupos (cada uno llamado clase).
¿Para qué sirve clasificación binaria?,Un tipo de tarea de clasificación que predice una de las dos clases mutuamente excluyentes.
¿Cual es el significado de la condición binaria?,"En un árbol de decisión, una condición que tiene solo dos resultados posibles, generalmente sí o no."
¿Que se entiende por la binary condition?,"Es una condición que tiene dos resultados posibles, como verdadero o falso."
¿Qué es data bucketing ?,Es una técnica de organización de datos que consiste en agruparlos en contenedores o particiones.
¿Que se entiende por data binning?,Es una técnica de preprocesamiento de datos que reduce los efectos de errores menores de observación.
¿Para qué sirve el bleu score?,"Una métrica entre 0 y 1 para evaluar las traducciones de la máquina, por ejemplo, de español a japonés."
¿Define el evaluaciónbleu?,Es un método de evaluación de la calidad de traducciones realizadas por sistemas de traducción automática.
¿Cual es el significado de bleurt (bilingual evaluation understudy from transformers)?,"Una métrica para evaluar las traducciones automáticas de un idioma a otro, particularmente hacia y desde el inglés."
¿Qué es bleurt (evaluación bilingüe de los transformadores)?,Es una métrica de evaluación aprendida para la generación de lenguaje natural.
¿Para qué sirve gradient boosting?,"Es una técnica de aprendizaje automático utilizado para el análisis de la regresión y para problemas de clasificación estadística, el cual produce un modelo predictivo en forma de un conjunto de modelos de predicción débiles."
¿Qué es aumento de gradiente?,Es un método de aprendizaje conjunto utilizado para tareas de clasificación y regresión. Es un algoritmo de refuerzo que combina múltiples estudiantes débiles para crear un modelo predictivo sólido.
¿Que se entiende por ensemble learning?,Los métodos por conjuntos utilizan múltiples algoritmos de aprendizaje para obtener un rendimiento predictivo mejor que el que podría obtenerse con cualquiera de los algoritmos de aprendizaje constituyentes por sí solos.
¿Define aprendizaje por conjuntos?,"El aprendizaje conjunto es una técnica de aprendizaje automático que agrega dos o más modelos (por ejemplo, modelos de regresión, redes neuronales) para producir mejores predicciones."
¿Para qué sirve algoritmo momentum?,"Un algoritmo de descenso de gradiente sofisticado en el que un paso de aprendizaje depende no solo de la derivada en el paso actual, sino también de las derivadas de los pasos que lo precedieron inmediatamente."
¿Que se entiende por algoritmoSGDconmomentum?,Es una variación del algoritmo de descenso de gradiente estocástico (SGD) que utiliza una técnica de suavizado para evitar oscilaciones excesivas en la dirección del gradiente y aumentar la velocidad de convergencia.
¿Que se entiende por un cuadro delimitador?,"En una imagen, las coordenadas (x, y) de un rectángulo alrededor de un área de interés, como el perro en la imagen a continuación."
¿Cual es el significado de un bounding box?,Es simplemente un rectángulo dibujado en una imagen para resaltar la presencia de un objeto de interés en esa ubicación espacial.
¿Qué es array broadcasting?,Ampliando la forma de un operando en una operación matemática de matriz a dimensiones compatibles para esa operación.
¿Que se entiende por tensor broadcasting?,Es un concepto que permite operaciones implícitas elemento por elemento entre matrices de diferentes formas.
¿Qué es calibration layer?,"Un ajuste posterior a la predicción, generalmente para tener en cuenta el sesgo de predicción."
¿Que se entiende por capa de calibración?,Es una red neuronal que se utiliza para calibrar una red entrenada
¿Que se entiende por candidate generation?,El conjunto inicial de recomendaciones elegidas por un sistema de recomendación.
¿Define candidate sampling?,Técnica que mejora la eficiencia computacional sin comprometer la precisión del modelo de machine learning.
¿Qué es muestreo candidato?,"Una optimización del tiempo de entrenamiento que calcula una probabilidad para todas las etiquetas positivas, utilizando, por ejemplo, Softmax, pero solo para una muestra aleatoria de etiquetas negativas."
¿Para qué sirve los datos categóricos?,Características que tienen un conjunto específico de valores posibles.
¿Define los categorical data?,"Variable que puede asumir uno de un número limitado, y generalmente fijo, de valores posibles, asignando a una unidad de observación a un grupo o categoría nominal particular sobre la base de alguna propiedad cualitativa."
¿Para qué sirve un modelo del lenguaje causal?,Un tipo de modelo de IA diseñado para generar texto similar al humano en un tono informal y conversacional.
¿Qué es un CLM?,Es un método autorregresivo donde el modelo se entrena para predecir el próximo token en una secuencia dados los tokens anteriores.
¿Para qué sirve un modelo de lenguaje enmascarado?,Es una red neuronal que predice las palabras que faltan en un texto.
¿Qué es un MLM?,"Es un método de entrenamiento, donde algunos tokens en la secuencia de entrada están enmascarados y el modelo aprende a predecir los tokens enmascarados en función del contexto circundante."
¿Define un modelo Seq2Seq?,Es un modelo de aprendizaje automático que traduce una secuencia de datos en otra.
¿Para qué sirve un Seq2Seqmodel?,Es una familia de enfoques de aprendizaje automático utilizados para el procesamiento del lenguaje natural; convierte una secuencia en otra.
¿Qué es centroid?,Es un punto representativo de cada clúster
¿Para qué sirve centroide?,El centro de un clúster determinado por un algoritmo K-means o K-mediano.
¿Define un algoritmo de agrupamiento?,Es un procedimiento de agrupación de una serie de vectores de acuerdo con un criterio. Esos criterios son por lo general distancia o similitud.
¿Para qué sirve un clustering?,La tarea de agrupar puntos de datos en función de su similitud entre sí.
¿Qué es chain of thought prompting?,"Una técnica de ingeniería rápida que fomenta un modelo de lenguaje grande (LLM) a explicar el razonamiento, paso a paso."
¿Cual es el significado de cadena de indemnización de pensamiento?,La ingeniería rápida es el proceso de estructuración o elaboración de un orden para producir el mejor resultado posible a partir de un modelo de inteligencia artificial (IA) generativa.
¿Define modelo extenso de lenguaje?,"Es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros, entrenados con grandes cantidades de texto sin etiquetar."
¿Cual es el significado de llm?,Son modelos de aprendizaje profundo muy grandes que se preentrenan con grandes cantidades de datos.
¿Define chatbot?,Es un programa informático que simula una conversación con un usuario
¿Qué es bot conversacional?,"Son aplicaciones software que simulan mantener una conversación con una persona al proveer respuestas automáticas, previamente establecidas por un conjunto de expertos a entradas realizadas por el usuario."
¿Cual es el significado de un checkpoint?,"Los datos que capturan el estado de los parámetros de un modelo, ya sea durante la capacitación o después de que se complete el entrenamiento."
¿Define un model checkpoint?,"Se utiliza durante el entrenamiento de un modelo para guardar sus pesos en algún intervalo, de modo que el modelo o los pesos se puedan cargar más tarde para continuar el entrenamiento desde el estado guardado."
¿Cual es el significado de clase?,Una categoría a la que puede pertenecer una etiqueta.
¿Para qué sirve class?,Es una agrupación de atributos y valores que se asigna a conjuntos de datos
¿Cual es el significado de un classifier?,Es un modelo de aprendizaje automático que clasifica los datos en grupos o clases.
¿Define un modelo de clasificación?,Un modelo cuya predicción es una clase.
¿Que se entiende por un clasificador ?,Es un algoritmo de aprendizaje automático que clasifica los datos en grupos según sus características.
¿Qué es regression?,Es una herramienta estadística que permite predecir o explicar los valores de una variable dependiente.
¿Que se entiende por modelo de regresión?,Modelo matemático que describe la relación entre varias variables
¿Define el análisis de la regresión?,Es un proceso estadístico para entender cómo una variable depende de otra variable.
¿Cual es el significado de el regression analysis?,Es un método estadístico que permite comprender cómo una variable depende de otra.
¿Define un conjunto de datos desequilibrado?,Un conjunto de datos para un problema de clasificación en el que el número total de etiquetas de cada clase difiere significativamente.
¿Cual es el significado de un imbalanced dataset?,Es un conjunto de datos con una distribución desigual de valores objetivo o etiquetas
¿Qué es gradient clipping?,Es una técnica utilizada para estabilizar el entrenamiento de redes neuronales profundas.
¿Define recorte de gradiente?,Es el proceso que ayuda a mantener la estabilidad numérica al evitar que los gradientes crezcan demasiado.
¿Qué es exploding gradient?,Este problema ocurre cuando los gradientes de pérdida de la red con respecto a los parámetros (pesos) se vuelven excesivamente grandes.
¿Define gradiente explosivo?,El problema es un desafío que ocurre cuando los gradientes en una red neuronal se vuelven demasiado grandes.
¿Define vanishing gradient?,Se refieren a gradientes demasiado pequeños durante el entrenamiento. Esto evita que los pesos de la red cambien sus valores.
¿Cual es el significado de desvanecimiento de gradiente?,El problema que surge durante la retropropagación cuando las derivadas o pendientes de las funciones de activación se vuelven progresivamente más pequeñas.
¿Qué es tpu en la nube?,Un acelerador de hardware especializado diseñado para acelerar las cargas de trabajo de aprendizaje automático en Google Cloud.
¿Que se entiende por cloud tpu?,Aceleradores de hardware especializados que se utilizan en aplicaciones de IA
¿Define tpu?,"Es un circuito integrado específico de aplicación de acelerador de ia (asic) desarrollado por google para el aprendizaje automático de redes neuronales, utilizando el software tensorflow propio de google"
¿Que se entiende por el filtrado colaborativo?,Hacer predicciones sobre los intereses de un usuario en función de los intereses de muchos otros usuarios.
¿Para qué sirve el collaborative filtering?,"El filtrado colaborativo (CF) es, además del filtrado basado en el contenido, una de las dos técnicas principales utilizadas por los sistemas de recomendación."
¿Qué es concept drift?,Es una evolución de los datos que invalida el modelo de datos.
¿Cual es el significado de deriva de conceptos?,Se produce cuando la tarea para la que se diseñó el modelo cambia con el tiempo
¿Para qué sirve alucinaciones?,Es una respuesta segura de una IA que no parece estar justificada por sus datos de entrenamiento.
¿Qué es hallucination?,Son resultados incorrectos o engañosos que generan los modelos de IA
¿Define el sesgo de confirmación?,"La tendencia a buscar, interpretar, favorecer y recordar la información de una manera que confirme las creencias o hipótesis preexistentes de uno."
¿Qué es el confirmation bias?,"Esto ocurre cuando un sistema de IA depende excesivamente de patrones preexistentes en los datos, lo que refuerza los prejuicios históricos."
¿Cual es el significado de la matriz de confusión?,Una tabla NxN que resume el número de predicciones correctas e incorrectas que hizo un modelo de clasificación.
¿Que se entiende por la confusion matrix?,"Es un diseño de tabla específico que permite la visualización del rendimiento de un algoritmo de clasificación, típicamente un aprendizaje supervisado."
¿Para qué sirve el análisis de la circunscripción?,"Divide una oración en estructuras gramaticales más pequeñas, en componentes."
¿Define el constituency parsing?,El proceso de analizar las oraciones dividiéndolas en subfrases también conocidas como constituyentes.
¿Que se entiende por el análisis de dependencias?,Se refiere al proceso de examinar las dependencias entre las frases de una oración para determinar su estructura gramatical.
¿Define el dependency parsing?,"Es el proceso de analizar la estructura gramatical de una oración y descubrir palabras relacionadas, así como el tipo de relación entre ellas."
¿Qué es las incrustaciones de palabras?,Es una técnica que representa palabras como vectores en un espacio multidimensional
¿Define las word embeddings?,"Técnicas para representar palabras como vectores en un espacio multidimensional, donde la distancia y la dirección entre vectores reflejan la similitud y las relaciones entre las palabras."
¿Qué es la incrustación contextual?,"Tecnología que proporciona mejores representaciones de palabras dentro del contexto, permitiendo que los modelos distingan entre palabras con múltiples significados."
¿Define la contextual embedding?,Son representaciones avanzadas de palabras que captan el significado en función del texto circundante.
¿Que se entiende por embedding de palabras?,Representación vectorial de palabras para capturar su significado semántico.
¿Cual es el significado de word embedding?,"En el procesamiento del lenguaje natural, una incrustación de palabras es una representación de una palabra."
¿Qué es contextual representations?,"Tecnología que proporciona mejores representaciones de palabras dentro del contexto, permitiendo que los modelos distingan entre palabras con múltiples significados."
¿Define representaciones contextuales?,Son representaciones avanzadas de palabras que captan el significado en función del texto circundante.
¿Define la ventana de contexto?,El número de tokens que un modelo puede procesar en un aviso dado.
¿Que se entiende por la context window?,"Es la cantidad de texto, en tokens, que el modelo puede considerar o “recordar” en cualquier momento"
¿Cual es el significado de continuous feature?,"Una característica de punto flotante con un rango de valores posibles, como temperatura o peso."
¿Para qué sirve característica continua?,Es una variable cuantitativa que puede tomar un número infinito de valores dentro de un rango determinado
¿Para qué sirve continuous variable?,"Una característica de punto flotante con un rango de valores posibles, como temperatura o peso."
¿Que se entiende por variables continua?,Es una variable cuantitativa que puede tomar un número infinito de valores dentro de un rango determinado
¿Cual es el significado de convenience sampling?,Uso de un conjunto de datos que no se ha reunido científicamente para ejecutar experimentos rápidos.
¿Define muestreo de conveniencia?,El muestreo de conveniencia es un tipo de muestreo no probable que implica la muestra que se extrae de esa parte de la población que está cerca de la mano.
¿Define la convergencia de un modelo?,Un estado alcanzado cuando los valores de pérdida cambian muy poco o nada con cada iteración.
¿Cual es el significado de la model convergence?,Se produce cuando las predicciones de un modelo dejan de mejorar y este alcanza un estado estable.
¿Cual es el significado de la función convexa?,Una función que la región sobre la gráfica de la función es un conjunto convexo.
¿Para qué sirve la convex function?,"En matemáticas, una función de valor real se llama convexo si el segmento de línea entre dos puntos distintos en la gráfica de la función se encuentra arriba o en el gráfico entre los dos puntos."
¿Cual es el significado de optimización convexa?,El proceso de utilizar técnicas matemáticas como el descenso de gradiente para encontrar el mínimo de una función convexa.
¿Que se entiende por convex optimization?,La optimización convexa es un subcampo de optimización matemática que estudia el problema de minimizar las funciones convexas sobre los conjuntos convexos.
¿Qué es la convolución?,Es una operación matemática que combina dos funciones para describir la superposición entre ambas.
¿Que se entiende por la convolution?,"Es una operación entre una imagen y un kernel, a través de la cual resulta posible detectar patrones en la imagen"
¿Define un filtro convolucional?,Su objetivo final es extraer características propias de cada imagen comprimiéndolas para reducir su tamaño inicial.
¿Que se entiende por un convolutional filter?,Es un extractor de características en el procesamiento de imágenes que extrae características y atributos clave de las imágenes y genera representaciones de imágenes útiles.
¿Define la capa convolucional?,Es un tipo de capa de red que aplica una operación de convolución a la entrada.
¿Cual es el significado de la convolutional layer?,Es una capa de red neuronal que analiza imágenes aplicando operaciones de convolución.
¿Qué es convolutional neural network?,Es un tipo de red neuronal artificial que se usa para procesar e identificar imágenes y objetos.
¿Cual es el significado de red neuronal convolucional?,Es una arquitectura de red para aprendizaje profundo que aprende directamente de los datos
¿Define CNN?,Una red neuronal en la que al menos una capa es una capa convolucional.
¿Define la función de costo?,Se utiliza para medir el rendimiento del modelo calculando la desviación de las predicciones de un modelo con respecto a las predicciones correctas de verdad fundamental.
¿Qué es la función de pérdida?,Es un método para evaluar qué tan bien su algoritmo modela su conjunto de datos.
¿Cual es el significado de la loss function?,Se usan ppara cuantificar qué tan bien o mal está funcionando un modelo calculando la diferencia entre los valores previstos y los valores reales.
¿Cual es el significado de model training?,Proceso para entrenar un modelo usando datos de entrenamiento.
¿Que se entiende por entrenamiento de modelos?,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos."
¿Que se entiende por la equidad contrafactua?,"Métrica de equidad que verifica si un modelo de clasificación produce el mismo resultado para un individuo que para otro individuo que es idéntico al primero, excepto con respecto a uno o más atributos sensibles."
¿Cual es el significado de la counterfactual fairness?,Es un concepto que busca que las decisiones basadas en algoritmos sean justas
¿Cual es el significado de coverage bias?,Es un tipo de sesgo de muestreo que se produce cuando la muestra seleccionada no coincide con la población objetivo.
¿Define sesgo de cobertura?,Sesgo que surge cuando ciertos datos no están representados en la muestra analizada.
¿Para qué sirve el algoritmo actor-crítico?,Es un tipo de algoritmo de aprendizaje de refuerzo que combina aspectos de métodos basados en políticas (Actor) y métodos basados en valores (Crítico).
¿Qué es el algoritmo actor-crítico?,"Es una familia de algoritmos de aprendizaje de refuerzo (RL) que combinan algoritmos de RL basados en políticas, como los métodos de gradiente de políticas, y algoritmos de RL basados en valores, como la iteración de valores, el aprendizaje Q, SARSA y el aprendizaje TD."
¿Que se entiende por algoritmo sarsa?,"Es un algoritmo para aprender una política de proceso de decisión de Markov, utilizado en el área de aprendizaje de refuerzo del aprendizaje automático."
¿Para qué sirve sarsa?,"Es un algoritmo de aprendizaje basado en políticas, ayuda a un agente a aprender una política óptima basándose en la experiencia, donde el agente mejora su política mientras interactúa continuamente con el entorno."
¿Que se entiende por la entropía?,"En la teoría de la información, una descripción de cuán impredecible es una distribución de probabilidad."
¿Cual es el significado de la entropy?,Cuantifica el nivel promedio de incertidumbre o información asociada con los estados potenciales o resultados posibles de la variable.
¿Que se entiende por el coeficiente de gini?,"Es una medida estadística de cuán desigual es una distribución, como el ingreso o la riqueza."
¿Cual es el significado de el ginicoefficient?,Es una medida de impureza en un conjunto de datos.
¿Para qué sirve la entropía cruzada?,Mide la diferencia entre la distribución de probabilidad descubierta de un modelo de clasificación y los valores predichos.
¿Que se entiende por la cross entropy?,Es una función de pérdida popular utilizada en el aprendizaje automático para medir el rendimiento de un modelo de clasificación.
