,concepts,definitions,source
21,Muestra,"En muchas ocasiones la poblaci ón a analizar puede ser muy grande o muy compleja y tardada de analizar, por lo cual se elige escoger una "" muestra"", la cual es un subconjunto de la poblaci ón y que debe ser "" representativa"" de la poblaci ón.",book2
22,Histogramas,"En el área de estadística se utiliza mucho el histograma, el cual es un gr áfico donde se representa el conjunto de datos a analizar y se representa en forma de barras, donde el tama ño de las barras es proporcional a la cantidad de datos a representar.",book2
23,Mínimo y Máximo,"Dentro de un conjunto de datos, el “máximo” es el valor mas alto y el “mínimo” es el valor más bajo de todos.",book2
24,Rango,“Rango” es el conjunto de datos (intervalo) que existe entre el valor m áximo y mínimo de un conjunto de datos.,book2
25,Media,"La  “Media  Aritmética”  (ó  “ Promedio”  como  se  le  dice  comúnmente),  es  la  suma  de  todos  los componentes entre el número de componentes (media aritmética) (ecuación 1).",book2
26,Mediana,"Dado un conjunto de datos ordenados, la “ mediana” es el valor que se encuentra al centro de todos los valores.",book2
27,Moda,“Moda” es el valor que mas veces se repite dentro de un conjunto de datos.,book2
28,Varianza,"La “varianza” (también denominada “ variancia”) es una medida de dispersi ón, la cual nos sirve para representar la variabilidad de un conjunto de datos con respecto a la media aritm ética de los mismos datos.",book2
29,Desviación Estándar,La “desviación estándar” (también conocida como “ desviación típica”) es una medida para cuantificar la dispersión de un conjunto de datos y se calcula como la raíz cuadrada de la varianza.,book2
30,Correlación,"La “correlación” es un valor que nos indica la cantidad de proporcionalidad existente entre 2 variables, cuando una de ellas varía sistemáticamente con respecto a los valores homónimos de la otra.",book2
32,Definición de Probabilidad,La “ Teoría de la Probabilidad ” es una rama de la matem ática que se encarga de estudiar los fen ómenos aleatorios y es una medida para determinar si un evento ocurrir á o nó.,book2
33,Propiedades básicas,"La probabilidad se expresa como un número que está entre 0 y 1: (30) Si tenemos la certeza de que el evento B ocurrirá, entonces: (31) Si A y B son eventos mutuamente excluyentes: (32)",book2
34,Espacio de Muestreo,Es el conjunto de todos los posibles resultados de un experimento aleatorio.,book2
36,Probabilidad Condicional,Matemáticamente la “Probabilidad Condicional” la podemos expresar como: (34),book2
37,Independencia,"Cuando tenemos 2 eventos, en donde ninguno de los 2 depende del otro, entonces decimos que son “independientes”, y matemáticamente lo podemos expresar como: (35) 5.",book2
39,Variables Aleatorias Discretas,"Son aquellas que se pueden definir y contar, como por ejemplo al lanzar una moneda ( águila ó sol), lanzar un dado (del 1 al 6), etc.",book2
40,Variables Aleatorias Continuas,"Son aquellas que adquieren valores dentro de un rango limitado, por ejemplo, la temperatura del agua, el tiempo de vuelo de un avión, etc.",book2
42,Distribución Binomial,"Esta distribución fue propuesta por Jakob Bernoulli  (figura  26)  y  se  utilizan  en modelos  y  simulaciones  donde  la respuesta  de  los  eventos  sea  de  tipo binaria  (Si  ó  No,  Éxito  ó  Fracaso, Verdadero ó Falso, etc.",book2
43,Distribución de Poisson,Esta  distribución  fue  propuesta  por  el  matemático  Francés  Siméon  Denis  Poisson  y  se  utiliza principalmente para modelar la cantidad de veces que sucede un número de eventos en un tiempo determinado (figura 27).,book2
44,Distribución Normal,"La ""Distribución Normal"" (también llamada de "" Gauss"" ó ""Gaussiana”) es una distribución de variable continua que más se utiliza en Probabilidad y Estadística y fue propuesta por el alem án Carl Friedrich Gauss (figura  28).",book2
45,Teorema del Límite Central,"Es  una  teoría  que  nos  indica  que  cuando  se  tiene  una  muestra  aleatoria  de  la  población  lo suficientemente grande, entonces la distribuci ón de las medias muestras seguir á una distribuci ón Normal.",book2
47,Clasificación de los PGM,"De acuerdo a ciertas características podemos agrupar los PGM en 3 grandes grupos (Sucar, 2022):  Dirigido y No-dirigidos.",book2
48,Grafos No Dirigidos y Grafos Dirigidos,Un grafo es una forma f ácil de representar las relaciones entre un conjunto de objetos.,book2
51,Clasificaciones de Algoritmos de Machine Learning,"Dentro del área de Machine Learning, cada autor que ha aportado publicaciones e investigaciones proponen diferentes categorías o clasificaciones, pero las mas generales en que podemos clasificar al Machine Learning son las siguientes:  Aprendizaje Supervisado.",book2
52,Aprendizaje Supervisado,"Los  sistemas  de  “Aprendizaje  Supervisado” son aquellos  donde  los  datos  proporcionados  viene debidamente etiquetados y clasificados, debido a esta característica se utiliza especialmente para los siguientes tipos de aplicaciones: Capítulo 6 – Machine Learning                                                                                                                                                  75",book2
53,Aprendizaje No Supervisado,Los sistemas de “ Aprendizaje No Supervisado ” son aquellos donde los datos proporcionados no vienen etiquetados y el sistema trata de entender el conjunto de datos que se le dieron y busca ordenarlos o clasificarlos de acuerdo a cierta similitud entre ellos.,book2
54,Aprendizaje por Refuerzo,"En el “Aprendizaje por Refuerzo”, a diferencia del “Aprendizaje Supervisado y No Supervisado”, no se tiene un conjunto de datos (dataset) a partir del cual partir.",book2
55,Regresión Lineal,"Es un algoritmo de "" Aprendizaje Supervisado"" que se utiliza principalmente para hacer predicciones.",book2
56,Regresión Logística,"Es un algoritmo de ""Aprendizaje Supervisado"" que se utiliza principalmente para hacer clasificaciones binarias (figura 50).",book2
57,Árboles de Decisión,"Es un algoritmo de "" Aprendizaje Supervisado"" que se utiliza principalmente para hacer predicciones de acuerdo a un conjunto dado de observaciones.",book2
58,Clasificadores Probabilísticos,"Es un conjunto de algoritmos que utilizan "" Aprendizaje Supervisado"" y que se utilizan principalmente para predicción.",book2
59,Algoritmos de Agrupamiento: K-Means,"Es un algoritmo de "" Aprendizaje No Supervisado"" que se utiliza principalmente para clasificaci ón.",book2
60,Support Vector Machines,"Es un algoritmo de "" Aprendizaje Supervisado "" que se utiliza principalmente para clasificar y hacer análisis de regresión.",book2
61,KNN,"Es  un  algoritmo  de  ""Aprendizaje  Supervisado"" que  se utiliza  principalmente  para  clasificación  y regresión.",book2
62,Random Forest,"Es un algoritmo de "" Aprendizaje Supervisado"" que se utiliza principalmente para predecir o escoger mejores opciones.",book2
64,Datasets,"En el capítulo 2 se coment ó acerca de los ""datasets"", sus características y algunas recomendaciones de cómo deberían estar estructurados.",book2
65,Entrenamiento,"Muchos sistemas han adoptado que todos los datos que se tienen, el 80% se asigna al entrenamiento del modelo y el otro 20% se usa para realizar las pruebas, aunque si el conjunto de datos es muy grande, se puede asignar un porcentaje menor para hacer las pruebas (se llega a veces hasta el 1%).",book2
66,Sobreajuste y Subajuste,El “Sobreajuste” ó “Overfitting” (por su t érmino en ingl és) ocurre cuando a un modelo se le entrena con suficientes datos pero aún así no logra generalizar correctamente.,book2
67,Regresión lineal,Actividad: Predecir la temperatura promedio para julio del año 2022 en Nueva York.,book2
69,Clases de Deep Learning,"Aunque no existe una clasificaci ón como tal dentro del Deep Learning, se hizo una lista con algunas de las t écnicas de Deep Learning, desde la mas simple que es la “ Red Neuronal ” (y la cual es el 92  -  Ciencia de Datos, Teoría y Aplicaciones Figura 62: IBM Watson Figura 63: Lee Sedol  Figura 64: Datacenter de Google",book2
70,Redes Neuronales,"En  el  proceso  para  entender  el  funcionamiento  del  cerebro  humano,  se  fueron  desarrollando investigaciones y teorías acerca de su funcionamiento, dando un primer paso con el desarrollo de un modelo de una neurona artificial.",book2
71,Redes Neuronales Profundas (Deep Learning),"Como  se mencionó al  principio  de  este  capítulo, no  existe  como  tal  una  definición para “ Deep Learning”, lo que se hizo fu e ir agregando mas capas intermedias a un modelo b ásico de una red neuronal y a este tipo de arquitectura se le denominó “Deep Learning”.",book2
72,Redes Neuronales Convolucionales,"Es un tipo de Red Neuronal Artificial que se modela muy parecido a un “ Perceptrón Multicapa”, en donde se su funcionamiento es muy parecido a como se desarrolla de manera biol ógica en la corteza visual del cerebro para detectar formas y figuras.",book2
73,Redes Adversarias Generativas (GAN’s),"Las  “Redes  Adversarias  Generativas  ó  Antagónicas”,  mas  conocidas  como  GAN's  (“Generative Adversarial Network” por sus siglas en ingl és) es un sistema de Machine Learning compuesto por 2 redes neuronales, que trabajan (ó compiten entre ellas) en un juego denominado de ""suma cero"".",book2
74,Conceptos,"Un  ""Transformer""  es  un  modelo  de  Deep  Learning  basada  en  ""mecanismos  de  atención"", prescindiendo por completo de la recurrencia y de los algoritmos de Convoluci ón.",book2
75,Tendencias,"La complejidad y tama ño de las Redes Neuronal Artificiales sigue en aumento, por lo tanto, se han empezado a experimentar con algunas t écnicas nuevas para mejorar su desempe ño y mas que todo para lograr nuevos objetivos mas complejos.",book2
76,Neuroevolución,"Una Red Neuronal Artificial tiene la gran ventaja de que puede “ aprender” ( ó “memorizar” cómo lo dicen algunos investigadores) un cierto patr ón sobre el cual fue entrenada, pero si algunas de las condiciones del sistema cambian, entonces  es necesario volver a cambiar la estructura de la red (cantidad de capas intermedias y sus respectivos valores), as í como posiblemente sus entradas y salidas (y las funciones de cálculo de todos sus pesos así como su función de activación).",book2
77,Reconocimiento de Números,Un primer ejemplo a trabajar será el siguiente: Actividad: Reconocer números escritos a mano.,book2
78,Definición,"El “Procesamiento del Lenguaje Natural ” ó “NLP” (“Natural Language Processing ” por sus siglas en inglés)  es  una  intersección  entre  las  Ciencias  de  la  Computación,  la  Inteligencia  Artificial  y  la Lingüística.",book2
79,Lenguaje Humano,"Lingüística es el estudio del “ Lenguaje”, y el “ Lenguaje"" es un sistema de comunicaci ón estructurado que implica una combinaci ón compleja de componentes (caracteres, palabras, sentencias, etc.",book2
80,Herramientas de Desarrollo,"Algunas de las bibliotecas m ás utilizadas para el NLP son las siguientes (ordenadas de manera cronológica):  NLTK (2001)  spaCy (2015)  Pytorch (2016) El "" Kit de Herramientas para Lenguaje Natural "" ó ""Natural Language Toolkit "", mas conocido como NLTK (por sus siglas en ingl és), es es un conjunto de bibliotecas escritas en el a ño 2001 para el lenguaje Python que fueron desarrolladas por Steven Bird y Edward Loper de la Universidad de Pennsylvania.",book2
81,Análisis Estadístico,Los primeros análisis muy básicos que se pueden hacer a algún texto pueden ser:  Cantidad de caracteres.,book2
82,Segmentación de Textos,"Una vez que se ha hecho un pre-procesamiento del texto para poder eliminar algunos s ímbolos y caracteres no deseados, el siguiente paso es la segmentaci ón del texto, es decir, separar el texto en 114  -  Ciencia de Datos, Teoría y Aplicaciones ",book2
83,Nubes de Palabras,Una forma más gráfica de representar y analizar es cuando se utilizan  las  “Nubes  de  Palabras”  (“WordCloud”  en  inglés).,book2
84,Análisis de Sentimientos,"El "" Análisis de Sentimientos "" es el procedimiento para identificar, extraer y cuantificar los estados afectivos de las personas ó grupos de personas , utilizando el "" Procesamiento del Lenguaje Natural "", el ""Análisis del Texto"" y la ""Lingüística Computacional”.",book2
85,Detección de Similaridades,"Otra área importante dentro del NLP es tratar de identificar si 2 textos (que puede ser un conjunto de palabras, frases, textos o incluso libros completos) tiene alguna similaridad, y en caso de ser as í, cuál sería el grado de similitud entre ambos textos (con el fin de seleccionar de entre varios posibles textos).",book2
86,Conceptos sobre ChatBots,"Según  Sowmya  Vajala  en  su  libro  ""Practical  Natural  Language  Processing"",  un  ""Chatbot  es  un sistema interactivo que permite a los usuarios comunicarse utilizando el lenguaje natural "" (Vajjala et al.",book2
87,Ubicación de ChatBots,"Los “chatbots” pueden ir desde los m ás sencillos hasta los m ás complejos, de acuerdo a la cantidad de información que necesitan procesar y se pueden localizarse básicamente en:  Dispositivos físicos pequeños (como celulares) y generalmente son muy básicos.",book2
88,Clasificación de ChatBots,"Los “chatbots” de acuerdo a su funcionamiento los podemos clasificar en:  Preguntas Respuestas Frecuentes, mas conocidos como FAQ (“Frequently Asked Questions” por  su  significado  en  inglés):  Están  diseñados  solamente  para  identificar  muy  pocas preguntas, muy específicas y poderlas contestar tambi én de una sola manera muy específica.",book2
89,IBM Watson Studio,"“Watson” es un conjunto de herramientas y plataformas en la nube desarrolladas por IBM que pueden ser consumidas bajo un esquema de tipo "" Software as a Service "" con un costo para los usuarios utilizando principalmente lenguaje natural como interface.",book2
90,Google Cloud AutoML,"Google es uno de los pioneros de las herramientas en línea y líder en la industria de aplicaciones “on- line”, por lo tanto, no podría quedarse atr ás en la carrera tecnol ógica por ofrecer una plataforma orientada a Ciencia de Datos con Inteligencia Artificial.",book2
91,Azure Machine Learning,"“Azure” es una plataforma en la nube desarrollada por Microsoft y presentada en febrero del 2010 inicialmente con el nombre de ""Windows Azure"" y posteriormente renombrada como ""Microsoft Azure"" en el 2014.",book2
92,Amazon Machine Learning,"Amazon, el l íder en servicios de nube empez ó con peque ños servicios en el a ño 2000, los cuales consistían en API's para conectarse a su red de servidores.",book2
93,GPT,GPT-3 (“Generative Pre-trained Transformer 3” por sus siglas en inglés) es una herramienta que sirve para construcci ón de textos simulando la redacci ón humana utilizando una t écnica específica de Deep  Learning  llamada  “Transformers”.,book2
94,GitHub Copilot,“GitHub Copilot” es una herramienta para asistir a los desarrolladores durante la programaci ón por medio de la autocompletaci ón de c ódigo.,book2
95,DAll-E,"Es un software desarrollado por “ OpenAI” que se basa en la arquitectura de "" Transformers"" y que tiene por objetivo crear imágenes a partir de descripciones dadas por el usuario de manera escrita en la terminal.",book2
96,Imagen,"Continuando con las investigaciones derivadas del proyecto “ DALL-E”, el 23 de mayo del 2022 se presentó el  art ículo  ”Photorealistic  Text-to-Image  Diffusion  Models  with  Deep  Language Understanding”, por un conjunto de investigadores del equipo “ Google Brain ”, que es parte de la compañía Google (Saharia et al.",book2
97,LaMDA,"El "" Modelo de Lenguaje para Aplicaciones de Di álogo"", mas conocido como “ LaMDA” ("" Language Model for Dialogue Applications"" por sus siglas en ingl és), es una aplicaci ón desarrollada por Google para entablar conversaciones hombre-máquina de gran realismo.",book2
98,Stable Diffusion,"El 22 de agosto del 2022 (un día antes de cerrar este libro para su revisión) se anunció el lanzamiento de "" Stable Diffusion "", una aplicaci ón de generaci ón de im ágenes a trav és de textos, creada por ""Stability AI"".",book2
